match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_outfielderBlock,stat_blockedScoringAttempt,stat_hitWoodwork,captain,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_goals,player_firstName,player_lastName,stat_challengeLost,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_errorLeadToAShot,stat_penaltyConceded
14025214,home,Arsenal,Leandro Trossard,leandro-trossard,L. Trossard,F,19,172,31477,M,leandrotrossard,135666,EUR,786499200,F,19,19,False,34.0,24.0,3.0,1.0,0.0,2.0,2.0,22.0,32.0,1.0,,,75.0,48.0,7.2,16.0,0.0876134,2,0.32,0.28,0.13,6.0,1.0,4.0,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,0.1183,,2.0,-0.21,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,martin_zubimendi,966837,EUR,917913600,M,36,36,True,73.0,69.0,5.0,5.0,0.0,28.0,29.0,41.0,44.0,3.0,,,60.0,81.0,7.8,4.0,0.158217,0,0.34,0.23,0.31,,1.0,5.0,,,,3.0,,5.0,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,178,16151,M,myleslewisskelly,1423711,EUR,1159228800,D,49,49,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,,15.0,11.0,6.6,3.0,0.00188067,0,0.01,-0.18,0.13,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,Myles Lewis-Skelly,,,,,,,,,,,,,,
14025214,home,Arsenal,Ethan Nwaneri,ethan-nwaneri,E. Nwaneri,M,22,176,28926,M,ethan_nwaneri,1401702,EUR,1174435200,M,22,22,True,8.0,7.0,1.0,,0.0,,,7.0,8.0,,,,15.0,11.0,7.0,2.0,0.0380132,1,0.45,0.03,0.13,,2.0,,1.0,1.0,,,,,,,,,,0.0207,,,0.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Mikel Merino,mikel-merino,M. Merino,M,23,188,29240,M,mikelmerino,592010,EUR,835401600,M,23,23,True,11.0,9.0,1.0,,0.0,4.0,4.0,5.0,7.0,,,,11.0,15.0,6.3,3.0,0.00165114,2,-0.05,0.11,-0.04,,6.0,1.0,,1.0,,,,,,,1.0,2.0,,0.1556,,,0.0,2.0,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,
14025214,home,Arsenal,Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,180,68888,M,GabiMartinelli,922573,EUR,992822400,F,11,11,True,1.0,,,,0.0,,,0.0,1.0,1.0,,,11.0,7.0,6.4,4.0,0.0557172,0,0.02,0.01,0.15,3.0,1.0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Kepa Arrizabalaga,kepa-arrizabalaga,K. Arrizabalaga,G,13,188,26145,M,KepaA,232422,EUR,781142400,G,13,13,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Cristhian Mosquera,cristhian-mosquera,C. Mosquera,D,3,191,15807,M,,1144630,EUR,1088294400,D,3,3,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristhian Mosquera,,,,,,,,,,,,,,
14025214,home,Arsenal,Ben White,benjamin-white,B. White,D,4,186,13830,M,benwhite,846036,EUR,876268800,D,4,4,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,home,Arsenal,Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,9605,M,,135256,EUR,763257600,M,16,16,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,,96531,EUR,730771200,G,23,23,False,25.0,12.0,17.0,4.0,0.0,9.0,11.0,3.0,14.0,3.0,,,90.0,34.0,6.5,13.0,0.00316452,0,0.05,-0.11,-0.28,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,2.0,0.4357,0.1969,0.38,,
14025214,away,West Ham United,Aaron Wan-Bissaka,aaron-wan-bissaka,A. Wan-Bissaka,D,29,183,18282,M,awbissaka,863653,EUR,880502400,D,29,29,False,13.0,10.0,1.0,1.0,0.0,2.0,3.0,8.0,10.0,,,,79.0,35.0,6.2,9.0,0.00667942,0,0.02,-0.41,-0.24,,3.0,1.0,1.0,,,5.0,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,
14025214,away,West Ham United,Konstantinos Mavropanos,konstantinos-mavropanos,K. Mavropanos,D,15,194,2680,M,,829022,EUR,881798400,D,15,15,False,26.0,24.0,1.0,1.0,0.0,20.0,21.0,4.0,5.0,4.0,,,90.0,49.0,6.8,3.0,0.00551781,0,0.08,0.02,0.44,,5.0,1.0,,,,16.0,2.0,,,1.0,,,,,,,,4.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,
14025214,away,West Ham United,Max Kilman,max-kilman,M. Kilman,D,3,192,1250,M,,894474,EUR,864345600,D,3,3,False,26.0,19.0,6.0,2.0,0.0,13.0,15.0,6.0,11.0,3.0,,,90.0,39.0,6.4,9.0,0.00471708,0,0.04,0.1,-0.15,1.0,2.0,2.0,1.0,,,8.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
14025214,away,West Ham United,El Hadji Malick Diouf,diouf-el-hadji-malick,E. H. M. Diouf,M,12,183,14539,M,,1471764,EUR,1104192000,D,12,12,False,23.0,18.0,6.0,2.0,0.0,5.0,6.0,13.0,17.0,2.0,,,90.0,48.0,6.1,9.0,0.0264558,0,0.22,-0.04,-0.35,1.0,6.0,4.0,1.0,,,9.0,2.0,,,2.0,2.0,3.0,,,,1.0,,2.0,2.0,,2.0,,,,,,,,El Hadji Malick Diouf,,,,,,,,,,,,,,1.0
14025214,away,West Ham United,Soungoutou Magassa,soungoutou-magassa,S. Magassa,M,27,188,1742,M,,1170560,EUR,1065571200,M,27,27,False,13.0,10.0,2.0,,0.0,3.0,3.0,7.0,10.0,,,,61.0,26.0,6.2,5.0,0.00176273,0,0.02,0.0,-0.17,,3.0,1.0,,,,2.0,1.0,1.0,,2.0,,1.0,,,,,,1.0,,,1.0,,,,,,,,Soungoutou Magassa,,1.0,,,,,,,,,,,,
