match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_goals,stat_goalAssist,stat_hitWoodwork
10665964,home,Al Batin,Martín Campaña,martin-campana,M. Campaña,G,25,186.0,179,M,243045,EUR,612403200.0,G,25,25,False,True,26.0,13.0,23.0,10.0,10.0,13.0,3.0,13.0,1.0,2.0,1.0,12.0,1.0,1.0,6.0,9.0,90.0,43.0,8.6,13.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10665964,home,Al Batin,Bassam Al-Hurayji,bassam-al-hurayji,B. Al-Hurayji,D,66,175.0,126,M,1085357,EUR,954288000.0,D,6,6,False,,37.0,31.0,5.0,3.0,27.0,29.0,4.0,11.0,2.0,14.0,2.0,9.0,5.0,1.0,,,90.0,70.0,7.0,15.0,0,Mohammed Bassam Alhurayji,,3.0,3.0,10.0,2.0,3.0,2.0,2.0,1.0,5.0,4.0,,,,,,,,,,,,,,
10665964,home,Al Batin,Thibault Peyre,thibault-peyre,T. Peyre,D,23,182.0,18,M,252141,EUR,718070400.0,D,23,23,False,,24.0,15.0,5.0,,13.0,14.0,2.0,10.0,2.0,4.0,6.0,3.0,2.0,1.0,,,90.0,37.0,7.0,9.0,0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
10665964,home,Al Batin,Maurício Antônio,mauricio-antonio,M. Antônio,D,13,183.0,71,M,583824,EUR,697334400.0,D,4,4,False,,28.0,22.0,8.0,3.0,17.0,19.0,5.0,9.0,3.0,3.0,7.0,5.0,,,,,90.0,39.0,6.8,6.0,0,,,,1.0,3.0,1.0,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,
10665964,home,Al Batin,Abdullah Al Yousif,abdullah-al-yousif,A. A. Yousif,D,13,175.0,9,M,892897,EUR,878083200.0,D,13,13,False,,31.0,29.0,4.0,2.0,18.0,18.0,12.0,17.0,1.0,1.0,5.0,5.0,,,,,90.0,53.0,6.8,8.0,0,,,4.0,1.0,4.0,2.0,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,
10665964,home,Al Batin,André Bukia,andre-bukia,A. Bukia,M,95,173.0,95,M,798904,EUR,794188800.0,M,11,11,False,,31.0,23.0,3.0,2.0,10.0,11.0,14.0,23.0,,6.0,,3.0,1.0,1.0,,,89.0,53.0,7.1,17.0,3,,,3.0,2.0,7.0,1.0,6.0,3.0,2.0,1.0,2.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
10665964,home,Al Batin,Nawaf Al-Sehimai,nawaf-al-sehimai,N. Al-Sehimai,M,94,169.0,1,M,923013,EUR,783993600.0,M,94,94,False,,27.0,23.0,2.0,1.0,16.0,16.0,8.0,12.0,,5.0,,3.0,,,,,86.0,39.0,6.7,7.0,0,,,1.0,,4.0,,2.0,1.0,1.0,1.0,4.0,2.0,,1.0,1.0,1.0,,,,,,,,,,
10665964,home,Al Batin,Mudasiru Salifu,mudasiru-salifu,M. Salifu,M,,177.0,195,M,1392856,EUR,859852800.0,M,90,90,False,,35.0,30.0,2.0,1.0,19.0,23.0,11.0,12.0,,2.0,2.0,6.0,1.0,1.0,,,90.0,42.0,6.6,6.0,0,Mudasiru,Salifu,,1.0,4.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
10665964,home,Al Batin,Yousef Al-Shammari,yousef-al-shammari,Y. Al-Shammari,F,7,170.0,52,M,917232,EUR,881625600.0,M,7,7,False,,15.0,11.0,,,5.0,5.0,7.0,11.0,1.0,5.0,2.0,2.0,,,,,90.0,29.0,7.0,6.0,3,,,1.0,1.0,1.0,,1.0,1.0,,2.0,3.0,,,1.0,1.0,,,1.0,2.0,,,,,,,
10665964,home,Al Batin,Andrés Roa,andres-roa,A. Roa,F,,175.0,286,M,832707,EUR,738201600.0,F,10,10,False,,25.0,21.0,4.0,2.0,3.0,3.0,20.0,30.0,,2.0,,5.0,,,,,90.0,49.0,7.6,15.0,2,,,8.0,1.0,10.0,1.0,2.0,1.0,,,1.0,4.0,2.0,7.0,2.0,3.0,1.0,1.0,,1.0,1.0,,,,,
