match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_accurateCross,stat_errorLeadToAShot,player_sofascoreId,stat_hitWoodwork,stat_totalOffside
11451053,home,Antalyaspor,Helton Leite,,,helton-leite,H. Leite,G,23,196,372,M,329081,EUR,657504000,G,1,1,False,36.0,30.0,11.0,5.0,0.0,28.0,30.0,2.0,6.0,2.0,2.0,8.0,1.0,3.0,3.0,90.0,46.0,7.5,6.0,0.00025683,0,1.2641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451053,home,Antalyaspor,Bünyamin Balcı,,,bunyamin-balci,B. Balcı,D,7,180,128,M,967214,EUR,959731200,D,7,7,False,48.0,40.0,4.0,2.0,0.0,22.0,25.0,18.0,24.0,,4.0,7.0,,,,90.0,75.0,7.2,11.0,0.128924,0,,1.0,2.0,7.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11451053,home,Antalyaspor,Veysel Sarı,,,veysel-sari,V. Sarı,D,89,185,109,M,98276,EUR,585792000,D,89,89,False,52.0,44.0,13.0,5.0,0.0,27.0,29.0,17.0,24.0,2.0,5.0,4.0,,,,90.0,66.0,7.1,9.0,0.00610633,3,,1.0,1.0,5.0,1.0,,3.0,1.0,1.0,1.0,2.0,3.0,,True,1.0,1.0,1.0,1.0,0.3075,0.445,,,,,,,,,,
11451053,home,Antalyaspor,Ömer Toprak,,,omer-toprak,Ö. Toprak,D,,187,127,M,39015,EUR,616982400,D,21,21,False,47.0,41.0,5.0,2.0,0.0,30.0,31.0,11.0,16.0,,2.0,5.0,,,,74.0,58.0,7.6,8.0,0.109766,0,,,1.0,1.0,,,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,2.0,2.0,,,,,,,
11451053,home,Antalyaspor,Güray Vural,,,guray-vural,G. Vural,D,77,177,69,M,43559,EUR,581990400,D,11,11,False,25.0,24.0,,,0.0,18.0,18.0,6.0,7.0,,,3.0,,,,45.0,30.0,6.5,4.0,0.00271035,0,,,1.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11451053,home,Antalyaspor,Erdal Rakip,,,erdal-rakip,E. Rakip,M,,179,73,M,319871,EUR,824169600,M,6,6,False,26.0,21.0,1.0,,0.0,12.0,13.0,9.0,14.0,,6.0,7.0,,,,74.0,38.0,6.9,6.0,0.00900267,1,,1.0,2.0,5.0,2.0,,,1.0,3.0,1.0,3.0,1.0,,,,,1.0,,0.0481,0.057,,,,,,,,,,
11451053,home,Antalyaspor,Dario Šarić,,,dario-saric,D. Šarić,M,88,180,555,M,848385,EUR,864950400,M,8,8,False,35.0,28.0,3.0,1.0,0.0,15.0,19.0,13.0,16.0,2.0,8.0,9.0,,,,90.0,55.0,7.1,13.0,0.0259906,3,,,2.0,8.0,2.0,1.0,,1.0,3.0,1.0,1.0,1.0,2.0,,,2.0,,1.0,0.1303,,,,3.0,4.0,2.0,,,,,
11451053,home,Antalyaspor,Sagiv Jehezkel,Sagiv,Jehezkel,sagiv-jehezkel,S. Jehezkel,D,11,184,114,M,1513792,EUR,795744000,M,29,29,False,22.0,14.0,,,0.0,4.0,4.0,12.0,23.0,1.0,12.0,7.0,,,,90.0,55.0,6.8,24.0,0.361351,1,,5.0,1.0,14.0,,7.0,,1.0,2.0,2.0,7.0,2.0,2.0,,1.0,1.0,,,0.3016,,1.0,,1.0,6.0,2.0,2.0,,,,
11451053,home,Antalyaspor,Ramzi Safuri,,,ramzi-safuri,R. Safuri,M,8,184,208,M,186949,EUR,814233600,M,16,16,False,22.0,17.0,3.0,1.0,0.0,9.0,11.0,11.0,16.0,1.0,1.0,6.0,,,,61.0,32.0,6.6,10.0,0.115126,1,,5.0,,2.0,,1.0,,1.0,,,,,2.0,,,,1.0,,0.0308,0.0395,,,1.0,1.0,,3.0,2.0,,,
11451053,home,Antalyaspor,Sam Larsson,,,sam-larsson,S. Larsson,M,23,179,231,M,229800,EUR,734400000,M,10,10,False,24.0,20.0,2.0,1.0,0.0,11.0,11.0,9.0,14.0,,2.0,2.0,,,,73.0,38.0,7.1,10.0,0.0793296,2,,1.0,,3.0,1.0,,,2.0,2.0,1.0,,1.0,3.0,,,,1.0,1.0,0.0991,0.0412,,,3.0,1.0,,,,,,
