match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_possessionLostCtrl,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_outfielderBlock,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_keyPass,stat_wonContest,stat_goalAssist,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed
11409192,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,True,10.0,10.0,2.0,2.0,9.0,9.0,1.0,1.0,8.0,6.0,6.0,90.0,23.0,7.6,0.0,0.0,0.0005294,0,-1.0399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409192,home,Estoril Praia,Raúl Parra,,,raul-parra,R. Parra,D,36,187,79,M,1069725,EUR,943574400,D,2,2,False,,22.0,20.0,3.0,2.0,13.0,13.0,7.0,11.0,1.0,,,60.0,36.0,6.3,0.0,0.0,0.0160774,0,,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,
11409192,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,,55.0,47.0,9.0,4.0,36.0,38.0,11.0,17.0,7.0,,,90.0,67.0,6.7,0.0117,0.0,0.0187277,1,,,8.0,4.0,2.0,5.0,1.0,1.0,1.0,8.0,5.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,
11409192,home,Estoril Praia,Erick Cabaco,,,erick-cabaco,E. Cabaco,D,,186,107,M,587074,EUR,798249600,D,18,18,False,,46.0,39.0,7.0,1.0,31.0,32.0,8.0,14.0,2.0,,,74.0,56.0,6.5,0.0,0.0,0.00588829,0,,,3.0,1.0,,3.0,,,2.0,7.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
11409192,home,Estoril Praia,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,D,78,78,False,,40.0,31.0,5.0,,16.0,16.0,18.0,35.0,6.0,,,90.0,70.0,6.1,0.0,0.0,0.175629,0,,11.0,7.0,3.0,3.0,,1.0,1.0,2.0,24.0,,1.0,,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,
11409192,home,Estoril Praia,Alex Soares,,,alex-soares,A. Soares,M,,179,17,M,203258,EUR,667785600,M,6,6,False,,17.0,12.0,2.0,1.0,7.0,8.0,6.0,10.0,5.0,,,59.0,26.0,6.7,0.0,0.0,0.00927556,0,,1.0,4.0,4.0,,,2.0,1.0,2.0,6.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11409192,home,Estoril Praia,Jordan Holsgrove,,,jordan-holsgrove,J. Holsgrove,M,10,180,223,M,920684,EUR,936921600,M,8,8,False,,78.0,66.0,9.0,5.0,29.0,32.0,40.0,54.0,4.0,,,90.0,97.0,7.9,0.057,0.0345,0.0995302,2,,8.0,2.0,7.0,,2.0,5.0,4.0,1.0,17.0,1.0,2.0,1.0,,1.0,,3.0,,,,1.0,1.0,2.0,,,,,,,,,
11409192,home,Estoril Praia,Joao Marques,,,marques-joao,J. Marques,M,11,179,304,M,1087321,EUR,1013558400,M,33,33,False,,43.0,31.0,4.0,2.0,10.0,12.0,22.0,36.0,8.0,,,90.0,71.0,7.7,0.0,0.0,0.0622,0,,5.0,2.0,14.0,,,3.0,3.0,3.0,23.0,,5.0,,1.0,1.0,1.0,1.0,1.0,5.0,6.0,,,,5.0,,,,,,,,
11409192,home,Estoril Praia,Rafik Guitane,,,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,10,10,False,,27.0,22.0,2.0,1.0,6.0,6.0,17.0,22.0,5.0,,,89.0,48.0,6.8,0.0,0.0,0.294199,0,,1.0,9.0,5.0,,,,,1.0,18.0,,,,,,2.0,1.0,3.0,8.0,5.0,,,2.0,3.0,1.0,,,,,,,
11409192,home,Estoril Praia,Alejandro Marqués,,,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,,9.0,8.0,,,4.0,4.0,4.0,5.0,1.0,,,90.0,22.0,7.6,0.2231,0.4774,0.0930265,2,,,7.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,,,,,,2.0,2.0,1.0,,3.0,1.0,,1.0,,,,,,
