match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_fouls,stat_totalContest,stat_wonContest,stat_outfielderBlock,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_keyPass,stat_blockedScoringAttempt,stat_goalAssist,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,player_sofascoreId
10388392,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,32.0,22.0,15.0,6.0,16.0,16.0,6.0,16.0,1.0,11.0,1.0,90.0,35.0,6.9,10.0,0.0,0.0,0.00543936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Timo Baumgartl,timo-baumgartl,T. Baumgartl,D,32,190,150,M,280025,EUR,825897600,D,25,25,False,53.0,40.0,8.0,3.0,27.0,28.0,14.0,27.0,3.0,3.0,,62.0,59.0,6.6,14.0,0.0488,0.0269,0.0445988,1,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,75.0,69.0,12.0,8.0,50.0,51.0,19.0,24.0,1.0,11.0,,90.0,83.0,7.2,8.0,0.0,0.0,0.0144217,0,,,2.0,,4.0,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,68.0,61.0,8.0,7.0,36.0,37.0,25.0,31.0,5.0,7.0,,90.0,79.0,7.4,9.0,0.281,0.0,0.0305974,1,,,1.0,1.0,6.0,,,1.0,4.0,4.0,,,,,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Christopher Trimmel,christopher-trimmel,C. Trimmel,M,28,189,354,M,48557,EUR,541123200,M,28,28,False,31.0,24.0,7.0,5.0,8.0,11.0,18.0,23.0,4.0,10.0,1.0,90.0,55.0,7.1,10.0,0.0,0.0,0.395674,0,3.0,2.0,,,5.0,2.0,,,3.0,1.0,1.0,,,,,1.0,,1.0,2.0,,True,3.0,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,András Schäfer,andras-schafer,A. Schäfer,M,13,179,2407,M,877302,EUR,923961600,M,13,13,False,16.0,13.0,1.0,1.0,7.0,8.0,6.0,8.0,6.0,3.0,,76.0,32.0,6.9,9.0,0.0,0.0,0.14898,0,,,,1.0,3.0,,,,3.0,,3.0,2.0,,,,2.0,,,3.0,3.0,,1.0,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,28.0,18.0,4.0,,9.0,10.0,9.0,18.0,1.0,6.0,,90.0,37.0,6.5,12.0,0.0277,0.0,0.015077,1,,,,,3.0,1.0,,,1.0,2.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,23.0,18.0,3.0,2.0,9.0,9.0,9.0,15.0,4.0,8.0,1.0,62.0,36.0,6.6,12.0,0.0779,0.1152,0.0373999,1,1.0,,3.0,1.0,10.0,1.0,1.0,,1.0,3.0,1.0,1.0,,,,3.0,,,,3.0,,1.0,,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Niko Giesselmann,niko-giesselmann,N. Giesselmann,D,,179,73,M,123915,EUR,685843200,M,23,23,False,40.0,31.0,5.0,3.0,17.0,19.0,16.0,30.0,3.0,3.0,2.0,90.0,72.0,6.9,20.0,0.0471,0.0,0.0871341,2,9.0,2.0,1.0,1.0,4.0,2.0,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,
10388392,home,1. FC Union Berlin,Sheraldo Becker,sheraldo-becker,S. Becker,F,23,180,1505,M,352544,EUR,792288000,F,27,27,False,13.0,10.0,1.0,1.0,3.0,3.0,9.0,16.0,2.0,2.0,1.0,87.0,32.0,8.1,13.0,0.435,0.9143,0.358915,3,6.0,2.0,3.0,1.0,9.0,,1.0,,,1.0,,,,,,5.0,2.0,,,1.0,,3.0,,1.0,1.0,,,,,,,,,
