match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_wonContest,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_unsuccessfulTouch,stat_dispossessed,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_keeperSaveValue
14065091,home,RB Leipzig,Péter Gulácsi,peter-gulacsi,P. Gulácsi,G,1,190,2361,M,37096,EUR,641952000,G,1,1,False,32.0,28.0,8.0,4.0,0.0,26.0,26.0,2.0,6.0,1.0,1.0,3.0,5.0,2.0,1.0,90.0,40.0,6.7,4.0,0.00074716,0,-0.4476,0.06,0.01,-0.03,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065091,home,RB Leipzig,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,17,17,False,59.0,54.0,9.0,6.0,0.0,30.0,30.0,24.0,29.0,,3.0,4.0,,,,80.0,85.0,7.0,10.0,0.213448,2,,0.47,0.2,-0.19,,,,1.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,0.1325,-0.36,,,,,,,,,,,,,,,,,,,,,,,
14065091,home,RB Leipzig,Willi Orbán,willi-orban,W. Orbán,D,4,186,3115,M,136924,EUR,720748800,D,4,4,False,54.0,51.0,6.0,3.0,0.0,41.0,42.0,10.0,12.0,1.0,2.0,7.0,1.0,,,90.0,77.0,7.7,3.0,0.0210556,3,,0.06,0.06,0.65,,,,,1.0,1.0,,,2.0,1.0,1.0,,0.4714,-0.41,1.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,
14065091,home,RB Leipzig,Castello Lukeba,castello-lukeba,C. Lukeba,D,23,184,2734,M,976421,EUR,1040083200,D,23,23,False,58.0,53.0,4.0,,0.0,41.0,42.0,12.0,16.0,,1.0,1.0,4.0,,,90.0,66.0,6.3,7.0,0.0363148,0,,0.23,0.12,-0.16,,,,,2.0,5.0,,3.0,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
14065091,home,RB Leipzig,David Raum,david-raum,D. Raum,D,22,180,2192,M,856076,EUR,893203200,D,22,22,False,62.0,53.0,5.0,1.0,0.0,37.0,39.0,16.0,23.0,,1.0,4.0,10.0,,,90.0,92.0,8.6,20.0,0.603428,1,,0.6,0.05,0.2,,,,13.0,,1.0,,,,1.0,1.0,1.0,0.0747,0.56,,,,1.0,,,,True,6.0,1.0,1.0,1.0,0.5075,3.0,,,,,,,,,
14065091,home,RB Leipzig,Assan Ouédraogo,assan-ouedraogo,A. Ouédraogo,M,20,192,7677,M,1418623,EUR,1147132800,M,20,20,False,13.0,11.0,1.0,,0.0,2.0,2.0,9.0,11.0,,4.0,1.0,1.0,,,58.0,21.0,6.9,2.0,0.0581056,2,,-0.36,0.28,0.0,,Assan Ouédraogo,,1.0,1.0,1.0,,1.0,,1.0,1.0,,0.9007,0.37,1.0,,,,,2.0,1.0,,1.0,2.0,1.0,,1.1038,,,,,,,,,,
14065091,home,RB Leipzig,Nicolas Seiwald,seiwald-nicolas,N. Seiwald,M,13,179,1528,M,976575,EUR,988934400,M,13,13,False,22.0,17.0,1.0,,0.0,10.0,12.0,7.0,10.0,,1.0,3.0,2.0,,,90.0,31.0,6.6,5.0,0.0573516,1,,0.01,0.05,0.17,,,,1.0,,,,,1.0,1.0,,,0.0238,-0.02,,,,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,
14065091,home,RB Leipzig,Johan Bakayoko,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,M,9,9,False,28.0,23.0,,,0.0,6.0,7.0,17.0,21.0,,4.0,1.0,2.0,,,80.0,38.0,7.2,9.0,0.400918,1,,0.2,0.28,-0.05,,Johan Bakayoko,,1.0,1.0,2.0,,3.0,,,,,0.0924,-0.11,,1.0,,,,2.0,2.0,,,,,1.0,,2.0,johanbakayoko,1.0,,,,,,,
14065091,home,RB Leipzig,Christoph Baumgartner,christoph-baumgartner,C. Baumgartner,M,14,180,2738,M,825956,EUR,933465600,M,14,14,False,34.0,26.0,5.0,3.0,0.0,16.0,19.0,10.0,15.0,1.0,2.0,3.0,4.0,,,89.0,45.0,6.7,11.0,0.0188887,2,,-0.12,0.24,-0.01,,,,,3.0,8.0,1.0,,1.0,1.0,1.0,2.0,0.2229,0.17,,,,,,,,,,1.0,,,0.6672,,,1.0,2.0,,,,,,
14065091,home,RB Leipzig,Yan Diomande,yan-diomande,Y. Diomande,F,49,180,20986,M,2087085,EUR,1163462400,M,49,49,False,31.0,28.0,,,0.0,10.0,11.0,18.0,20.0,,3.0,,2.0,,,89.0,56.0,6.9,11.0,0.341992,2,,0.37,0.57,-0.03,,Yan Diomande,,1.0,2.0,7.0,,3.0,,1.0,,2.0,0.2704,-0.53,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,0.7183,2.0,,3.0,2.0,,,,,,
