match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_aerialLost,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_errorLeadToAGoal,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_shotOffTarget,stat_blockedScoringAttempt,stat_keyPass,stat_totalOffside,stat_accurateCross,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_accurateKeeperSweeper,stat_goals
13981590,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,True,30.0,17.0,22.0,9.0,0.0,14.0,19.0,3.0,11.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,90.0,36.0,6.7,13.0,0.00132173,38.17937144355,6.0,6.93,4.725,0.8396,0,-0.4514,0.04,-0.06,-0.29,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981590,home,Lecce,Danilo Veiga,,,danilo-veiga,D. Veiga,D,17,183,380,M,1002045,EUR,1032912000,D,17,17,False,,24.0,18.0,2.0,1.0,0.0,4.0,5.0,14.0,19.0,2.0,7.0,3.0,,,,,90.0,51.0,6.6,11.0,0.046041,92.510084614849,11.0,68.985,29.82,,0,,0.15,0.14,-0.35,,1.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,3.0,2.0,2.0,1.0,1.0,30.166032818387,1.0,,,,,,,,,,,,,,,,,
13981590,home,Lecce,Jamil Siebert,,,jamil-siebert,J. Siebert,D,5,193,263,M,1014287,EUR,1017705600,D,5,5,False,,24.0,19.0,4.0,1.0,0.0,16.0,17.0,3.0,7.0,,3.0,1.0,,,,,90.0,35.0,6.4,5.0,0.00069267,62.185278068582,7.0,-13.335,7.245,,0,,-0.05,0.01,-0.06,,,3.0,,,,,5.0,1.0,3.0,1.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,
13981590,home,Lecce,Tiago Gabriel,Tiago Gabriel,,tiago-gabriel,T. Gabriel,D,44,194,1285,M,1651825,EUR,1104019200,D,44,44,False,,33.0,24.0,5.0,2.0,0.0,20.0,24.0,4.0,9.0,3.0,7.0,1.0,,,,,90.0,48.0,6.0,9.0,0.002669,95.447371839986,15.0,21.42,10.08,,1,,-0.06,0.01,-0.73,,,1.0,1.0,,,,8.0,,2.0,1.0,,2.0,,,,,1.0,1.0,1.0,0.0455,0.5803,-0.16,,,,,,,,,,
13981590,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,,26.0,15.0,7.0,2.0,0.0,8.0,12.0,7.0,14.0,,4.0,6.0,,,,,90.0,48.0,6.0,18.0,0.0232179,61.355782711859,7.0,46.62,13.02,,1,,-0.23,0.2,-0.53,,2.0,2.0,1.0,,,,3.0,1.0,4.0,3.0,2.0,,,8.5465782626733,1.0,1.0,,,,0.0266,,-0.06,1.0,,,,,,,,,
13981590,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1041,M,841977,EUR,829267200,M,20,20,False,,34.0,30.0,1.0,1.0,0.0,13.0,15.0,17.0,19.0,1.0,8.0,4.0,,,,,89.0,51.0,6.8,5.0,0.0127549,50.058760522873,7.0,3.15,6.405,,1,,0.17,0.04,-0.3,,,6.0,4.0,,1.0,1.0,,5.0,1.0,,1.0,5.0,1.0,,,1.0,,,,0.0158,,-0.04,,1.0,1.0,,,,,,,
13981590,home,Lecce,Santiago Pierotti,,,santiago-pierotti,S. Pierotti,F,50,189,760,M,984998,EUR,986256000,M,50,50,False,,17.0,11.0,1.0,1.0,0.0,3.0,5.0,8.0,12.0,2.0,7.0,6.0,,,,,79.0,29.0,6.7,10.0,0.00361085,56.616446703064,8.0,36.015,9.135,,0,,-0.1,0.13,-0.1,,1.0,4.0,1.0,,1.0,,1.0,1.0,4.0,3.0,2.0,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,
13981590,home,Lecce,Mohamed Kaba,,,mohamed-kaba,M. Kaba,M,21,185,693,M,1127590,EUR,1004140800,M,77,77,False,,27.0,22.0,1.0,,0.0,6.0,7.0,16.0,20.0,3.0,13.0,4.0,,,,,90.0,50.0,7.1,12.0,0.0205759,98.73451780742,12.0,60.48,29.19,,2,,0.09,0.22,-0.13,,3.0,5.0,,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,7.0,2.0,45.984125157265,2.0,1.0,,2.0,,0.1709,0.0652,-0.35,,,,,,,,,,
13981590,home,Lecce,Youssef Maleh,,,maleh-youssef,Y. Maleh,M,29,177,1361,M,849274,EUR,903744000,M,93,93,False,,19.0,14.0,3.0,1.0,0.0,7.0,8.0,7.0,11.0,,2.0,4.0,,,,,69.0,31.0,6.7,7.0,0.0210887,32.058348853996,7.0,-2.94,4.62,,1,,0.08,-0.07,-0.05,,2.0,3.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,,,,1.0,,0.3005,0.3271,0.18,,,,,1.0,1.0,,,,
13981590,home,Lecce,Riccardo Sottil,,,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,M,23,23,False,,10.0,7.0,1.0,,0.0,1.0,2.0,6.0,8.0,,3.0,3.0,,,,,79.0,27.0,6.6,13.0,0.0838311,173.20836506184,10.0,140.595,39.06,,1,,0.15,0.28,-0.14,,9.0,2.0,,,3.0,2.0,1.0,1.0,,,1.0,1.0,,123.19289312418,4.0,1.0,,,,0.0349,,0.0,1.0,,1.0,,1.0,,,,,
