match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalCross,stat_wonContest,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_totalOffside,captain,stat_goals,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_outfielderBlock,stat_goalAssist,stat_bigChanceMissed,stat_bigChanceCreated
11352427,home,Luton Town,Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,545,M,45959,EUR,719798400,G,24,24,False,32.0,31.0,4.0,3.0,29.0,29.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,90.0,35.0,6.3,2.0,0.00025924,0,-0.5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352427,home,Luton Town,Reece Burke,reece-burke,R. Burke,D,32,189,102,M,372342,EUR,841622400,D,16,16,False,50.0,41.0,7.0,2.0,19.0,22.0,22.0,28.0,2.0,,,,,68.0,59.0,6.3,9.0,0.00967701,3,,3.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0918,0.2388,,,,,,,,,,,,,,,,,,,,,,,,
11352427,home,Luton Town,Gabriel Osho,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,2,2,False,57.0,51.0,5.0,3.0,33.0,35.0,18.0,22.0,7.0,,,,,90.0,72.0,6.6,9.0,0.0081073,2,,2.0,,6.0,3.0,,,4.0,,1.0,1.0,0.1458,,1.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,
11352427,home,Luton Town,Amari'i Bell,amarii-bell,A. Bell,D,17,179,289,M,369674,EUR,768096000,D,29,29,False,75.0,66.0,7.0,2.0,31.0,34.0,35.0,41.0,7.0,,,,,90.0,90.0,7.3,11.0,0.0452123,0,,1.0,2.0,2.0,9.0,,,4.0,,,,,,1.0,,,,2.0,7.0,7.0,2.0,,,,,,,,,,,,,,,,
11352427,home,Luton Town,Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181,757,M,849309,EUR,862444800,M,7,7,False,56.0,46.0,3.0,,12.0,17.0,34.0,44.0,5.0,,,,,90.0,82.0,6.8,19.0,0.278635,1,,1.0,4.0,2.0,6.0,,1.0,1.0,,1.0,,0.038,,,1.0,1.0,,,,,3.0,5.0,1.0,2.0,,,,,,,,,,,,,
11352427,home,Luton Town,Albert Sambi Lokonga,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3626,M,901892,EUR,940550400,M,28,28,False,80.0,74.0,6.0,4.0,23.0,25.0,51.0,56.0,5.0,,,,,90.0,93.0,7.2,8.0,0.0535936,0,,,,2.0,5.0,,,3.0,,2.0,1.0,,,,,1.0,,1.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,
11352427,home,Luton Town,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,M,6,6,False,69.0,58.0,12.0,7.0,20.0,20.0,38.0,51.0,2.0,,,,,90.0,91.0,7.6,17.0,0.0850049,3,,3.0,7.0,6.0,12.0,,1.0,3.0,,2.0,,0.1104,,,3.0,2.0,2.0,1.0,1.0,,1.0,2.0,2.0,3.0,,,,,,,,,,,,,
11352427,home,Luton Town,Alfie Doughty,alfie-doughty,A. Doughty,M,14,183,521,M,945792,EUR,945734400,M,45,45,False,48.0,39.0,5.0,2.0,13.0,13.0,36.0,58.0,5.0,,,,,87.0,91.0,8.2,27.0,0.388288,2,,2.0,,3.0,5.0,,1.0,,,1.0,1.0,0.0895,,,,1.0,1.0,,3.0,,3.0,23.0,1.0,9.0,,,10.0,1.0,,,,,,,,,
11352427,home,Luton Town,Jordan Clark,jordan-clark,J. Clark,M,18,183,134,M,150477,EUR,748656000,F,18,18,False,15.0,8.0,2.0,,2.0,2.0,6.0,13.0,2.0,,,,,53.0,21.0,6.4,11.0,0.00205938,0,,,,2.0,1.0,,,,,,,,,,2.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,
11352427,home,Luton Town,Carlton Morris,carlton-morris,C. Morris,F,9,185,1069,M,358222,EUR,819072000,F,9,9,False,22.0,19.0,1.0,,6.0,6.0,13.0,17.0,1.0,,,,,87.0,34.0,7.1,8.0,0.0295988,2,,2.0,1.0,6.0,4.0,2.0,,,,2.0,1.0,0.8135,1.4526,,2.0,2.0,,,,,,1.0,1.0,,,,,,True,1.0,,,,,,,
