match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_totalCross,stat_dispossessed,stat_keyPass,captain,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_bigChanceMissed
11369831,home,KAA Gent,Paul Nardi,,,paul-nardi,P. Nardi,G,16,187,112,M,155717,EUR,769219200,G,1,1,False,23.0,11.0,18.0,6.0,9.0,11.0,2.0,12.0,2.0,1.0,7.0,2.0,1.0,5.0,6.0,1.0,90.0,36.0,7.7,12.0,0.0,0.0,0.00095168,0,0.7226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,39.0,27.0,9.0,4.0,17.0,21.0,10.0,18.0,5.0,3.0,5.0,1.0,,,,,90.0,49.0,6.7,12.0,0.0,0.0,0.00587645,0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,False,35.0,25.0,7.0,2.0,21.0,24.0,4.0,11.0,2.0,2.0,5.0,,,,,,90.0,41.0,6.7,10.0,0.0,0.0,0.0125997,0,,2.0,3.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Núrio Fortuna,Núrio,Fortuna,nurio-fortuna,N. Fortuna,D,25,177,290,M,385388,EUR,796003200,D,25,25,False,42.0,26.0,10.0,1.0,12.0,16.0,14.0,26.0,4.0,3.0,3.0,2.0,,,,,90.0,55.0,6.5,18.0,0.0154,0.0,0.0134193,1,,1.0,6.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Andrew Hjulsager,,,andrew-hjulsager,A. Hjulsager,M,17,177,166,M,186807,EUR,790128000,M,17,17,False,26.0,22.0,2.0,1.0,5.0,6.0,17.0,24.0,4.0,,6.0,,,,,,82.0,45.0,6.7,11.0,0.2855,0.0,0.0517343,0,,,8.0,3.0,,4.0,1.0,3.0,1.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,48.0,42.0,7.0,5.0,17.0,18.0,25.0,32.0,5.0,7.0,6.0,1.0,,,,,90.0,67.0,7.0,11.0,0.0,0.0,0.0289073,0,,1.0,7.0,3.0,,3.0,3.0,1.0,1.0,,,2.0,2.0,,True,,,,,,,,,,,,,,,,
11369831,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177,1224,M,942937,EUR,929491200,M,7,7,False,26.0,20.0,1.0,1.0,8.0,9.0,13.0,19.0,3.0,,4.0,1.0,,,,,65.0,38.0,8.3,11.0,0.3814,1.3078,0.0776739,3,,1.0,4.0,2.0,,,,,1.0,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,
11369831,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,53.0,39.0,7.0,2.0,15.0,17.0,24.0,36.0,4.0,2.0,12.0,,,,,,90.0,63.0,7.3,14.0,0.1323,0.0,0.0535371,3,,1.0,2.0,2.0,,3.0,1.0,,,2.0,,,,3.0,,,,,,1.0,,1.0,,,,,,,,,
11369831,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,M,3,3,False,26.0,17.0,4.0,2.0,7.0,8.0,10.0,23.0,10.0,2.0,7.0,3.0,,,,,90.0,58.0,6.7,23.0,0.0,0.0,0.0191029,0,,3.0,10.0,,,1.0,1.0,3.0,3.0,,2.0,5.0,2.0,,,,5.0,3.0,,,,1.0,1.0,,,,,,,,
11369831,home,KAA Gent,Tarik Tissoudali,,,tarik-tissoudali,T. Tissoudali,F,9,182,4096,M,584472,EUR,733708800,F,10,10,False,17.0,12.0,1.0,,2.0,2.0,10.0,15.0,1.0,1.0,,,,,,,65.0,26.0,7.0,7.0,0.1333,0.1185,0.02429,1,,,2.0,,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,1.0,,,,1.0,tissoudali14,1.0,,,,,,
11369831,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1408,M,836289,EUR,855273600,F,11,11,False,22.0,15.0,2.0,1.0,7.0,9.0,8.0,14.0,14.0,,7.0,2.0,,,,,90.0,53.0,6.9,22.0,0.472,0.0,0.0192547,4,,4.0,18.0,2.0,,5.0,4.0,2.0,4.0,2.0,3.0,1.0,8.0,,,,5.0,3.0,,2.0,,,1.0,,,1.0,,,,,
