match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_challengeLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,player_sofascoreId,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_penaltyConceded,stat_unsuccessfulTouch,stat_totalOffside,stat_errorLeadToAGoal,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_accurateCross,stat_errorLeadToAShot,stat_shotOffTarget,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_bigChanceCreated
12764276,home,Qarabağ FK,Mateusz Kochalski,,,kochalski-mateusz,M. Kochalski,G,99,190.0,11043,M,851249,EUR,964483200,G,99,99,False,28.0,18.0,11.0,2.0,0.0,16.0,18.0,2.0,10.0,1.0,1.0,9.0,1.0,3.0,1.0,7.0,90.0,42.0,8.0,10.0,0.00055646,0,0.0574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Abbas Hüseynov,,,abbas-huseynov,A. Hüseynov,D,30,179.0,2509,M,548218,EUR,803001600,D,30,30,False,26.0,23.0,1.0,1.0,0.0,12.0,12.0,11.0,15.0,,1.0,2.0,,,,,90.0,34.0,6.3,5.0,0.0138027,0,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Bədavi Hüseynov,,,bedavi-huseynov,B. Huseynov,D,55,184.0,3422,M,149045,EUR,679190400,D,55,55,False,44.0,36.0,6.0,1.0,0.0,28.0,30.0,8.0,14.0,4.0,8.0,6.0,,,,,90.0,58.0,6.7,8.0,0.00266601,0,,,1.0,3.0,,5.0,2.0,1.0,,True,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Kevin Medina,,,kevin-medina,K. Medina,D,81,185.0,6485,M,939724,EUR,731635200,D,81,81,False,66.0,58.0,6.0,1.0,0.0,47.0,50.0,11.0,16.0,,5.0,5.0,,,,,90.0,80.0,6.1,9.0,0.004543,0,,,2.0,6.0,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,1.0,KMedina,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Elvin Jafarguliyev,,,elvin-cafarquliyev,E. Cafarquliyev,D,44,180.0,7692,M,1017996,EUR,972518400,D,44,44,False,38.0,29.0,1.0,,0.0,14.0,17.0,15.0,23.0,1.0,7.0,5.0,,,,,79.0,72.0,5.7,19.0,0.0144265,0,,2.0,1.0,7.0,1.0,3.0,,2.0,1.0,,1.0,,3.0,2.0,elvinjafarguliyev,4.0,1.0,,,3.0,1.0,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Júlio Romão,,,julio-romao,J. Romão,M,66,193.0,1668,M,981624,EUR,891129600,M,6,6,False,8.0,8.0,,,0.0,4.0,4.0,4.0,4.0,,,,,,,,15.0,9.0,3.0,,0.00500383,0,,,,3.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12764276,home,Qarabağ FK,Marko Janković,,,marko-jankovic,M. Janković,M,8,172.0,8159,M,189009,EUR,805248000,M,8,8,False,59.0,41.0,8.0,3.0,0.0,19.0,22.0,22.0,39.0,,8.0,6.0,,,,,84.0,81.0,6.1,25.0,0.0128867,0,,2.0,1.0,5.0,2.0,,,8.0,1.0,,1.0,,,,marko10j,,,,,3.0,,1.0,,,,,,,,,,,,
12764276,home,Qarabağ FK,Leandro Andrade,,,andrade-leandro,L. Andrade,M,15,176.0,7913,M,1048905,EUR,938131200,M,15,15,False,26.0,24.0,,,0.0,4.0,5.0,20.0,21.0,,4.0,6.0,,,,,75.0,40.0,6.7,7.0,0.0301978,1,,,1.0,3.0,1.0,1.0,,3.0,,,,,1.0,,,1.0,,,,3.0,,,1.0,0.0582,,,,,,,,,,
12764276,home,Qarabağ FK,Yassine Benzia,,,yassine-benzia,Y. Benzia,M,8,181.0,9531,M,155718,EUR,778982400,M,7,7,False,46.0,40.0,1.0,1.0,0.0,19.0,23.0,21.0,25.0,,3.0,4.0,,,,,81.0,62.0,6.8,11.0,0.043892,1,,2.0,1.0,4.0,1.0,,4.0,1.0,1.0,,1.0,,2.0,,benzia9,,,1.0,,1.0,,,,0.0279,1.0,0.0107,,,,,,,,
12764276,home,Qarabağ FK,Abdellah Zoubir,,,abdellah-zoubir,A. Zoubir,M,10,180.0,11604,M,214080,EUR,691891200,M,10,10,False,47.0,38.0,,,0.0,14.0,15.0,24.0,32.0,1.0,4.0,6.0,,,,,84.0,60.0,6.4,16.0,0.0486074,0,,,,5.0,5.0,,,2.0,,,,,1.0,,AZ10,,,,,1.0,,,,,,,1.0,,,,,,,
