match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_wasFouled,stat_fouls,captain,stat_blockedScoringAttempt,stat_wonContest,stat_challengeLost,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_penaltyConceded,player_sofascoreId,stat_errorLeadToAShot,stat_goals,stat_penaltyWon
10382295,home,FC Groningen,Peter Leeuwenburgh,,,peter-leeuwenburgh,P. Leeuwenburgh,G,41,196,65,M,149660,EUR,764380800,G,1,1,False,35.0,15.0,27.0,7.0,10.0,15.0,5.0,20.0,1.0,1.0,1.0,1.0,10.0,1.0,2.0,1.0,2.0,90.0,45.0,6.7,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382295,home,FC Groningen,Radinio Balker,,,balker-radinio,R. Balker,D,12,190,152,M,947049,EUR,904780800,D,12,12,False,52.0,39.0,11.0,2.0,29.0,35.0,12.0,22.0,,2.0,,1.0,7.0,,,,,90.0,80.0,6.8,23.0,0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10382295,home,FC Groningen,Matěj Chaluš,,,matej-chalus,M. Chaluš,D,37,189,35,M,824543,EUR,886377600,D,37,37,False,53.0,45.0,7.0,3.0,30.0,34.0,15.0,19.0,3.0,5.0,5.0,2.0,7.0,,,,,78.0,64.0,7.2,8.0,1,,,,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10382295,home,FC Groningen,Mads Bech Sørensen,,,mads-bech-sorensen,M. B. Sørensen,D,22,189,283,M,1006409,EUR,915667200,D,29,29,False,61.0,49.0,10.0,3.0,37.0,41.0,12.0,20.0,1.0,3.0,1.0,,7.0,,,,,90.0,71.0,6.7,12.0,2,,,1.0,1.0,,,2.0,2.0,,,1.0,,,True,1.0,,,,,,,,,,,,
10382295,home,FC Groningen,Jetro Willems,,,jetro-willems,J. Willems,D,15,177,182,M,138828,EUR,764985600,D,15,15,False,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,,2.0,,,,,,,,13.0,13.0,7.2,4.0,0,3.0,,,,2.0,,,,,1.0,,,,,,2.0,,,,,,,,,,,
10382295,home,FC Groningen,Daleho Irandust,,,daleho-irandust,D. Irandust,M,,175,412,M,860148,EUR,896918400,M,10,10,False,26.0,22.0,1.0,,11.0,12.0,11.0,15.0,,8.0,1.0,2.0,7.0,,,,,78.0,45.0,7.1,9.0,1,1.0,,1.0,4.0,2.0,,5.0,2.0,3.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,
10382295,home,FC Groningen,Johan Hove,,,johan-hove,J. Hove,M,8,177,335,M,839953,EUR,968284800,M,8,8,False,8.0,6.0,1.0,,4.0,6.0,2.0,2.0,,,,,1.0,,,,,18.0,9.0,6.6,2.0,0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
10382295,home,FC Groningen,Tomáš Suslov,,,tomas-suslov,T. Suslov,F,10,175,1255,M,964154,EUR,1023408000,M,7,7,False,37.0,23.0,5.0,,12.0,18.0,11.0,20.0,1.0,10.0,,4.0,15.0,,,,,90.0,64.0,6.9,23.0,2,1.0,,1.0,10.0,4.0,,4.0,4.0,3.0,,,2.0,4.0,,1.0,3.0,1.0,3.0,,1.0,,,,,,,
10382295,home,FC Groningen,Isak Dybvik Määttä,,,isak-dybvik-maatta,I. D. Määttä,F,25,188,289,M,980915,EUR,1000857600,M,18,18,False,23.0,15.0,3.0,,4.0,6.0,14.0,21.0,2.0,9.0,,,7.0,,,,,90.0,43.0,7.9,14.0,1,4.0,3.0,1.0,3.0,4.0,,2.0,1.0,3.0,3.0,,2.0,,,,3.0,1.0,,,1.0,2.0,,,,,,
10382295,home,FC Groningen,Ricardo Pepi,,,ricardo-pepi,R. Pepi,F,9,185,3729,M,986395,EUR,1042070400,F,9,9,False,11.0,10.0,,,5.0,5.0,5.0,6.0,,5.0,1.0,,,,,,,90.0,26.0,6.5,4.0,3,,,2.0,5.0,4.0,,2.0,1.0,,1.0,1.0,1.0,,,2.0,2.0,,1.0,1.0,,,1.0,,,,,
