match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_outfielderBlock,stat_shotOffTarget,stat_hitWoodwork,stat_totalCross,stat_dispossessed,stat_wonContest,stat_keyPass,stat_bigChanceCreated,player_sofascoreId,stat_accurateCross,captain,stat_bigChanceMissed,stat_totalOffside
14053608,home,Feyenoord,Timon Wellenreuther,,,timon-wellenreuther,T. Wellenreuther,G,22,186.0,588,M,253875,EUR,817948800,G,22,22,False,57.0,43.0,25.0,11.0,0.0,37.0,38.0,6.0,19.0,1.0,1.0,11.0,1.0,1.0,6.0,8.0,1.0,1.0,90.0,71.0,7.4,15.0,0.00346173,193.50327752717,21.0,139.125,18.9,1.0009,0,-0.8343,0.17,0.06,-0.24,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053608,home,Feyenoord,Bart Nieuwkoop,,,bart-nieuwkoop,B. Nieuwkoop,D,2,180.0,338,M,797279,EUR,826156800,D,2,2,False,10.0,9.0,,,0.0,3.0,3.0,6.0,7.0,3.0,10.0,1.0,1.0,,,,,,68.0,39.0,8.0,7.0,0.0137461,5.3273648270041,1.0,2.1,2.1,,1,,0.21,-0.06,-0.07,,3.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,3.0,3.0,3.0,0.3326,0.3898,0.51,,,,,,,,,,,,,,
14053608,home,Feyenoord,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190.0,1550,M,825899,EUR,922406400,D,21,21,False,53.0,49.0,2.0,1.0,0.0,34.0,35.0,15.0,18.0,1.0,3.0,6.0,1.0,,,,,,87.0,62.0,6.1,4.0,0.00766962,173.45822061991,16.0,104.265,29.715,,1,,0.07,0.1,-0.35,,3.0,4.0,,,,,4.0,1.0,1.0,1.0,,1.0,0.0526,,0.04,1.0,1.0,,,,,,,,,,,,
14053608,home,Feyenoord,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187.0,1372,M,942213,EUR,855100800,D,4,4,False,61.0,58.0,3.0,2.0,0.0,40.0,41.0,18.0,20.0,2.0,2.0,6.0,,,,,,,90.0,69.0,5.9,3.0,0.0216205,264.65451155116,24.0,155.085,44.94,,2,,0.18,0.2,-0.59,,3.0,4.0,,,,,1.0,,,,,1.0,0.2359,,-0.51,,1.0,2.0,1.0,,,,,,,,,,
14053608,home,Feyenoord,Gijs Smal,,,gijs-smal,G. Smal,D,5,183.0,339,M,860160,EUR,872985600,D,5,5,False,49.0,42.0,6.0,3.0,0.0,22.0,27.0,20.0,22.0,1.0,6.0,8.0,1.0,,,,,,90.0,77.0,6.5,13.0,0.0253042,154.71547439779,18.0,82.32,31.5,,1,,0.15,0.28,-0.59,,1.0,2.0,,1.0,,,,2.0,3.0,3.0,,,0.1112,,-0.26,,2.0,1.0,,4.0,1.0,1.0,1.0,,,,,,
14053608,home,Feyenoord,Luciano Valente,Luciano Valente,,luciano-valente,L. Valente,M,10,189.0,1455,M,1121400,EUR,1065225600,M,40,40,False,40.0,34.0,4.0,2.0,0.0,11.0,11.0,23.0,29.0,,6.0,7.0,2.0,,,,,,90.0,53.0,7.2,11.0,0.434928,168.70295062371,16.0,70.875,19.425,,0,,0.55,0.21,-0.31,,,5.0,2.0,4.0,,,,1.0,2.0,1.0,2.0,,,,,,,,,,1.0,2.0,4.0,1.0,,,,,
14053608,home,Feyenoord,Quinten Timber,,,quinten-timber,Q. Timber,M,27,177.0,8611,M,959805,EUR,992736000,M,8,8,False,36.0,26.0,2.0,2.0,0.0,7.0,11.0,19.0,25.0,,8.0,2.0,,,,,,,90.0,53.0,7.6,15.0,0.730198,134.74979064621,15.0,39.9,12.495,,1,,0.62,0.31,-0.15,,1.0,2.0,,2.0,,,,,7.0,1.0,3.0,,0.0235,,-0.12,,1.0,1.0,,,,1.0,3.0,,,,,,
14053608,home,Feyenoord,Anis Hadj Moussa,,,anis-hadj-moussa,A. H. Moussa,F,23,176.0,22233,M,1218066,EUR,1013385600,M,23,23,False,18.0,10.0,3.0,,1.0,2.0,2.0,8.0,16.0,,5.0,3.0,,,,,,,76.0,44.0,6.8,19.0,0.263965,164.07955412446,19.0,68.145,29.61,,4,,0.29,0.51,-0.12,,,6.0,,9.0,,,1.0,,,,1.0,1.0,0.3888,,-0.61,2.0,,2.0,,5.0,1.0,5.0,2.0,1.0,hadj.a20,1.0,,,
14053608,home,Feyenoord,Sem Steijn,,,sem-steijn,S. Steijn,M,14,173.0,3417,M,944467,EUR,1005523200,M,14,14,False,17.0,13.0,,,1.0,8.0,9.0,5.0,8.0,,,1.0,,,,,,,68.0,25.0,7.1,8.0,0.461913,30.858221594031,3.0,1.89,14.07,,2,,0.45,-0.11,-0.12,,,1.0,1.0,,1.0,,,,,,2.0,,0.3601,0.2647,0.15,,,1.0,,3.0,,,2.0,1.0,,2.0,True,,
14053608,home,Feyenoord,Leo Sauer,Leo Sauer,,sauer-leo,L. Sauer,M,16,184.0,1911,M,1150938,EUR,1134691200,M,16,16,False,25.0,20.0,2.0,2.0,0.0,2.0,2.0,18.0,23.0,2.0,4.0,,2.0,,,,,,90.0,38.0,7.9,9.0,0.518085,229.84113238462,18.0,46.305,24.99,,3,,0.72,-0.64,-0.38,,1.0,7.0,4.0,2.0,2.0,1.0,1.0,,,,1.0,,0.3178,1.0037,0.48,,,1.0,,2.0,,,2.0,,,1.0,,,
