match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_fouls,stat_unsuccessfulTouch,stat_bigChanceCreated,stat_totalOffside,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceMissed,captain,stat_hitWoodwork,stat_goals,stat_punches,stat_ownGoals
11352644,home,Tottenham Hotspur,Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7123,M,guglielmovicario,553606,EUR,844646400,G,13,13,False,18.0,15.0,4.0,1.0,14.0,16.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,26.0,6.9,3.0,0.0,0.0,0.00010444,0,-0.6763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352644,home,Tottenham Hotspur,Pedro Porro,pedro-porro,P. Porro,D,23,173,10890,M,pedroporro29,913654,EUR,937180800,D,23,23,False,55.0,47.0,1.0,1.0,17.0,20.0,31.0,42.0,1.0,8.0,6.0,,,,90.0,97.0,8.4,16.0,0.0362,0.0,0.109516,1,,7.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,6.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,,
11352644,home,Tottenham Hotspur,Cristian Romero,cristian-romero,C. Romero,D,17,185,37910,M,cutiromero2,829932,EUR,893635200,D,17,17,False,99.0,94.0,2.0,2.0,46.0,49.0,48.0,50.0,5.0,10.0,7.0,,,,90.0,114.0,7.7,5.0,0.1129,0.0,0.0664483,2,,,,3.0,1.0,,,2.0,1.0,,3.0,3.0,3.0,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,,
11352644,home,Tottenham Hotspur,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12526,M,mickyvdven,998247,EUR,987638400,D,37,37,False,54.0,53.0,,,35.0,35.0,18.0,19.0,,2.0,7.0,,,,90.0,61.0,6.8,4.0,0.0,0.0,0.0157821,0,,,,1.0,,,,,1.0,,,2.0,2.0,,,,,1.0,,3.0,,,,,,,,,,,,
11352644,home,Tottenham Hotspur,Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5941,M,udogiethree,983572,EUR,1038441600,D,38,38,False,38.0,34.0,,,9.0,10.0,25.0,29.0,,6.0,4.0,,,,83.0,61.0,7.4,7.0,0.0,0.0,0.1676,0,,1.0,,7.0,2.0,2.0,1.0,,3.0,,2.0,2.0,1.0,3.0,3.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,
11352644,home,Tottenham Hotspur,Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,32679,M,pape,1002711,EUR,1031961600,M,29,29,False,70.0,64.0,2.0,2.0,32.0,35.0,32.0,36.0,2.0,5.0,4.0,,,,83.0,85.0,7.4,10.0,0.0676,0.0426,0.0340323,2,,1.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,
11352644,home,Tottenham Hotspur,Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,19170,M,YB8,844842,EUR,841363200,M,8,8,False,120.0,114.0,1.0,1.0,44.0,46.0,70.0,74.0,,8.0,7.0,,,,89.0,139.0,7.6,10.0,0.108,0.0,0.0910523,2,,,,4.0,,1.0,,1.0,2.0,,1.0,4.0,3.0,4.0,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,
11352644,home,Tottenham Hotspur,Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,11735,M,dejan_k10,928124,EUR,956620800,M,21,21,False,48.0,40.0,1.0,1.0,4.0,5.0,36.0,48.0,,5.0,8.0,,,,90.0,68.0,7.8,18.0,0.0722,0.0,0.152892,2,,5.0,,3.0,,6.0,4.0,2.0,,,,,,1.0,5.0,,,,,,,1.0,1.0,,,,,,,,,
11352644,home,Tottenham Hotspur,James Maddison,james-maddison,J. Maddison,M,10,175,15672,M,Madders,356398,EUR,848707200,M,10,10,False,75.0,65.0,3.0,1.0,10.0,12.0,56.0,75.0,,2.0,2.0,,,,89.0,102.0,8.0,25.0,0.1493,0.666,0.242687,4,,12.0,1.0,5.0,1.0,2.0,,2.0,,,,,,2.0,5.0,,,2.0,,1.0,,,,,2.0,,,,,,,
11352644,home,Tottenham Hotspur,Richarlison,richarlison,Richarlison,F,9,184,44707,M,Richarlison,840217,EUR,863222400,M,9,9,False,21.0,17.0,,,2.0,2.0,15.0,21.0,1.0,7.0,5.0,,,,90.0,49.0,7.8,10.0,0.7833,0.2661,0.356587,5,,2.0,,8.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,,3.0,2.0,,,3.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,1.0,,,,,
