match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_interceptionWon,stat_outfielderBlock,stat_wasFouled,stat_aerialLost,player_lastName,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,captain,stat_lastManTackle,stat_blockedScoringAttempt,player_sofascoreId
14429553,home,Al-Hazem,Bruno Varela,bruno-varela,B. Varela,G,14,191.0,625,M,138895,EUR,783907200.0,G,14,14,False,50.0,41.0,25.0,17.0,0.0,34.0,36.0,7.0,14.0,1.0,13.0,1.0,2.0,4.0,1.0,1.0,1.0,90.0,65.0,7.8,9.0,0.00135937,0.2378,0,0.6407,0.07,-0.07,0.23,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Saud Al Rashed,saud-al-rashed,S. A. Rashed,D,2,180.0,12,M,1549236,EUR,895363200.0,D,2,2,False,30.0,21.0,2.0,,0.0,7.0,9.0,14.0,21.0,1.0,1.0,,,,,,,66.0,48.0,7.4,13.0,0.270331,,0,,0.45,0.33,-0.05,,Saud Al Rashed,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Abdullah Al-Shanqiti,abdullah-al-shanqiti,A. Al-Shanqiti,D,13,179.0,10,M,1085896,EUR,914284800.0,D,13,13,False,36.0,31.0,8.0,4.0,0.0,22.0,23.0,9.0,13.0,3.0,2.0,,,,,,,90.0,42.0,7.1,5.0,0.00371817,,0,,0.1,0.02,0.32,,Abdullah Alshenqiti,,,1.0,2.0,3.0,,,,,2.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Sultan Tanker,sultan-tanker,S. Tanker,D,4,184.0,36,M,1520833,EUR,904608000.0,D,4,4,False,50.0,46.0,7.0,6.0,0.0,38.0,41.0,8.0,9.0,2.0,1.0,,,,,,,90.0,58.0,7.2,6.0,0.00296105,,0,,0.03,0.0,0.23,,Sultan Tanker,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Abdulaziz Al-Harbi,abdulaziz-al-harbi,A. Al-Harbi,D,82,,15,M,1216091,EUR,1060732800.0,D,82,82,False,25.0,19.0,4.0,,0.0,8.0,10.0,11.0,15.0,4.0,3.0,,,,,,,90.0,49.0,6.7,11.0,0.00452004,,0,,-0.15,0.22,0.25,,Abdulaziz Al-Harbi,2.0,,1.0,6.0,4.0,1.0,,,,2.0,1.0,1.0,3.0,,,,1.0,2.0,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Basil Yousef Al-Sayyali,basil-yousef-al-sayyali,B. Y. Al-Sayyali,M,20,171.0,50,M,1066584,EUR,993168000.0,M,6,6,False,44.0,35.0,1.0,,0.0,16.0,17.0,19.0,27.0,,4.0,,,,,,,90.0,53.0,7.0,12.0,0.0640052,,0,,0.25,0.17,0.23,,Basil Yousef Al-Sayyali,2.0,,,3.0,3.0,1.0,,,,2.0,2.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,
14429553,home,Al-Hazem,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190.0,105,M,954812,EUR,903052800.0,M,32,32,False,46.0,38.0,8.0,6.0,0.0,19.0,20.0,19.0,26.0,5.0,4.0,,,,,,,90.0,62.0,7.8,8.0,0.09635,,2,,0.32,0.08,0.51,,,,,2.0,1.0,5.0,,,,,2.0,2.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,0.0325,0.0996,-0.29,,,,,,,
14429553,home,Al-Hazem,Aboubacar Bah,aboubacar-bah,A. Bah,M,24,170.0,462,M,2018134,EUR,1128038400.0,M,24,24,False,24.0,20.0,1.0,,0.0,8.0,9.0,12.0,15.0,,7.0,,,,,,,66.0,42.0,6.4,13.0,0.00846887,,0,,0.07,0.13,-0.11,,Aboubacar Bah,1.0,,,7.0,5.0,,1.0,1.0,,2.0,2.0,3.0,2.0,,1.0,,2.0,,,,,,,,,5.0,,,,,,
14429553,home,Al-Hazem,Elias Mokwana,mokwana-elias,E. Mokwana,M,17,175.0,974,M,1394459,EUR,932860800.0,F,17,17,False,19.0,14.0,,,0.0,4.0,6.0,10.0,13.0,1.0,2.0,,,,,,,90.0,43.0,6.5,14.0,0.00878211,,1,,-0.08,0.13,-0.08,,,1.0,,2.0,7.0,6.0,1.0,4.0,,1.0,3.0,2.0,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,0.0782,0.09,-0.12,1.0,,,,,,
14429553,home,Al-Hazem,Omar Al-Somah,omar-al-somah,O. Al-Somah,F,9,192.0,6658,M,791575,EUR,606614400.0,F,9,9,False,27.0,19.0,5.0,5.0,0.0,2.0,3.0,17.0,24.0,1.0,2.0,,,,,,,90.0,43.0,6.8,11.0,0.0459728,,4,,0.27,0.19,-0.05,,,1.0,,3.0,7.0,8.0,1.0,4.0,4.0,,1.0,,1.0,1.0,,,,,4.0,,2.0,2.0,,0.2412,0.1475,-0.69,1.0,1.0,2.0,,,,
