match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_outfielderBlock,stat_shotOffTarget,stat_expectedGoals,stat_wonContest,stat_accurateCross,stat_unsuccessfulTouch,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,player_sofascoreId,stat_errorLeadToAShot,stat_goals
13472846,home,Vitória,Lucas Arcanjo,lucas-arcanjo,L. Arcanjo,G,1,190,811,M,982558,EUR,902534400,G,1,1,False,6.0,5.0,2.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,26.0,8.0,6.7,1.0,6.606e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472846,home,Vitória,Paulo Roberto,paulo-roberto-dos-santos-almeida,P. Roberto,D,50,177,58,M,2112480,EUR,1131840000,D,50,50,False,7.0,2.0,,,0.0,,2.0,2.0,5.0,,1.0,3.0,,45.0,22.0,6.2,13.0,0.00144014,0,Paulo Roberto,dos Santos Almeida,2.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
13472846,home,Vitória,Lucas Halter,lucas-halter,L. Halter,D,5,187,777,M,905450,EUR,957225600,D,5,5,False,29.0,23.0,5.0,,0.0,14.0,15.0,9.0,14.0,1.0,1.0,2.0,,90.0,37.0,6.6,6.0,0.00408191,0,,,,3.0,,,,1.0,1.0,,,1.0,True,2.0,2.0,,,,,,,,,,,,,,,,,,,
13472846,home,Vitória,Camutanga,camutanga,Camutanga,D,4,189,505,M,931759,EUR,749088000,D,4,4,False,27.0,25.0,2.0,1.0,0.0,17.0,18.0,8.0,9.0,,,,,89.0,34.0,6.5,2.0,0.00311623,1,,,,3.0,,,,2.0,1.0,,,2.0,,1.0,,1.0,0.0119,,,,,,,,,,,,,,,,,
13472846,home,Vitória,Zé Marcos,ze-marcos,Z. Marcos,D,3,188,355,M,901700,EUR,886291200,D,3,3,False,46.0,38.0,3.0,1.0,0.0,26.0,28.0,12.0,18.0,3.0,4.0,7.0,,90.0,58.0,7.2,9.0,0.00959967,0,,,,2.0,,,1.0,5.0,1.0,,,2.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,
13472846,home,Vitória,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,D,13,13,False,27.0,20.0,4.0,1.0,0.0,12.0,15.0,8.0,12.0,,5.0,4.0,1.0,90.0,55.0,6.9,16.0,0.095362,0,,,4.0,6.0,1.0,,2.0,5.0,,3.0,2.0,4.0,,1.0,,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,
13472846,home,Vitória,Erick,erick,Erick,F,33,173,1390,M,895650,EUR,881712000,M,33,33,False,20.0,13.0,3.0,1.0,0.0,2.0,2.0,11.0,18.0,,5.0,4.0,3.0,90.0,48.0,7.3,16.0,0.372732,1,,,8.0,5.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,1.0,,,0.03,2.0,2.0,,,3.0,1.0,1.0,,,,,,,,,,
13472846,home,Vitória,Willian Oliveira,willian-oliveira,W. Oliveira,M,29,179,410,M,295167,EUR,737510400,M,29,29,False,29.0,25.0,,,0.0,11.0,12.0,14.0,17.0,1.0,1.0,7.0,,90.0,36.0,6.4,6.0,0.00857421,1,,,,9.0,2.0,,,,1.0,,,5.0,,2.0,,1.0,0.0128,,,1.0,,,,,,,,,,,,,,
13472846,home,Vitória,Ronald,ronald,Ronald,M,8,171,426,M,931521,EUR,866592000,M,8,8,False,16.0,13.0,4.0,2.0,0.0,6.0,8.0,7.0,8.0,,3.0,4.0,,45.0,25.0,6.7,5.0,0.015918,1,,,,3.0,,2.0,,1.0,,3.0,1.0,,,1.0,,1.0,0.0295,,,,,1.0,,,,,,,,,,,,
13472846,home,Vitória,Aitor Cantalapiedra,aitor-cantalapiedra,A. Cantalapiedra,F,17,178,882,M,823831,EUR,823910400,M,17,17,False,18.0,15.0,,,0.0,6.0,6.0,9.0,12.0,,2.0,6.0,,90.0,41.0,7.2,14.0,0.115212,3,,,10.0,3.0,,2.0,1.0,,,2.0,1.0,,,,,1.0,0.5288,,4.0,1.0,,2.0,,,1.0,2.0,1.0103,,,,,,,
13472846,home,Vitória,Renato Kayzer,renato-kayzer,R. Kayzer,F,79,178,1333,M,814723,EUR,824515200,F,79,79,False,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,1.0,3.0,2.0,2.0,70.0,18.0,6.4,6.0,0.00600899,1,,,,7.0,,1.0,2.0,2.0,,,,2.0,,2.0,,1.0,0.0098,,,1.0,,,,,,,,,,,,,,
13472846,home,Vitória,Thiago Couto,thiago-couto,T. Couto,G,12,188,418,M,871291,EUR,922406400,G,12,12,True,11.0,6.0,5.0,,0.0,6.0,7.0,,4.0,1.0,1.0,3.0,,64.0,20.0,7.2,5.0,3.631e-05,0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.0,1.0918,,,
13472846,home,Vitória,Dudu,dudu,D. Rodrigues,M,21,186,533,M,1124220,EUR,928540800,M,21,21,True,21.0,16.0,1.0,,0.0,3.0,4.0,13.0,17.0,,8.0,3.0,3.0,45.0,37.0,6.8,10.0,0.00547991,0,,,,5.0,2.0,3.0,1.0,,,4.0,3.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
13472846,home,Vitória,Matheuzinho,matheuzinho,Matheuzinho,M,10,165,1521,M,795266,EUR,877132800,M,10,10,True,19.0,18.0,1.0,,0.0,3.0,3.0,15.0,16.0,1.0,3.0,3.0,,45.0,27.0,7.1,3.0,0.311511,1,,,2.0,3.0,,,2.0,2.0,,,,2.0,,2.0,,,0.0642,2.0,,,,1.0,1.0,1.0,,,,,,,,,,
13472846,home,Vitória,Renzo López,renzo-lopez,R. López,F,31,190,440,M,926513,EUR,766454400,F,31,31,True,3.0,1.0,1.0,,0.0,1.0,1.0,,2.0,2.0,3.0,1.0,1.0,20.0,13.0,6.0,6.0,8.843e-05,2,,,,9.0,1.0,1.0,1.0,,,,,1.0,,5.0,,2.0,0.2678,,,2.0,,,,,1.0,,,,,,,,,
13472846,home,Vitória,Carlinhos,carlinhos,Carlinhos,F,99,195,1670,M,852534,EUR,855705600,F,99,99,True,,,,,0.0,,,,,,,,,1.0,,,,,0,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
