match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_sofascoreId,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,captain,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goodHighClaim,stat_totalOffside
12421162,home,KVC Westerlo,Koen Van Langendonck,koen-van-langendonck,K. V. Langendonck,G,30,188,44,M,247481,EUR,613353600,G,30,30,False,29.0,28.0,11.0,10.0,0.0,22.0,22.0,6.0,7.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,1.0,90.0,37.0,7.0,1.0,0.00256013,0,-0.4023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421162,home,KVC Westerlo,Bryan Reynolds,bryan-reynolds,B. Reynolds,D,22,185,426,M,862075,EUR,993686400,D,22,22,False,40.0,31.0,4.0,2.0,0.0,10.0,13.0,22.0,31.0,,4.0,2.0,2.0,,,,,90.0,70.0,7.0,17.0,0.14135,1,,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0775,1.0,,,,,,,,,,,,,,,
12421162,home,KVC Westerlo,Luka Vušković,luka-vuskovic,L. Vušković,D,44,193,11576,M,1405212,EUR,1172275200,D,44,44,False,47.0,38.0,6.0,4.0,0.0,23.0,26.0,15.0,22.0,7.0,9.0,9.0,10.0,,,,,90.0,67.0,7.9,13.0,0.0171742,1,,1.0,,2.0,3.0,,,1.0,,,1.0,,3.0,,0.1828,,lukavuskovic,1.0,1.0,1.0,1.0,1.0,0.706,,,,,,,,
12421162,home,KVC Westerlo,Emin Bayram,emin-bayram,E. Bayram,D,40,193,768,M,997153,EUR,1049241600,D,40,40,False,56.0,48.0,10.0,6.0,0.0,30.0,31.0,18.0,25.0,2.0,3.0,7.0,4.0,,,,,90.0,72.0,7.2,10.0,0.0508793,1,,,,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.0741,,,,,,1.0,,,,,,,,,,
12421162,home,KVC Westerlo,Tuur Rommens,rommens-tuur,T. Rommens,D,25,185,329,M,1130011,EUR,1048636800,D,25,25,False,57.0,43.0,3.0,1.0,0.0,15.0,16.0,29.0,43.0,2.0,9.0,3.0,4.0,,,,,90.0,92.0,7.6,19.0,0.0631062,2,,2.0,1.0,3.0,3.0,,,2.0,1.0,2.0,4.0,3.0,4.0,1.0,0.0667,,,2.0,1.0,,,,0.1837,,,,,,,,
12421162,home,KVC Westerlo,Doğucan Haspolat,dogucan-haspolat,D. Haspolat,M,34,177,454,M,846087,EUR,950227200,M,34,34,False,56.0,46.0,13.0,8.0,0.0,18.0,19.0,33.0,51.0,,,1.0,2.0,,,,,90.0,78.0,7.7,20.0,0.321514,0,,14.0,5.0,,4.0,2.0,,,,3.0,,,1.0,,,4.0,,,,,,2.0,,,,True,,,,,
12421162,home,KVC Westerlo,Jordan Bos,jordan-bos,J. Bos,D,15,180,747,M,1144138,EUR,1035849600,M,5,5,False,17.0,10.0,,,0.0,2.0,3.0,8.0,16.0,2.0,6.0,2.0,2.0,,,,,90.0,41.0,7.2,14.0,0.128617,5,,2.0,,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.5924,3.0,,,2.0,,,,1.1647,Jordan Bos,,,1.0,2.0,,,
12421162,home,KVC Westerlo,Alfie Devine,alfie-devine,A. Devine,M,21,182,1496,M,1049459,EUR,1091318400,M,10,10,False,15.0,11.0,2.0,1.0,0.0,3.0,4.0,9.0,13.0,,,,3.0,,,,,65.0,28.0,6.7,8.0,0.0327292,3,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,3.0,,0.1489,,,,,,,,,,,,,2.0,,,
12421162,home,KVC Westerlo,Arthur Piedfort,arthur-piedfort,A. Piedfort,M,46,186,202,M,1149123,EUR,1107216000,M,46,46,False,23.0,17.0,2.0,2.0,0.0,6.0,8.0,11.0,16.0,,3.0,,4.0,,,,,90.0,37.0,7.1,11.0,0.0312228,1,,1.0,,,2.0,1.0,,,1.0,1.0,3.0,2.0,4.0,,0.0463,2.0,,,,,,1.0,,Arthur Piedfort,,,,,,,
12421162,home,KVC Westerlo,Allahyar Sayyadmanesh,allahyar-sayyadmanesh,A. Sayyadmanesh,M,7,182,1519,M,905474,EUR,993772800,M,7,7,False,21.0,14.0,,,0.0,3.0,4.0,12.0,19.0,2.0,5.0,3.0,3.0,,,,,90.0,42.0,7.3,12.0,0.119201,1,,2.0,1.0,2.0,3.0,,,1.0,1.0,,2.0,2.0,3.0,1.0,0.0197,2.0,,,,,,,,,,,,,,,
