match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_penaltyConceded,stat_keyPass,stat_totalOffside,stat_blockedScoringAttempt,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_penaltyWon
12117022,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,33.0,25.0,14.0,6.0,0.0,22.0,23.0,3.0,10.0,12.0,1.0,1.0,1.0,4.0,90.0,45.0,7.1,9.0,0.00052794,0,0.3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Gabriel,gabriel,Gabriel,D,44,185,190,M,1465498,EUR,1066435200,D,44,44,False,,42.0,37.0,2.0,2.0,0.0,27.0,28.0,10.0,14.0,3.0,,,,,90.0,53.0,6.8,5.0,0.0238717,0,,,,3.0,3.0,3.0,6.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,27.0,19.0,4.0,3.0,0.0,14.0,18.0,5.0,9.0,2.0,,,,,90.0,45.0,7.2,8.0,0.0115556,0,,,,1.0,4.0,1.0,5.0,,,10.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,26.0,23.0,6.0,4.0,0.0,15.0,16.0,8.0,10.0,3.0,,,,,62.0,33.0,6.7,4.0,0.0099022,0,,,,1.0,3.0,1.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,M,2,2,False,,30.0,21.0,3.0,,0.0,11.0,16.0,11.0,15.0,3.0,,,,,90.0,43.0,6.4,12.0,0.0106946,0,,,,1.0,2.0,5.0,5.0,1.0,,1.0,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,,51.0,46.0,3.0,3.0,0.0,20.0,21.0,26.0,32.0,6.0,,,,,90.0,70.0,7.2,11.0,0.0250305,2,,,,,,3.0,4.0,1.0,,3.0,,2.0,2.0,2.0,,2.0,,1.0,,1.0,1.0,1.0,3.0,0.0372,0.282,,,,,,,,,,,,
12117022,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,59.0,51.0,4.0,1.0,0.0,26.0,28.0,26.0,36.0,9.0,,,,,90.0,76.0,7.1,13.0,0.127246,0,,Denilson,,1.0,,5.0,9.0,7.0,7.0,2.0,,1.0,1.0,1.0,,5.0,1.0,1.0,,3.0,,,1.0,,,1.0,3.0,,,,,,,,,,
12117022,home,Cuiabá,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,M,23,23,False,,17.0,14.0,,,0.0,9.0,9.0,5.0,13.0,1.0,,,,,71.0,32.0,6.8,8.0,0.00344547,0,,,,,1.0,,2.0,,,1.0,2.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
12117022,home,Cuiabá,Lucas Fernandes,lucas-fernandes,Lucas Fernandes,M,33,176,222,M,837871,EUR,874713600,F,18,18,False,,31.0,28.0,,,0.0,12.0,13.0,18.0,22.0,,,,,,83.0,46.0,6.7,8.0,0.151156,1,,,,1.0,,3.0,2.0,1.0,1.0,,,,,1.0,,4.0,2.0,,2.0,1.0,1.0,,1.0,0.0175,,,,,,,,,,,,,
12117022,home,Cuiabá,Isidro Pitta,isidro-pitta,I. Pitta,F,9,183,1815,M,979861,EUR,934588800,F,9,9,False,,15.0,11.0,,,0.0,4.0,4.0,7.0,11.0,2.0,,,,,70.0,27.0,7.0,6.0,0.0270769,3,,,,2.0,1.0,5.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,1.0,3.0,,,0.1456,,,,2.0,,,,,,,,,
