match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,player_sofascoreId,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_fouls,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_goodHighClaim,stat_punches,stat_bigChanceMissed,stat_totalOffside
10583804,home,Al-Hilal,Abdullah Al-Mayouf,abdullah-al-mayouf,A. Al-Mayouf,G,187.0,197,M,118159,EUR,538358400,G,1,1,False,True,22.0,20.0,4.0,3.0,18.0,19.0,2.0,3.0,7.0,2.0,2.0,1.0,1.0,90.0,29.0,7.7,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583804,home,Al-Hilal,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,178.0,8457,M,966849,EUR,932256000,D,66,66,False,,48.0,40.0,2.0,1.0,17.0,19.0,24.0,33.0,6.0,,,,,90.0,75.0,7.8,16.0,0,,,23,s.abdulhamed66,1.0,4.0,1.0,2.0,3.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,,,,,,,,,,,,
10583804,home,Al-Hilal,Mohammed Jahfali,mohammed-jahfali,M. Jahfali,D,185.0,103,M,791561,EUR,656726400,D,70,70,False,,52.0,50.0,3.0,3.0,34.0,34.0,16.0,18.0,9.0,,,,,90.0,55.0,7.4,2.0,1,,,70,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,
10583804,home,Al-Hilal,Ali Albulayhi,ali-albulayhi,A. Albulayhi,D,182.0,1057,M,1138857,EUR,627609600,D,5,5,False,,71.0,61.0,5.0,5.0,38.0,44.0,23.0,27.0,6.0,,,,,90.0,80.0,7.7,10.0,0,,,3,,,,,9.0,3.0,12.0,,,,,,4.0,1.0,2.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,
10583804,home,Al-Hilal,Nasser Al-Dawsari,nasser-al-dawsari,N. Al-Dawsari,M,178.0,1153,M,872607,EUR,914025600,D,16,16,False,,46.0,42.0,2.0,,20.0,21.0,24.0,34.0,6.0,,,,,90.0,80.0,6.7,19.0,1,,,16,,,9.0,2.0,,5.0,1.0,1.0,2.0,,,,2.0,2.0,,,6.0,1.0,2.0,,,,,2.0,1.0,,,,,,
10583804,home,Al-Hilal,Moussa Marega,moussa-marega,M. Marega,F,183.0,1093,M,298300,EUR,671587200,M,17,17,False,,30.0,20.0,,,3.0,4.0,17.0,28.0,2.0,,,,,83.0,47.0,8.0,12.0,4,,,7,,,2.0,,2.0,,8.0,,,3.0,3.0,,1.0,1.0,,,,3.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,
10583804,home,Al-Hilal,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,175.0,1944,M,180059,EUR,719020800,M,6,6,False,,88.0,84.0,7.0,6.0,42.0,45.0,42.0,43.0,10.0,,,,,90.0,100.0,6.9,8.0,0,,,6,,,,,1.0,5.0,5.0,1.0,1.0,2.0,,,2.0,2.0,2.0,2.0,,2.0,,,,,,1.0,,,,,,,
10583804,home,Al-Hilal,Matheus Pereira,matheus-pereira,M. Pereira,M,175.0,14140,M,377238,EUR,831254400,M,15,15,False,,54.0,39.0,3.0,1.0,8.0,8.0,33.0,56.0,8.0,,,,,83.0,76.0,7.3,25.0,3,,,10,matheus_pereira,,10.0,2.0,,2.0,2.0,1.0,,1.0,,,,1.0,,,1.0,2.0,2.0,,2.0,,,,,1.0,,,,,
10583804,home,Al-Hilal,Salem Al-Dawsari,salem-al-dawsari,S. Al-Dawsari,M,171.0,11126,M,160893,EUR,682560000,M,29,29,False,,42.0,37.0,2.0,2.0,10.0,10.0,27.0,33.0,5.0,,,,,90.0,53.0,6.4,11.0,2,,,29,29salem,1.0,1.0,,,8.0,,2.0,3.0,1.0,,,,,,,,,2.0,1.0,,,,1.0,1.0,1.0,,,,,
10583804,home,Al-Hilal,André Carrillo,andre-carrillo,A. Carrillo,M,180.0,14534,M,115182,EUR,676857600,F,19,19,False,,70.0,63.0,9.0,8.0,16.0,17.0,49.0,60.0,6.0,,,,,90.0,88.0,7.6,14.0,1,,,19,18andrecarrillo,,7.0,2.0,,2.0,3.0,,1.0,2.0,2.0,,,2.0,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,
