match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,captain,stat_onTargetScoringAttempt,stat_interceptionWon,stat_expectedGoalsOnTarget,stat_goals,stat_shotOffTarget,stat_penaltyConceded,stat_penaltyWon,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_lastManTackle
12437522,home,Real Valladolid,André Ferreira,,,andre-ferreira,A. Ferreira,G,13,193,225,M,788197,EUR,833328000,G,1,1,False,20.0,17.0,8.0,5.0,0.0,16.0,17.0,1.0,3.0,1.0,9.0,1.0,4.0,90.0,34.0,7.1,3.0,0.0006268,0,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Antonio Candela,,,candela-antonio,A. Candela,D,26,182,271,M,862464,EUR,956793600,D,22,22,False,49.0,45.0,6.0,4.0,0.0,24.0,25.0,24.0,29.0,1.0,,,,90.0,66.0,6.2,12.0,0.126414,0,,5.0,3.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Joseph Aidoo,,,joseph-aidoo,J. Aidoo,D,4,184,857,M,796320,EUR,812332800,D,16,16,False,72.0,66.0,8.0,5.0,0.0,42.0,42.0,24.0,30.0,3.0,7.0,,,90.0,82.0,6.9,7.0,0.0158671,1,,,,,2.0,3.0,,1.0,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,0.0363,,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Javi Sánchez,,,javi-sanchez,J. Sánchez,D,15,189,336,M,943713,EUR,858297600,D,5,5,False,77.0,74.0,2.0,1.0,0.0,59.0,60.0,15.0,17.0,2.0,5.0,,,90.0,82.0,6.2,3.0,0.00518161,0,,,,1.0,3.0,3.0,,,,,,,,,1.0,,,2.0,,2.0,,True,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Henrique,Henrique,,henrique,Henrique,D,3,173,390,M,336851,EUR,767232000,D,17,17,False,51.0,44.0,5.0,3.0,0.0,23.0,24.0,21.0,28.0,1.0,3.0,,,63.0,67.0,6.2,12.0,0.00906802,0,,1.0,,1.0,3.0,5.0,,,3.0,1.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Stanko Jurić,,,juric-stanko,S. Jurić,M,24,189,498,M,921417,EUR,840153600,M,20,20,False,52.0,43.0,4.0,2.0,0.0,26.0,32.0,17.0,20.0,,4.0,,,90.0,68.0,6.7,11.0,0.122164,1,,,,4.0,8.0,8.0,1.0,1.0,2.0,1.0,,,,,4.0,,,3.0,2.0,1.0,0.0247,,1.0,1.0,0.0273,,,,,,,,,,,
12437522,home,Real Valladolid,Darwin Machís,,,darwin-machis,D. Machís,F,11,174,1580,M,252863,EUR,729043200,M,18,18,False,13.0,11.0,,,0.0,2.0,3.0,12.0,18.0,,1.0,,,45.0,34.0,6.5,12.0,0.132836,1,,8.0,3.0,,6.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,1.0,0.0228,,,,,,,,,,,,,,,
12437522,home,Real Valladolid,Chuky,,,chuky,Chuky,M,20,176,232,M,1137584,EUR,1083196800,M,28,28,False,11.0,10.0,,,0.0,4.0,4.0,6.0,9.0,,2.0,,,63.0,17.0,6.5,4.0,0.0098802,1,,2.0,,1.0,2.0,2.0,,,1.0,,,1.0,,1.0,,,,1.0,,,0.177,,1.0,,0.0613,,,,,,,,,,,
12437522,home,Real Valladolid,Florian Grillitsch,,,florian-grillitsch,F. Grillitsch,M,27,187,750,M,186719,EUR,807753600,M,8,8,False,20.0,17.0,1.0,1.0,0.0,8.0,8.0,9.0,13.0,,2.0,,,45.0,25.0,6.6,4.0,0.0103047,0,,1.0,,,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
12437522,home,Real Valladolid,Raúl Moro,,,raul-moro,R. Moro,M,18,169,1584,M,980383,EUR,1039046400,M,11,11,False,37.0,27.0,6.0,4.0,0.0,9.0,10.0,18.0,30.0,1.0,1.0,,,90.0,57.0,7.3,20.0,0.0343375,3,,3.0,,1.0,4.0,3.0,,,6.0,3.0,3.0,,,,,1.0,,,,,0.5511,,2.0,1.0,0.4507,1.0,,,,,,,,,,
12437522,home,Real Valladolid,Juanmi Latasa,,,juanmi-latasa,J. Latasa,F,9,191,1993,M,966679,EUR,985305600,F,14,14,False,18.0,13.0,1.0,1.0,0.0,7.0,7.0,6.0,11.0,1.0,3.0,,,86.0,37.0,6.7,10.0,0.0671367,4,,,,3.0,9.0,10.0,,1.0,4.0,1.0,1.0,4.0,,1.0,5.0,2.0,,,,2.0,0.3137,,,,,,2.0,1.0,,,,,,,,
