match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_wasFouled,stat_shotOffTarget,stat_penaltyConceded,stat_totalCross,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_accurateCross,stat_bigChanceMissed,player_sofascoreId,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_hitWoodwork,stat_penaltyWon,stat_goals
10407198,home,SV Zulte Waregem,Sammy Bossut,,,sammy-bossut,S. Bossut,G,38,187.0,35,M,18827,EUR,492566400,G,1,1,False,True,43.0,28.0,20.0,6.0,25.0,30.0,3.0,13.0,1.0,9.0,2.0,1.0,5.0,90.0,56.0,6.7,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Ravy Tsouka,,,ravy-tsouka,R. T. Dozi,D,2,181.0,78,M,787644,EUR,788140800,D,2,2,False,,61.0,47.0,9.0,5.0,38.0,43.0,9.0,18.0,5.0,7.0,,,,90.0,78.0,6.7,16.0,0,2.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Modou Tambedou,Moudou Tambedou,,modou-tambedou,M. Tambedou,D,20,,99,M,1391466,EUR,1049414400,D,18,18,False,,58.0,49.0,9.0,4.0,33.0,35.0,16.0,23.0,2.0,8.0,,,,90.0,72.0,6.5,13.0,0,2.0,5.0,8.0,,1.0,2.0,1.0,,,3.0,2.0,1.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Borja López,,,borja-lopez,B. López,D,4,192.0,53,M,284865,EUR,760147200,D,3,3,False,,49.0,37.0,12.0,2.0,27.0,31.0,10.0,18.0,1.0,5.0,,,,59.0,54.0,5.7,12.0,1,,2.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Alessandro Ciranni,,,alessandro-ciranni,A. Ciranni,D,2,172.0,38,M,845968,EUR,835920000,M,14,14,False,,17.0,11.0,4.0,2.0,8.0,9.0,3.0,10.0,4.0,1.0,,,,59.0,45.0,6.7,12.0,0,1.0,3.0,5.0,1.0,,1.0,,,1.0,5.0,5.0,,,,,,,2.0,1.0,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,8,186.0,77,M,846330,EUR,896140800,M,6,6,False,,45.0,40.0,5.0,2.0,23.0,25.0,17.0,21.0,1.0,10.0,,,,90.0,63.0,7.0,10.0,0,1.0,3.0,9.0,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,,,4.0,,,1.0,1.0,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Nicolas Rommens,,,nicolas-rommens,N. Rommens,M,8,183.0,22,M,328159,EUR,787622400,M,20,20,False,,26.0,23.0,4.0,2.0,13.0,14.0,10.0,12.0,,3.0,,,,65.0,32.0,6.2,6.0,0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Oleksandr Drambaev,,,oleksandr-drambaev,O. Drambaev,D,14,183.0,50,M,997084,EUR,987811200,M,5,5,False,,40.0,29.0,2.0,1.0,16.0,19.0,13.0,22.0,,7.0,,,,90.0,61.0,6.8,14.0,0,6.0,10.0,11.0,2.0,1.0,3.0,2.0,,,5.0,5.0,,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Alioune Ndour,,,ndour-alioune,A. Ndour,F,7,183.0,320,M,883990,EUR,877392000,F,11,11,False,,11.0,8.0,,,3.0,4.0,5.0,9.0,,2.0,,,,59.0,26.0,6.6,11.0,1,3.0,6.0,3.0,,1.0,4.0,2.0,,1.0,,,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,
10407198,home,SV Zulte Waregem,Dani Ramirez,,,dani-ramirez,D. Ramirez,M,10,175.0,113,M,899034,EUR,708825600,F,23,23,False,,7.0,6.0,2.0,2.0,2.0,2.0,5.0,6.0,,1.0,,,,18.0,10.0,3.5,2.0,0,,2.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,
10407198,home,SV Zulte Waregem,Alieu Fadera,,,fadera-alieu,A. Fadera,M,20,181.0,1183,M,1031548,EUR,1004745600,F,7,7,False,,16.0,12.0,,,1.0,3.0,11.0,15.0,,4.0,,,,65.0,30.0,6.2,11.0,1,2.0,8.0,4.0,,1.0,5.0,2.0,,1.0,1.0,,,2.0,,1.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,
10407198,home,SV Zulte Waregem,Timothy Derijck,,,timothy-derijck,T. Derijck,D,,185.0,24,M,10084,EUR,548899200,D,4,4,True,,29.0,27.0,5.0,4.0,21.0,23.0,6.0,6.0,2.0,5.0,,,,31.0,35.0,7.1,2.0,0,,1.0,3.0,,,,,,,3.0,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Novatus Miroshi,,,novatus-miroshi,N. Miroshi,M,20,185.0,3906,M,1103597,EUR,1030924800,M,26,26,True,,17.0,13.0,3.0,1.0,8.0,8.0,5.0,10.0,,2.0,,,,31.0,20.0,6.5,5.0,0,2.0,3.0,3.0,,,,,,,,,,1.0,1.0,2.0,,,1.0,,,,,,novatus_40,,,,,,,
10407198,home,SV Zulte Waregem,Nnamdi Chinonso Offor,,,nnamdi-chinonso-offor,N. C. Offor,F,90,192.0,177,M,989299,EUR,959385600,F,27,27,True,,9.0,5.0,,,2.0,2.0,3.0,7.0,,,,,,31.0,12.0,6.5,6.0,1,3.0,4.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Lasse Vigen,,,lasse-vigen-christensen,L. Vigen,M,6,178.0,53,M,135257,EUR,776908800,M,8,8,True,,23.0,20.0,2.0,1.0,11.0,11.0,9.0,12.0,,4.0,,,,25.0,29.0,6.6,5.0,0,,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Jelle Vossen,,,jelle-vossen,J. Vossen,F,9,180.0,295,M,45946,EUR,606528000,F,9,9,True,,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,,1.0,,,,25.0,8.0,6.6,1.0,0,,,2.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Louis Bostyn,,,louis-bostyn,L. Bostyn,G,1,195.0,47,M,145093,EUR,749692800,G,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407198,home,SV Zulte Waregem,Mamadou Sangare,Mamadou Sangare,,mamadou-sangare,M. Sangare,M,8,181.0,4819,M,1064697,EUR,1025049600,M,10,10,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407198,away,Sint-Truidense VV,Daniel Schmidt,,,daniel-schmidt,D. Schmidt,G,1,196.0,252,M,997499,EUR,697075200,G,21,21,False,,39.0,27.0,28.0,17.0,19.0,21.0,8.0,18.0,,11.0,2.0,,2.0,90.0,48.0,7.2,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
10407198,away,Sint-Truidense VV,Ameen Al-Dakhil,Ameen,Al-Dakhil,al-dhakil,A. Al-Dakhil,D,2,185.0,551,M,1979970,EUR,1015372800,D,3,3,False,,65.0,62.0,4.0,2.0,36.0,36.0,26.0,29.0,2.0,4.0,,,,90.0,74.0,7.0,6.0,1,1.0,3.0,2.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
10407198,away,Sint-Truidense VV,Toni Leistner,,,toni-leistner,T. Leistner,D,37,190.0,101,M,137053,EUR,651024000,D,37,37,False,True,57.0,52.0,15.0,13.0,37.0,40.0,15.0,17.0,3.0,3.0,,,,90.0,65.0,7.5,6.0,1,3.0,4.0,8.0,,,,,,,1.0,1.0,1.0,2.0,6.0,2.0,,,,,1.0,,,,,,1.0,,,,,
10407198,away,Sint-Truidense VV,Robert Bauer,,,robert-bauer,R. Bauer,D,,183.0,117,M,253871,EUR,797385600,D,20,20,False,,58.0,51.0,11.0,5.0,32.0,34.0,19.0,24.0,1.0,10.0,,,,90.0,81.0,7.3,11.0,1,,4.0,5.0,1.0,2.0,1.0,1.0,,5.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
10407198,away,Sint-Truidense VV,Daiki Hashioka,,,daiki-hashioka,D. Hashioka,D,4,185.0,1033,M,897334,EUR,926899200,M,4,4,False,,35.0,28.0,3.0,1.0,13.0,16.0,16.0,29.0,,2.0,,,,90.0,62.0,7.0,20.0,1,3.0,12.0,9.0,2.0,2.0,5.0,3.0,,1.0,1.0,1.0,,3.0,5.0,,,,10.0,,2.0,1.0,1.0,,,,,,,,,
