match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_totalCross,stat_shotOffTarget,stat_expectedGoals,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wasFouled,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_dispossessed
12448249,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,True,35.0,32.0,11.0,8.0,1.0,25.0,26.0,7.0,9.0,1.0,17.0,2.0,2.0,3.0,90.0,52.0,8.1,3.0,0.0282031,2.0,0,0.2811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12448249,home,Sparta Rotterdam,Saïd Bakari,said-bakari,S. Bakari,D,22,176,127,M,896210,EUR,780192000,D,2,2,False,,36.0,34.0,4.0,3.0,0.0,16.0,16.0,18.0,20.0,,4.0,,,,90.0,51.0,7.3,4.0,0.0111544,1.0,0,,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12448249,home,Sparta Rotterdam,Marvin Young,marvin-young,M. Young,D,3,182,187,M,1648759,EUR,1128211200,D,3,3,False,,62.0,57.0,9.0,6.0,0.0,34.0,35.0,23.0,27.0,,1.0,,,,90.0,86.0,7.8,7.0,0.0140864,,0,,10.0,6.0,,10.0,3.0,2.0,2.0,1.0,,2.0,,Marvin,Young ,6.0,4.0,2.0,,,,,,,,,,,,,
12448249,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,,79.0,68.0,18.0,11.0,0.0,41.0,43.0,27.0,38.0,,4.0,,,,90.0,99.0,7.6,13.0,0.0156553,1.0,0,,3.0,3.0,,9.0,,2.0,1.0,1.0,,,,,,3.0,2.0,,2.0,,,,,,,,,,,,
12448249,home,Sparta Rotterdam,Patrick van Aanholt,patrick-van-aanholt,P. v. Aanholt,D,14,175,555,M,74577,EUR,651888000,D,5,5,False,,35.0,32.0,6.0,6.0,0.0,18.0,19.0,14.0,16.0,,5.0,,,,75.0,47.0,7.1,4.0,0.0307902,,1,,1.0,2.0,1.0,3.0,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,0.0137,,,,,,,,,,
12448249,home,Sparta Rotterdam,Kristian Hlynsson,hlynsson-kristian,K. Hlynsson,M,14,176,998,M,1160026,EUR,1074816000,M,10,10,False,,41.0,32.0,3.0,2.0,1.0,14.0,15.0,19.0,29.0,,6.0,,,,90.0,56.0,8.4,14.0,0.288491,3.0,4,,2.0,4.0,1.0,,,,,,2.0,1.0,,,,,1.0,1.0,3.0,,0.2578,1.0,1.0,2.0,2.0,1.0,2.0,0.4667,,,
12448249,home,Sparta Rotterdam,Gjivai Zechiël,gjivai-zechiel,G. Zechiël,M,21,179,686,M,1433802,EUR,1086048000,M,6,6,False,,39.0,31.0,4.0,1.0,0.0,18.0,19.0,13.0,20.0,1.0,5.0,,,,83.0,52.0,7.0,11.0,0.380261,2.0,0,,6.0,5.0,1.0,2.0,,1.0,2.0,1.0,1.0,3.0,,,,1.0,,2.0,,,,,1.0,,,,2.0,,,,
12448249,home,Sparta Rotterdam,Carel Eiting,carel-eiting,C. Eiting,M,6,178,347,M,803025,EUR,887155200,M,8,8,False,,22.0,17.0,1.0,1.0,0.0,5.0,6.0,13.0,24.0,1.0,1.0,,,,67.0,49.0,7.6,16.0,0.0636827,3.0,2,,6.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,8.0,1.0,0.1089,1.0,,1.0,,,,0.3434,,,
12448249,home,Sparta Rotterdam,Mitchell van Bergen,mitchell-van-bergen,M. v. Bergen,F,7,170,248,M,827662,EUR,935712000,F,7,7,False,,13.0,9.0,1.0,,1.0,4.0,4.0,8.0,19.0,,2.0,,,,76.0,37.0,8.3,15.0,0.359675,3.0,4,,5.0,5.0,,,,,1.0,,,,,,,1.0,,8.0,10.0,2.0,0.381,3.0,4.0,1.0,1.0,1.0,,0.2338,1.0,1.0,
12448249,home,Sparta Rotterdam,Tobias Lauritsen,tobias-lauritsen,T. Lauritsen,F,9,192,737,M,796943,EUR,872899200,F,9,9,False,,14.0,5.0,,,0.0,1.0,2.0,4.0,12.0,,1.0,,,,75.0,28.0,9.2,11.0,0.00436787,,6,,5.0,11.0,,1.0,,,,,,1.0,,,,2.0,8.0,4.0,,2.0,0.7476,,2.0,4.0,,2.0,1.0,1.222,,,
