match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_interceptionWon,captain,stat_dispossessed,stat_hitWoodwork,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_outfielderBlock
10961301,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,25.0,25.0,5.0,5.0,23.0,23.0,2.0,2.0,1.0,4.0,1.0,3.0,90.0,33.0,6.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10961301,home,Estoril Praia,Tiago Santos,,,tiago-santos,T. Santos,D,22,175,1632,M,1087364,EUR,1027382400,D,62,62,False,31.0,25.0,6.0,3.0,8.0,8.0,21.0,30.0,1.0,5.0,,,90.0,56.0,7.4,2,1.0,7.0,4.0,4.0,7.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,12.0,2.0,,,,,,,,,,,,,
10961301,home,Estoril Praia,Edson Mexer,Edson,Mexer,edson-mexer,E. Mexer,D,23,188,625,M,581328,EUR,589680000,D,34,34,False,76.0,70.0,8.0,5.0,40.0,42.0,30.0,34.0,1.0,9.0,,,90.0,80.0,6.8,1,,,,5.0,4.0,,,,,1.0,,,,2.0,2.0,6.0,,3.0,2.0,,,,,,,,,,,
10961301,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,55.0,54.0,7.0,6.0,34.0,35.0,20.0,20.0,,4.0,,,70.0,58.0,7.0,2,,,,1.0,3.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,,3.0,1.0,,,,,,,,,,
10961301,home,Estoril Praia,Joãozinho,,,joaozinho,Joãozinho,D,31,185,30,M,156319,EUR,615340800,D,31,31,False,46.0,39.0,7.0,5.0,15.0,18.0,25.0,33.0,,4.0,,,90.0,68.0,6.9,2,,5.0,1.0,4.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,12.0,2.0,1.0,2.0,,True,,,,,,,,,
10961301,home,Estoril Praia,João Carvalho,,,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,M,20,20,False,50.0,41.0,5.0,3.0,10.0,10.0,33.0,43.0,1.0,7.0,,,90.0,72.0,7.6,2,,3.0,2.0,4.0,5.0,,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,,15.0,4.0,,1.0,1.0,,2.0,1.0,,,,,,,
10961301,home,Estoril Praia,Mor Ndiaye,,,mor-ndiaye,M. Ndiaye,M,19,185,163,M,979225,EUR,974764800,M,25,25,False,50.0,40.0,5.0,3.0,16.0,19.0,24.0,31.0,3.0,8.0,,,90.0,56.0,7.1,1,,,,1.0,10.0,,,,,,2.0,1.0,,,,10.0,,1.0,8.0,,,,,1.0,,,,,,
10961301,home,Estoril Praia,Tiago Gouveia,,,tiago-gouveia,T. Gouveia,F,47,176,1493,M,976410,EUR,992822400,M,21,21,False,35.0,31.0,2.0,1.0,5.0,6.0,28.0,34.0,,4.0,,,83.0,51.0,7.7,2,,5.0,2.0,8.0,3.0,2.0,1.0,,,1.0,,,,2.0,4.0,9.0,4.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,
10961301,home,Estoril Praia,Francisco Geraldes,,,francisco-geraldes,F. Geraldes,M,8,175,224,M,314376,EUR,798163200,M,10,10,False,37.0,26.0,5.0,2.0,6.0,6.0,22.0,41.0,,4.0,,,90.0,66.0,7.5,3,,10.0,2.0,3.0,8.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,,25.0,3.0,,,,,,,,,,,,,
10961301,home,Estoril Praia,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,M,78,78,False,32.0,23.0,1.0,1.0,4.0,5.0,20.0,39.0,,6.0,,,89.0,59.0,7.3,3,,12.0,1.0,5.0,5.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,1.0,24.0,2.0,,3.0,,,3.0,1.0,,1.0,1.0,1.0,,,
