match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_expectedGoals,captain,stat_dispossessed,stat_shotOffTarget,stat_fouls,stat_goalAssist,stat_wonTackle,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_goals,player_sofascoreId,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot,stat_totalOffside,stat_hitWoodwork
11388446,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,19.0,13.0,9.0,3.0,11.0,11.0,2.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,90.0,27.0,7.0,6.0,0.00056522,0,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388446,home,FC Twente,Alfons Sampsted,alfons-sampsted,A. Sampsted,D,2,180,197,M,842536,EUR,891820800,D,12,12,False,28.0,24.0,2.0,,12.0,13.0,13.0,17.0,2.0,,,,,,45.0,42.0,6.8,8.0,0.0438232,0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388446,home,FC Twente,Max Bruns,max-bruns,M. Bruns,D,38,186,104,M,1091627,EUR,1036540800,D,38,38,False,52.0,44.0,7.0,4.0,26.0,30.0,18.0,22.0,4.0,,,,,,90.0,66.0,7.4,10.0,0.00900163,1,,,,2.0,7.0,1.0,1.0,2.0,1.0,,Max Bruns,,1.0,4.0,1.0,1.0,1.0,2.0,1.0,0.1366,,,,,,,,,,,,,,,,,
11388446,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,57.0,44.0,8.0,2.0,24.0,29.0,20.0,28.0,1.0,,,,,,77.0,67.0,6.9,14.0,0.0102663,1,,,,5.0,4.0,,1.0,,1.0,,,,2.0,2.0,,,,4.0,1.0,0.04,True,1.0,1.0,2.0,,,,,,,,,,,,,
11388446,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,67.0,51.0,12.0,5.0,20.0,25.0,32.0,52.0,3.0,,,,,,90.0,98.0,7.7,29.0,0.325842,0,,10.0,1.0,3.0,4.0,1.0,1.0,1.0,,3.0,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,
11388446,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,167,M,966546,EUR,993600000,M,4,4,False,48.0,40.0,8.0,5.0,13.0,16.0,27.0,33.0,4.0,,,,,,90.0,58.0,7.0,10.0,0.0398372,0,,1.0,,1.0,5.0,,,1.0,5.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
11388446,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,74.0,59.0,14.0,3.0,27.0,33.0,32.0,45.0,4.0,,,,,,90.0,87.0,7.0,19.0,0.0420423,1,,4.0,,2.0,5.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,,,2.0,0.0204,,,1.0,1.0,,1.0,,,,,,,,,,,
11388446,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,28.0,20.0,3.0,1.0,5.0,7.0,16.0,26.0,4.0,,,,,,88.0,50.0,6.6,18.0,0.21973,1,,5.0,1.0,9.0,5.0,4.0,1.0,2.0,2.0,,,,3.0,,1.0,2.0,,1.0,,0.1937,,2.0,,1.0,,1.0,1.0,1.0,0.5387,,,,,,,,
11388446,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3417,M,944467,EUR,1005523200,M,14,14,False,12.0,7.0,2.0,,2.0,3.0,7.0,16.0,2.0,,,,,,88.0,31.0,7.1,13.0,0.0565392,2,,7.0,2.0,3.0,3.0,1.0,,3.0,2.0,1.0,,,,1.0,1.0,1.0,,,,0.0989,,,2.0,2.0,,,,,,,,,,,,,
11388446,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,M,9,9,False,34.0,25.0,3.0,2.0,9.0,9.0,17.0,28.0,3.0,,,,,,90.0,51.0,7.5,12.0,0.45336,1,,3.0,1.0,8.0,7.0,2.0,2.0,1.0,1.0,1.0,,,4.0,2.0,,2.0,1.0,,2.0,0.0531,,,,4.0,,1.0,,,,1.0,,,,,,,
