match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_aerialLost,captain,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_goals,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalAssist,stat_totalOffside,stat_hitWoodwork,player_sofascoreId
10438334,home,Paços de Ferreira,Igor Vekić,,,igor-vekic,I. Vekić,G,1,192,160,M,943735,EUR,894412800,G,98,98,False,33.0,19.0,25.0,11.0,11.0,14.0,8.0,19.0,6.0,1.0,2.0,3.0,90.0,40.0,6.8,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438334,home,Paços de Ferreira,Juan Delgado,,,juan-delgado,J. Delgado,D,15,177,146,M,339695,EUR,731289600,D,15,15,False,30.0,25.0,4.0,1.0,15.0,15.0,11.0,21.0,6.0,,,,88.0,54.0,7.2,12.0,1,6.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10438334,home,Paços de Ferreira,Erick Ferigra,Erick,Ferigra,erick-ferigra,E. Ferigra,D,14,180,130,M,928766,EUR,918259200,D,23,23,False,50.0,42.0,9.0,4.0,33.0,37.0,9.0,13.0,9.0,,,,90.0,59.0,6.8,9.0,0,,,,4.0,,,,,6.0,,1.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,
10438334,home,Paços de Ferreira,Flávio Ramos,,,flavio-ramos,F. Ramos,D,29,191,23,M,335813,EUR,768700800,D,32,32,False,37.0,29.0,8.0,4.0,26.0,27.0,3.0,10.0,3.0,,,,90.0,50.0,7.0,8.0,0,,,1.0,4.0,,,,,7.0,2.0,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,
10438334,home,Paços de Ferreira,Vitorino Antunes,,,vitorino-antunes,V. Antunes,D,,175,105,M,28386,EUR,544233600,D,5,5,False,46.0,31.0,5.0,,22.0,26.0,10.0,23.0,9.0,,,,90.0,78.0,6.9,18.0,1,3.0,1.0,2.0,8.0,1.0,,,1.0,1.0,2.0,4.0,4.0,,2.0,1.0,,,,True,2.0,2.0,,,,,,,,,,,
10438334,home,Paços de Ferreira,Abbas Ibrahim,Abbas,Ibrahim,abbas-ibrahim,A. Ibrahim,M,28,171,60,M,953481,EUR,883699200,M,8,8,False,45.0,40.0,4.0,1.0,23.0,26.0,17.0,19.0,13.0,,,,90.0,58.0,7.2,6.0,0,,,3.0,7.0,,,,,,2.0,4.0,3.0,1.0,2.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
10438334,home,Paços de Ferreira,Rui Pires,,,rui-pires,R. Pires,M,8,182,65,M,845751,EUR,890524800,M,26,26,False,58.0,45.0,8.0,5.0,31.0,36.0,14.0,22.0,6.0,,,,90.0,70.0,6.8,14.0,0,,,3.0,5.0,2.0,,,,1.0,2.0,4.0,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,
10438334,home,Paços de Ferreira,Matchoi Djaló,,,matchoi-djalo,M. Djaló,M,17,175,190,M,989599,EUR,1049932800,M,16,16,False,18.0,13.0,2.0,,4.0,4.0,9.0,19.0,2.0,,,,88.0,36.0,6.2,14.0,0,5.0,,6.0,5.0,1.0,2.0,,,2.0,,1.0,1.0,,2.0,,,,1.0,,4.0,2.0,,,,,,,,,,,
10438334,home,Paços de Ferreira,Nicolás Gaitán,,,nicolas-gaitan,N. Gaitán,M,,173,446,,42455,EUR,572572800,M,10,10,False,29.0,21.0,5.0,2.0,7.0,10.0,15.0,21.0,5.0,,,,68.0,44.0,7.6,13.0,1,2.0,1.0,5.0,5.0,1.0,,,1.0,,,3.0,2.0,3.0,1.0,3.0,1.0,,,,2.0,1.0,,1.0,,,,,,,,,
10438334,home,Paços de Ferreira,Nigel Thomas,,,nigel-thomas,N. Thomas,F,27,177,76,M,916952,EUR,980985600,M,7,7,False,24.0,18.0,2.0,1.0,5.0,8.0,13.0,19.0,1.0,,,,74.0,41.0,6.4,12.0,1,3.0,,5.0,1.0,1.0,,,,1.0,2.0,,,,,1.0,1.0,,,,4.0,1.0,,,1.0,,,,,,,,
