match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_totalContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,captain,stat_goals,player_sofascoreId,stat_wonContest,stat_wasFouled,stat_punches,stat_errorLeadToAShot,stat_totalOffside
14065077,home,VfL Wolfsburg,Kamil Grabara,grabara-kamil,K. Grabara,G,1,195,3175,M,902080,EUR,915753600,G,1,1,False,25.0,16.0,12.0,3.0,0.0,16.0,18.0,7.0,12.0,1.0,3.0,5.0,90.0,38.0,6.7,9.0,7.031e-05,0.4613,0,0.3393,0.02,-0.02,-0.58,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065077,home,VfL Wolfsburg,Kilian Fischer,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,False,60.0,55.0,8.0,5.0,0.0,35.0,37.0,23.0,2.0,,,,90.0,80.0,6.2,10.0,0.161395,,0,,0.34,0.04,-0.57,,,,20.0,3.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
14065077,home,VfL Wolfsburg,Moritz Jenz,jenz-moritz,M. Jenz,D,15,190,340,M,920525,EUR,925430400,D,15,15,False,58.0,54.0,4.0,1.0,0.0,42.0,44.0,14.0,6.0,,,,90.0,65.0,6.0,4.0,0.00985642,,0,,0.13,0.05,-0.43,,,,12.0,,,,4.0,2.0,1.0,,6.0,,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,
14065077,home,VfL Wolfsburg,Konstantinos Koulierakis,konstantinos-koulierakis,K. Koulierakis,D,4,188,3369,M,1184855,EUR,1069977600,D,4,4,False,60.0,53.0,7.0,4.0,0.0,36.0,38.0,22.0,1.0,,,,90.0,74.0,6.5,7.0,0.0165048,,0,,0.12,0.04,-0.23,,,,17.0,,,1.0,2.0,2.0,,,7.0,1.0,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,
14065077,home,VfL Wolfsburg,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1469,M,842364,EUR,864086400,D,21,21,False,50.0,46.0,5.0,5.0,1.0,22.0,25.0,25.0,4.0,,,,90.0,81.0,7.0,12.0,0.62718,,3,,0.63,0.47,-0.5,,,,24.0,3.0,,,5.0,2.0,,3.0,3.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3393,0.3101,-0.59,,,,,,,,
14065077,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,45.0,43.0,3.0,2.0,1.0,17.0,18.0,27.0,1.0,,,,90.0,56.0,8.9,4.0,0.431704,,1,,0.64,0.04,-0.06,,,,26.0,6.0,4.0,,,,,,1.0,,,,,,5.0,,1.0,,2.0,,,1.0,,0.0441,0.1198,0.56,True,1.0,,,,,,
14065077,home,VfL Wolfsburg,Vinícius Souza,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,5,5,False,34.0,24.0,1.0,,0.0,8.0,12.0,22.0,1.0,,,,90.0,52.0,6.9,11.0,0.0284621,,0,,0.09,0.03,0.16,,,,16.0,,,2.0,3.0,7.0,,,8.0,2.0,3.0,3.0,1.0,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,
14065077,home,VfL Wolfsburg,Andreas Skov Olsen,andreas-skov-olsen,A. Skov Olsen,M,7,187,2523,M,888537,EUR,946425600,M,7,7,False,30.0,26.0,2.0,2.0,0.0,11.0,12.0,18.0,1.0,,,,89.0,37.0,6.3,5.0,0.0266607,,3,,-0.24,0.26,-0.05,,,,15.0,1.0,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,2.0,1.0,,0.2394,0.0582,-0.56,,,,,,,,
14065077,home,VfL Wolfsburg,Lovro Majer,lovro-majer,L. Majer,M,10,179,4795,M,841947,EUR,884995200,M,10,10,False,26.0,21.0,5.0,4.0,0.0,13.0,14.0,12.0,3.0,,,,85.0,42.0,7.4,9.0,0.0790849,,2,,0.1,0.13,-0.04,,,,8.0,3.0,1.0,3.0,8.0,5.0,,2.0,1.0,,,,,3.0,1.0,,,1.0,,,,1.0,1.0,0.3498,0.4773,0.45,,1.0,lovromajer,1.0,4.0,,,
14065077,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,False,21.0,16.0,1.0,1.0,0.0,3.0,3.0,18.0,4.0,,,,89.0,42.0,7.4,9.0,0.0455199,,0,,0.31,0.3,-0.04,,,,13.0,4.0,1.0,3.0,5.0,10.0,1.0,,1.0,,2.0,1.0,1.0,1.0,,,,4.0,,,,,,,,,,,,4.0,4.0,,,
