match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_challengeLost,stat_outfielderBlock,stat_totalContest,stat_wonContest,stat_keyPass,captain,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_punches,stat_hitWoodwork,stat_clearanceOffLine,stat_lastManTackle
10407811,home,Royale Union Saint-Gilloise,Anthony Moris,anthony-moris,A. Moris,G,49,184,297,M,39457,EUR,641347200,G,49,49,False,16.0,11.0,9.0,5.0,9.0,10.0,2.0,6.0,1.0,1.0,6.0,1.0,4.0,5.0,1.0,1.0,90.0,27.0,7.9,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Ismael Kandouss,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,59,59,False,41.0,34.0,9.0,6.0,14.0,15.0,20.0,27.0,3.0,,3.0,1.0,,,,,90.0,59.0,6.9,14.0,0,,,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Christian Burgess,christian-burgess,C. Burgess,D,16,196,311,M,303634,EUR,686793600,D,16,16,False,32.0,29.0,8.0,7.0,17.0,18.0,12.0,14.0,5.0,6.0,6.0,1.0,,,,,90.0,48.0,7.5,4.0,0,,,,1.0,2.0,,3.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Koki Machida,koki-machida,K. Machida,D,28,190,1344,M,790977,EUR,872467200,D,28,28,False,45.0,42.0,1.0,1.0,13.0,13.0,29.0,32.0,4.0,,4.0,,,,,,90.0,70.0,7.5,10.0,0,,,,,1.0,,3.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Bart Nieuwkoop,bart-nieuwkoop,B. Nieuwkoop,D,2,180,338,M,797279,EUR,826156800,M,2,2,False,28.0,16.0,2.0,1.0,3.0,6.0,13.0,23.0,5.0,1.0,4.0,,,,,,90.0,42.0,7.0,18.0,0,,,1.0,1.0,3.0,1.0,2.0,2.0,3.0,,2.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Teddy Teuma,teddy-teuma,T. Teuma,M,80,176,879,M,829643,EUR,749347200,M,10,10,False,63.0,53.0,4.0,2.0,16.0,18.0,38.0,53.0,5.0,,8.0,1.0,,,,,90.0,92.0,7.8,21.0,4,,,8.0,,2.0,1.0,3.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,3.0,True,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Senne Lynen,senne-lynen,S. Lynen,M,14,182,401,M,826171,EUR,919382400,M,20,20,False,61.0,49.0,5.0,4.0,16.0,23.0,33.0,38.0,4.0,2.0,6.0,2.0,,,,,90.0,77.0,7.1,15.0,2,,,,,2.0,,2.0,,3.0,,,1.0,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Simon Adingra,simon-adingra,S. Adingra,M,24,175,54789,M,1110842,EUR,1009843200,M,11,11,False,28.0,23.0,,,3.0,4.0,21.0,31.0,2.0,,5.0,,,,,,65.0,51.0,6.5,20.0,2,,,7.0,,7.0,4.0,,,1.0,,,3.0,,,,5.0,2.0,2.0,,1.0,,1.0,,1.0,simon.adingra,1.0,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Lazare Amani,jean-thierry-lazare-amani,L. Amani,M,88,172,4079,M,845136,EUR,889228800,F,8,8,False,32.0,30.0,1.0,,4.0,5.0,27.0,29.0,5.0,,6.0,5.0,,,,,89.0,51.0,7.2,8.0,3,Jean Thierry Lazare,Amani,2.0,,5.0,2.0,,,2.0,,,1.0,3.0,,1.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,jtl_amani_8,,,,,,,,
10407811,home,Royale Union Saint-Gilloise,Gustaf Nilsson,gustaf-nilsson,G. Nilsson,F,19,197,774,M,572286,EUR,864345600,F,29,29,False,15.0,7.0,,,2.0,2.0,5.0,13.0,5.0,1.0,3.0,1.0,,,,,83.0,24.0,7.6,9.0,4,,,,1.0,2.0,1.0,,,,2.0,4.0,,,,,,,1.0,,,,2.0,1.0,1.0,,,1.0,,,,,,
