match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,player_lastName,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_accurateCross,stat_errorLeadToAGoal,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_goodHighClaim,stat_outfielderBlock,stat_bigChanceMissed,stat_totalOffside
11453025,home,Al Wehda,Munir El Kajoui,munir-mohamedi,M. El Kajoui,G,1,190.0,3804,M,Munir,141967,EUR,610761600,G,1,1,False,28.0,23.0,13.0,8.0,19.0,21.0,4.0,7.0,1.0,6.0,4.0,5.0,1.0,90.0,37.0,7.2,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453025,home,Al Wehda,Ali Makki,ali-makki,A. Makki,D,5,174.0,20,M,,1399144,EUR,924566400,D,22,22,False,28.0,25.0,,,14.0,14.0,11.0,15.0,1.0,3.0,,,,89.0,44.0,6.3,5.0,0,Ali Makki,1.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11453025,home,Al Wehda,Abdullah Al-Hafith,abdullah-al-hafith,A. Al-Hafith,D,17,188.0,29,M,,160901,EUR,725241600,D,17,17,False,69.0,58.0,13.0,7.0,40.0,43.0,18.0,26.0,3.0,3.0,,,,90.0,79.0,7.0,12.0,1,,,4.0,4.0,7.0,,,2.0,3.0,2.0,,,True,4.0,1.0,1.0,,,,,,,,,,,,,,,
11453025,home,Al Wehda,Óscar Duarte,oscar-duarte,Ó. Duarte,D,6,184.0,231,M,,156401,EUR,612835200,D,6,6,False,68.0,59.0,10.0,5.0,51.0,52.0,8.0,16.0,4.0,3.0,,,,90.0,77.0,6.5,9.0,1,,,1.0,3.0,2.0,,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
11453025,home,Al Wehda,Islam Ahmed Hawsawi,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,,1106232,EUR,1009411200,D,27,27,False,32.0,23.0,2.0,2.0,12.0,16.0,11.0,17.0,,7.0,,,,90.0,65.0,6.8,23.0,0,Hawsawi Islam Ahmed,1.0,,3.0,7.0,1.0,,2.0,4.0,4.0,2.0,,,1.0,,5.0,,2.0,1.0,,,,,,,,,,,,
11453025,home,Al Wehda,Anselmo,anselmo,Anselmo,M,87,182.0,171,M,,256671,EUR,603936000,M,87,87,False,50.0,41.0,10.0,4.0,25.0,26.0,16.0,25.0,1.0,9.0,,,,90.0,79.0,7.2,18.0,2,,1.0,2.0,9.0,18.0,1.0,3.0,,8.0,7.0,6.0,1.0,,1.0,,2.0,,5.0,2.0,2.0,,,,,,,,,,,
11453025,home,Al Wehda,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,,143786,EUR,586396800,M,76,76,False,71.0,63.0,12.0,9.0,32.0,33.0,33.0,46.0,1.0,6.0,,,,90.0,88.0,6.5,17.0,1,,8.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,2.0,,1.0,,3.0,,,,1.0,2.0,1.0,2.0,,,,,,,,
11453025,home,Al Wehda,Abdulaziz Noor,abdulaziz-noor,A. Noor,M,24,173.0,80,M,,1085115,EUR,916617600,M,24,24,False,22.0,19.0,1.0,1.0,4.0,5.0,15.0,19.0,,3.0,,,,75.0,35.0,8.0,10.0,0,Abdulaziz Noor,2.0,2.0,5.0,3.0,2.0,,1.0,,,1.0,2.0,,1.0,,2.0,,1.0,,,,,5.0,2.0,1.0,,,,,,
11453025,home,Al Wehda,Craig Goodwin,craig-goodwin,C. Goodwin,M,11,183.0,692,M,,220113,EUR,692841600,M,23,23,False,21.0,18.0,1.0,1.0,5.0,6.0,13.0,15.0,,4.0,,,,88.0,28.0,8.4,3.0,3,,,,4.0,1.0,1.0,,2.0,1.0,1.0,,,,3.0,2.0,,,,,,,,1.0,,,1.0,2.0,,,,
11453025,home,Al Wehda,Hussain Ahmed Al Issa,hussain-ahmed-al-issa,H. A. A. Issa,M,20,173.0,18,M,,989764,EUR,978048000,M,28,28,False,19.0,14.0,2.0,,4.0,6.0,10.0,13.0,1.0,4.0,,,,89.0,39.0,6.4,12.0,0,,,2.0,9.0,8.0,1.0,2.0,,4.0,3.0,1.0,2.0,,2.0,,3.0,,3.0,1.0,,,,,,,,,,,,
