match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_dispossessed,stat_shotOffTarget,stat_expectedGoals,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalOffside,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goodHighClaim,stat_bigChanceCreated
12530844,home,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,19.0,10.0,13.0,4.0,0.0,8.0,9.0,2.0,10.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,90.0,23.0,6.5,9.0,0.00025667,0,0.0713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530844,home,Hatayspor,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,K. A. Çörekçi,D,22,173,57,M,124728,EUR,696902400,D,2,2,False,23.0,20.0,1.0,1.0,0.0,7.0,7.0,14.0,18.0,1.0,5.0,2.0,3.0,1.0,,,,,73.0,39.0,6.6,4.0,0.128234,0,,,,True,2.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12530844,home,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180,314,M,944222,EUR,928022400,D,3,3,False,26.0,20.0,9.0,4.0,0.0,13.0,15.0,7.0,11.0,1.0,2.0,5.0,9.0,,,,,,90.0,37.0,6.7,7.0,0.00736322,1,,,,,,,,4.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,0.0563,,,,,,,,,,,,
12530844,home,Hatayspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,4,4,False,44.0,23.0,14.0,4.0,0.0,15.0,21.0,8.0,23.0,2.0,7.0,4.0,9.0,,,,,,90.0,62.0,6.9,24.0,0.00448162,1,,,,,,,2.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,,,1.0,1.0,0.0593,1.0,1.0,1.0,,,,,,,,,
12530844,home,Hatayspor,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,False,28.0,18.0,4.0,2.0,0.0,9.0,14.0,9.0,14.0,2.0,7.0,4.0,3.0,1.0,,,,,90.0,65.0,7.1,22.0,0.00740689,1,,,,,,,,6.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,,1.0,,0.0483,,5.0,,1.0,,,,,,,,
12530844,home,Hatayspor,Görkem Sağlam,gorkem-saglam,G. Sağlam,M,61,175,118,M,795001,EUR,892252800,M,5,5,False,50.0,38.0,10.0,4.0,0.0,14.0,15.0,25.0,42.0,2.0,5.0,3.0,4.0,1.0,,,,,90.0,73.0,7.0,25.0,0.0509031,1,,,,,7.0,1.0,,7.0,1.0,1.0,,,2.0,1.0,4.0,,1.0,,0.1734,,3.0,,,1.0,1.0,0.7298,,,,,
12530844,home,Hatayspor,Lamine Diack,lamine-diack,L. Diack,M,25,186,193,M,982317,EUR,974246400,M,17,17,False,37.0,32.0,1.0,1.0,0.0,12.0,13.0,20.0,24.0,,6.0,2.0,4.0,,,,,,90.0,52.0,6.9,7.0,0.012642,0,,,,,,,1.0,9.0,4.0,1.0,,2.0,6.0,5.0,3.0,,,,,,1.0,,,,,,,,,,
12530844,home,Hatayspor,Rigoberto Rivas,rigoberto-rivas,R. Rivas,M,99,178,347,M,837742,EUR,901843200,M,99,99,False,30.0,24.0,4.0,1.0,0.0,8.0,9.0,16.0,26.0,1.0,8.0,,3.0,,,,,,73.0,53.0,7.0,14.0,0.11094,2,,,,,5.0,,2.0,6.0,,2.0,1.0,2.0,6.0,4.0,3.0,,,,0.0398,,1.0,,2.0,,,,,,,,
12530844,home,Hatayspor,Rui Pedro,rui-pedro,R. Pedro,M,,182,143,M,862672,EUR,890352000,M,14,14,False,29.0,24.0,,,0.0,6.0,6.0,18.0,25.0,,3.0,,2.0,2.0,,,,,72.0,41.0,6.3,11.0,0.0173541,1,,,,,2.0,,2.0,7.0,,3.0,1.0,,,,1.0,1.0,2.0,,0.11,,,,,1.0,,0.6815,1.0,,,,
12530844,home,Hatayspor,Joelson Fernandes,joelson-fernandes,J. Fernandes,M,11,172,481,M,1032547,EUR,1046390400,M,77,77,False,17.0,16.0,,,0.0,7.0,7.0,9.0,16.0,,4.0,1.0,5.0,2.0,,,,,87.0,46.0,7.0,14.0,0.0438817,3,,Joelson Mendes,,,6.0,,1.0,6.0,,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1201,,2.0,,1.0,1.0,,0.1527,,1.0,,,
