match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_wasFouled,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_bigChanceMissed,stat_goals,stat_totalOffside,player_sofascoreId,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_goalAssist,stat_penaltyConceded
11396361,home,1. FC Union Berlin,Frederik Rønnow,frederik-ronnow,F. Rønnow,G,1,188,637,M,137692,EUR,712886400,G,1,1,False,29.0,18.0,19.0,8.0,11.0,14.0,7.0,15.0,2.0,2.0,1.0,7.0,1.0,2.0,1.0,2.0,90.0,36.0,7.0,11.0,0.00386503,0,-0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Josip Juranović,josip-juranovic,J. Juranović,D,18,173,3077,M,791642,EUR,808531200,D,18,18,False,36.0,28.0,6.0,4.0,19.0,22.0,11.0,22.0,,3.0,7.0,5.0,,,,,90.0,71.0,7.6,18.0,0.342997,2,,,,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.1532,3.0,,,,,,,,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Robin Knoche,robin-knoche,R. Knoche,D,31,190,148,M,130433,EUR,706492800,D,31,31,False,33.0,28.0,6.0,2.0,19.0,20.0,9.0,13.0,1.0,2.0,6.0,7.0,,,,,90.0,47.0,6.9,7.0,0.0128718,0,,,,,,2.0,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,False,50.0,41.0,11.0,4.0,32.0,33.0,9.0,17.0,3.0,4.0,6.0,7.0,,,,,90.0,69.0,6.9,11.0,0.0082322,1,,,,,,8.0,,,,,1.0,,,,1.0,2.0,0.0767,,5.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,26,26,False,30.0,24.0,4.0,1.0,14.0,16.0,11.0,16.0,,4.0,2.0,10.0,,,,,90.0,56.0,7.1,13.0,0.0716257,1,,,,2.0,1.0,5.0,1.0,2.0,1.0,,,,2.0,2.0,2.0,,0.0319,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0645,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Janik Haberer,janik-haberer,J. Haberer,M,19,187,178,M,168985,EUR,765244800,M,19,19,False,38.0,29.0,4.0,,14.0,15.0,15.0,23.0,3.0,9.0,2.0,8.0,,,,,90.0,58.0,7.3,9.0,0.0165597,2,,,,,,4.0,,2.0,2.0,,1.0,1.0,3.0,2.0,,,0.2306,,1.0,,3.0,3.0,1.0,,,,,,,,,,,,,
11396361,home,1. FC Union Berlin,Rani Khedira,rani-khedira,R. Khedira,M,8,188,962,M,149479,EUR,759628800,M,8,8,False,28.0,20.0,5.0,,11.0,15.0,9.0,14.0,1.0,4.0,3.0,8.0,,,,,90.0,49.0,6.7,14.0,0.00801997,0,,,,1.0,,3.0,1.0,1.0,,,,,3.0,2.0,3.0,1.0,,,,,2.0,,,,,True,,,,,,,,,,
11396361,home,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,M,16,16,False,23.0,17.0,1.0,1.0,8.0,8.0,11.0,18.0,,6.0,,7.0,,,,,61.0,43.0,7.3,13.0,0.261675,3,,,,3.0,2.0,6.0,2.0,6.0,4.0,,1.0,1.0,1.0,,2.0,1.0,0.1329,1.0,,,,1.0,1.0,1.0,0.1497,,1.0,1.0,,,,,,,,
11396361,home,1. FC Union Berlin,Kevin Volland,kevin-volland,K. Volland,F,31,179,1031,M,117373,EUR,712454400,M,10,10,False,25.0,13.0,2.0,,4.0,6.0,9.0,19.0,2.0,5.0,1.0,7.0,,,,,74.0,35.0,7.2,14.0,0.0454451,2,,Kevin,Volland,,,4.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,0.9282,,1.0,,,1.0,,2.0,1.1156,,1.0,1.0,,,,,,,,
11396361,home,1. FC Union Berlin,Robin Gosens,robin-gosens,R. Gosens,D,21,183,3171,M,377118,EUR,773366400,M,6,6,False,28.0,16.0,2.0,1.0,5.0,7.0,13.0,27.0,1.0,3.0,3.0,2.0,,,,,84.0,50.0,7.3,20.0,0.244669,1,,,,6.0,2.0,5.0,,1.0,,2.0,1.0,,1.0,1.0,2.0,2.0,0.0577,2.0,2.0,,1.0,,1.0,,,,,,3.0,,,,,,,
