match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_wonTackle,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_interceptionWon,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_hitWoodwork
10665947,home,Al-Nassr,David Ospina,,,david-ospina,D. Ospina,G,1,183.0,5027,M,D_Ospina1,33596,EUR,588988800,G,25,25,False,35.0,27.0,23.0,15.0,1.0,17.0,19.0,10.0,16.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,45.0,7.8,8.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,
10665947,home,Al-Nassr,Abdulelah Al-Amri,,,abdulelah-al-amri,A. Al-Amri,D,5,185.0,1135,M,,881831,EUR,853286400,D,5,5,False,49.0,37.0,7.0,3.0,,25.0,28.0,12.0,21.0,1.0,4.0,,1.0,8.0,,,,,,,90.0,62.0,6.7,17.0,,0,2.0,7.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
10665947,home,Al-Nassr,Álvaro González,,,alvaro-gonzalez,Á. González,D,,183.0,313,M,,150212,EUR,631756800,D,21,21,False,26.0,23.0,9.0,7.0,,14.0,15.0,9.0,11.0,,1.0,,3.0,4.0,,,,,,,35.0,31.0,6.9,3.0,,0,,,,,,,1.0,,,1.0,,,,,,,,,,,,
10665947,home,Al-Nassr,Ali Lajami,,,ali-lajami,A. Lajami,D,78,175.0,1281,M,,818667,EUR,830390400,D,78,78,False,55.0,45.0,14.0,6.0,,32.0,33.0,14.0,23.0,2.0,4.0,,2.0,6.0,1.0,,,,,,90.0,66.0,6.9,13.0,1.0,0,1.0,4.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
10665947,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,,830126,EUR,768182400,M,2,2,False,31.0,25.0,,,1.0,9.0,12.0,18.0,23.0,,2.0,1.0,,6.0,,,,,,,90.0,48.0,7.2,13.0,2.0,0,1.0,2.0,1.0,,,,2.0,2.0,,2.0,4.0,2.0,,1.0,True,,,,,,,
10665947,home,Al-Nassr,Luiz Gustavo,,,luiz-gustavo,L. Gustavo,M,14,187.0,2128,M,,29735,EUR,553996800,M,18,18,False,36.0,31.0,3.0,1.0,,15.0,16.0,16.0,21.0,,8.0,,,18.0,4.0,,,,,,89.0,60.0,7.5,10.0,,2,1.0,3.0,1.0,,,,4.0,,1.0,2.0,1.0,,,,,1.0,1.0,,,,,
10665947,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,,867179,EUR,840153600,M,17,17,False,34.0,29.0,1.0,1.0,,9.0,10.0,20.0,24.0,1.0,10.0,,,4.0,4.0,,,,,,90.0,51.0,7.0,9.0,1.0,1,1.0,5.0,2.0,2.0,2.0,,3.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,,,
10665947,home,Al-Nassr,Jaloliddin Masharipov,,,jaloliddin-masharipov,J. Masharipov,M,77,172.0,6101,M,Masharipov77,333611,EUR,746841600,M,77,77,False,29.0,21.0,4.0,1.0,,4.0,7.0,17.0,25.0,2.0,7.0,,,2.0,3.0,,,,,,73.0,48.0,6.5,18.0,1.0,0,1.0,7.0,2.0,1.0,,,2.0,4.0,1.0,,3.0,,2.0,,,,,,,,,
10665947,home,Al-Nassr,Gonzalo Martínez,,,gonzalo-martinez,G. Martínez,M,28,172.0,1192,M,,789871,EUR,739929600,F,10,10,False,20.0,16.0,1.0,1.0,,6.0,7.0,10.0,16.0,,2.0,,,5.0,2.0,,,,,,74.0,38.0,6.4,15.0,,3,,5.0,1.0,3.0,,,,3.0,,,3.0,,1.0,,,1.0,,2.0,,,,
10665947,home,Al-Nassr,Sami Al-Najei,,,sami-al-najei,S. Al-Najei,M,14,181.0,886,M,,832312,EUR,855273600,F,14,14,False,27.0,20.0,1.0,1.0,,2.0,3.0,20.0,26.0,1.0,6.0,1.0,2.0,4.0,2.0,,,,,,90.0,48.0,7.3,12.0,2.0,0,,3.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,,2.0,,,,,,,,
