match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_challengeLost,stat_wonContest,stat_onTargetScoringAttempt,stat_totalOffside,captain,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_goalAssist,stat_blockedScoringAttempt,player_sofascoreId,stat_goals,stat_bigChanceMissed
10408379,home,Almería,Fernando Martínez,fernando-martinez,F. Martínez,G,13,185,172,M,139925,EUR,644976000,G,13,13,False,34.0,13.0,30.0,9.0,7.0,7.0,6.0,27.0,1.0,12.0,3.0,1.0,1.0,1.0,90.0,46.0,7.2,21.0,0.0,0.0,0.00138992,0,0.076731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408379,home,Almería,Chumi,chumi,Chumi,D,21,186,188,M,913455,EUR,920332800,D,21,21,False,25.0,17.0,8.0,4.0,5.0,7.0,12.0,19.0,3.0,6.0,,,,,90.0,52.0,6.9,15.0,0.0,0.0,0.00312908,0,,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
10408379,home,Almería,Rodrigo Ely,rodrigo-ely,R. Ely,D,5,188,877,M,168745,EUR,752284800,D,19,19,False,18.0,11.0,7.0,2.0,8.0,10.0,3.0,8.0,13.0,3.0,,,,,90.0,38.0,7.6,8.0,0.0193,0.0,0.00238785,1,,,2.0,2.0,7.0,,,,3.0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10408379,home,Almería,Srđan Babić,srdan-babic,S. Babić,D,6,195,634,M,280815,EUR,830131200,D,22,22,False,15.0,11.0,5.0,4.0,8.0,10.0,3.0,5.0,2.0,4.0,,,,,90.0,20.0,6.8,4.0,0.0,0.0,0.000960366,0,,,3.0,5.0,3.0,,,,1.0,1.0,,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,
10408379,home,Almería,Sergio Akieme,sergio-akieme,S. Akieme,D,18,175,293,M,827942,EUR,882230400,D,15,15,False,14.0,8.0,6.0,2.0,5.0,8.0,3.0,6.0,2.0,2.0,,,,,90.0,21.0,6.7,7.0,0.0,0.0,0.00524033,0,,,,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,
10408379,home,Almería,Léo Baptistão,leo-baptistao,Léo Baptistão,M,12,181,560,M,252857,EUR,714787200,M,12,12,False,20.0,13.0,3.0,1.0,4.0,7.0,9.0,13.0,2.0,6.0,,,,,83.0,34.0,6.5,13.0,0.0791,0.247603,0.00490662,1,,,5.0,10.0,4.0,,1.0,1.0,,,4.0,3.0,2.0,,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,
10408379,home,Almería,César de la Hoz,cesar-de-la-hoz,C. de la Hoz,M,,179,47,M,233328,EUR,701913600,M,6,6,False,17.0,9.0,7.0,3.0,4.0,4.0,5.0,14.0,4.0,3.0,,,,,90.0,29.0,7.2,10.0,0.0,0.0,0.117033,0,,1.0,,3.0,5.0,,1.0,2.0,2.0,,,,2.0,,,,,,3.0,1.0,,,True,1.0,1.0,,,,,,
10408379,home,Almería,Íñigo Eguaras,inigo-eguaras,Í. Eguaras,M,16,181,52,M,572198,EUR,699926400,M,4,4,False,24.0,17.0,3.0,1.0,5.0,7.0,13.0,18.0,1.0,1.0,,,,,83.0,30.0,6.3,7.0,0.0,0.0,0.130164,0,,1.0,2.0,6.0,1.0,,,,,,,1.0,,,,1.0,,,3.0,,,,,,,1.0,,,,,
10408379,home,Almería,Lucas Robertone,lucas-robertone,L. Robertone,M,8,173,656,M,848926,EUR,858643200,M,5,5,False,16.0,13.0,4.0,2.0,6.0,7.0,9.0,16.0,5.0,4.0,,,,,76.0,43.0,6.9,13.0,0.0,0.0,0.100084,0,,7.0,1.0,6.0,5.0,2.0,4.0,2.0,,,1.0,1.0,,,,3.0,,,,2.0,,,,,2.0,2.0,,,,,
10408379,home,Almería,Luis Javier Suárez,luis-javier-suarez,L. J. Suárez ,F,97,185,22877,M,914213,EUR,881020800,F,16,16,False,13.0,12.0,,,4.0,4.0,9.0,10.0,,2.0,,,,,76.0,26.0,7.1,8.0,0.0372,0.0,0.144604,1,,1.0,2.0,8.0,4.0,2.0,2.0,,,,3.0,2.0,2.0,,,1.0,Luis,Javier Suárez,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,
10408379,home,Almería,El Bilal Touré,el-bilal-toure,E. B. Touré,F,19,185,9510,M,982615,EUR,1002067200,F,9,9,False,17.0,13.0,,,4.0,6.0,9.0,12.0,1.0,3.0,,,,,89.0,27.0,7.4,6.0,0.3064,0.545631,0.00641305,1,,1.0,5.0,6.0,5.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,el_bilal_9,1.0,
10408379,home,Almería,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173,477,M,346516,EUR,705196800,F,10,10,True,3.0,2.0,,,,,2.0,3.0,,,,,,,14.0,12.0,6.2,5.0,0.4931,0.565176,0.000869435,1,,,1.0,2.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,1.0
