match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name,confirmed
11352385,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11352385,,,,,90,2.0,,1,,,substitution,122239710.0,False,False,regular,,,,,,,
11352385,,,,,90,2.0,,1,,,substitution,122239709.0,False,False,regular,,,,,,,
11352385,,,,,90,0.0,,1,,,injuryTime,,,,,6.0,,,,,,
11352385,,,,,86,,,5,,,substitution,122239679.0,False,True,regular,,,,,,,
11352385,,,,,82,,,9,,,card,121034321.0,,False,yellow,,Ollie Watkins,Time wasting,False,555386.0,Ollie Watkins,
11352385,,,,,71,,,20,,,substitution,122239581.0,False,True,regular,,,,,,,
11352385,,1.0,2.0,,61,,,30,,,goal,175136402.0,,False,regular,,,,,555386.0,Ollie Watkins,
11352385,,,,,46,,,45,,,substitution,122239347.0,False,False,regular,,,,,,,
11352385,,,,,46,,,45,,,substitution,122239346.0,False,False,regular,,,,,,,
11352385,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11352385,,1.0,1.0,,45,7.0,,1,,,goal,175134514.0,,False,regular,,,,,864169.0,Pau Torres,
11352385,,,,,45,0.0,,1,,,injuryTime,,,,,6.0,,,,,,
11352385,,,,,41,,,5,,,card,121033986.0,,False,yellow,,John McGinn,Foul,False,250223.0,John McGinn,
11352385,,,,,38,,,8,,,card,121033965.0,,False,yellow,,Boubacar Kamara,Foul,False,826204.0,Boubacar Kamara,
11352385,,,,,32,,,14,,,substitution,122239020.0,True,True,injury,,,,,,,
11352385,,,,,27,,,19,,,card,121033916.0,,False,yellow,,Matty Cash,Foul,False,833956.0,Matty Cash,
11352385,,,,,27,,,19,,,varDecision,21929.0,,False,goalAwarded,,,,,555386.0,Ollie Watkins,False
11352385,,1.0,0.0,,22,,,24,,,goal,175133180.0,,True,regular,,,,,798835.0,Giovani Lo Celso,
