match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_crossNotClaimed,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_shotOffTarget,stat_bigChanceCreated,stat_totalOffside,stat_punches,stat_goals,stat_ownGoals,stat_goalAssist
10385511,home,Manchester United,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,1,1,False,26.0,21.0,7.0,2.0,21.0,22.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,90.0,30.0,6.3,5.0,0.0,0.0,4.857e-05,0,-0.4374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385511,home,Manchester United,Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22996,M,DDalot,843200,EUR,921715200,D,20,20,False,48.0,37.0,5.0,1.0,16.0,21.0,30.0,5.0,,,,,,90.0,78.0,6.6,21.0,0.2708,0.2228,0.0352501,2,,22.0,3.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,
10385511,home,Manchester United,Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,28057,M,harrymaguire93,149380,EUR,731289600,D,5,5,False,72.0,63.0,13.0,7.0,35.0,37.0,35.0,9.0,,,,,,90.0,85.0,7.0,9.0,0.2216,0.0,0.0132346,1,,28.0,,,1.0,1.0,2.0,3.0,,,,2.0,4.0,1.0,1.0,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,
10385511,home,Manchester United,Lisandro Martínez,,,lisandro-martinez,L. Martínez,D,6,175,51689,M,LichaMartínez,859999,EUR,885081600,D,6,6,False,80.0,75.0,7.0,5.0,53.0,57.0,23.0,15.0,,,,,,90.0,104.0,7.3,9.0,0.0771,0.0,0.0182464,3,,22.0,,,,,3.0,5.0,1.0,,,4.0,1.0,2.0,,,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
10385511,home,Manchester United,Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17970,M,lukeshaw23,190839,EUR,805507200,D,23,23,False,59.0,47.0,3.0,1.0,23.0,29.0,35.0,5.0,,,,,,89.0,80.0,7.0,15.0,0.0836,0.082,0.238756,1,,26.0,5.0,2.0,2.0,1.0,4.0,5.0,,,1.0,,2.0,3.0,2.0,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,
10385511,home,Manchester United,Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,25748,M,ScottMcTominay,879346,EUR,850003200,M,39,39,False,27.0,18.0,2.0,2.0,6.0,9.0,18.0,5.0,,,,,,78.0,38.0,6.3,12.0,0.0312,0.0,0.0184993,1,,12.0,,,,2.0,3.0,4.0,1.0,,,,2.0,,,,2.0,2.0,,,1.0,,2.0,,,,,,,,,,
10385511,home,Manchester United,Fred,,,fred,Fred,M,7,169,11672,M,fred08,243623,EUR,731289600,M,17,17,False,41.0,33.0,1.0,,17.0,22.0,19.0,4.0,,,,,,53.0,49.0,6.3,9.0,0.0314,0.0,0.0148814,1,,16.0,,,,,4.0,,,,,1.0,2.0,,,,,,,,,,1.0,2.0,1.0,,1.0,,,,,,
10385511,home,Manchester United,Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,235526,M,BrunoFernandes,288205,EUR,778982400,M,8,8,False,64.0,52.0,5.0,3.0,13.0,13.0,58.0,4.0,,,,,,89.0,85.0,7.2,21.0,0.1869,0.0,0.278135,1,,41.0,7.0,2.0,1.0,,4.0,5.0,3.0,,,,,,,,1.0,3.0,2.0,,,,,,2.0,2.0,1.0,1.0,1.0,,,,
10385511,home,Manchester United,Jadon Sancho,,,sancho-jadon,J. Sancho,M,19,180,68579,M,JSancho,851100,EUR,953942400,F,25,25,False,31.0,27.0,3.0,3.0,5.0,5.0,29.0,2.0,,,,,,89.0,42.0,7.0,9.0,0.0,0.0,0.109456,0,,22.0,3.0,,,,1.0,2.0,3.0,,,,,,,,1.0,,2.0,,,,,,,2.0,,,,,,,
10385511,home,Manchester United,Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,20866,M,chriseriksen8,105734,EUR,698025600,F,14,14,False,59.0,44.0,7.0,2.0,14.0,17.0,48.0,8.0,,,,,,90.0,79.0,7.3,23.0,0.1441,0.5413,0.0801892,3,,32.0,6.0,2.0,1.0,,4.0,3.0,,,2.0,1.0,,2.0,2.0,,2.0,1.0,3.0,,1.0,1.0,,1.0,2.0,,,,,,,,
