match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_shotOffTarget,stat_interceptionWon,stat_lastManTackle,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_keyPass,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_totalOffside,stat_blockedScoringAttempt,stat_goalAssist
11369434,home,Las Palmas,Álvaro Valles,alvaro-valles,Á. Valles,G,1,192,931,M,964983,EUR,869788800,G,13,13,False,40.0,27.0,21.0,9.0,24.0,26.0,3.0,14.0,1.0,1.0,3.0,10.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,90.0,57.0,7.7,14.0,0.00098073,0,0.2496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369434,home,Las Palmas,Julián Araujo,julian-araujo,J. Araujo,D,22,175,4723,M,978150,EUR,997660800,D,28,28,False,59.0,47.0,4.0,3.0,20.0,21.0,27.0,40.0,1.0,6.0,3.0,5.0,,,,,,,,90.0,82.0,7.2,17.0,0.0144937,0,,julian_araujo,2.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11369434,home,Las Palmas,Saúl Coco,saul-coco,S. Coco,D,23,188,1248,M,1089453,EUR,918518400,D,23,23,False,50.0,42.0,4.0,1.0,27.0,34.0,15.0,16.0,6.0,10.0,6.0,6.0,1.0,,,,,,,90.0,66.0,7.2,9.0,0.00301753,1,,,,5.0,6.0,,,1.0,,1.0,3.0,3.0,,1.0,1.0,2.0,1.0,0.0308,,,,,,,,,,,,,,
11369434,home,Las Palmas,Mika Mármol,mika-marmol,M. Mármol,D,3,181,783,M,979146,EUR,993945600,D,15,15,False,56.0,46.0,7.0,2.0,36.0,39.0,10.0,17.0,1.0,3.0,4.0,5.0,,,,,,,,90.0,66.0,6.7,10.0,0.00493134,0,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11369434,home,Las Palmas,Daley Sinkgraven,daley-sinkgraven,D. Sinkgraven,D,24,179,224,M,377206,EUR,804816000,D,18,18,False,67.0,54.0,3.0,,23.0,30.0,31.0,38.0,1.0,5.0,1.0,5.0,,,,,,,,90.0,91.0,6.8,17.0,0.0121675,0,,,1.0,,2.0,,,1.0,,,4.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,
11369434,home,Las Palmas,Pejiño,pejino,Pejiño,F,24,177,111,M,925220,EUR,838598400,M,24,24,False,33.0,23.0,2.0,1.0,7.0,8.0,16.0,30.0,3.0,7.0,,4.0,,,,,,,,66.0,54.0,7.4,23.0,0.013183,2,,,5.0,1.0,7.0,,3.0,5.0,3.0,,1.0,1.0,2.0,1.0,,,1.0,0.1207,,,1.0,1.0,0.2623,,,,,,,,,
11369434,home,Las Palmas,Javier Muñoz,javier-munoz,J. Muñoz,M,14,179,313,M,353154,EUR,793929600,M,5,5,False,36.0,28.0,3.0,1.0,13.0,16.0,15.0,20.0,1.0,2.0,1.0,5.0,,,,,,,,90.0,49.0,6.4,13.0,0.0137213,0,,,,,5.0,1.0,2.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11369434,home,Las Palmas,Máximo Perrone,maximo-perrone,M. Perrone,M,23,178,8372,M,1086286,EUR,1041897600,M,8,8,False,84.0,80.0,5.0,5.0,37.0,38.0,43.0,46.0,,4.0,1.0,12.0,1.0,,,,,,,89.0,97.0,7.1,6.0,0.0622905,0,,maxiperrone16,,2.0,6.0,1.0,,1.0,,,3.0,2.0,1.0,,1.0,,2.0,,Maximo Perrone,,,,,,,,,,,,,
11369434,home,Las Palmas,Kirian Rodríguez,kirian-rodriguez,K. Rodríguez,M,20,180,441,M,964985,EUR,825984000,M,20,20,False,78.0,69.0,1.0,,28.0,31.0,41.0,47.0,,2.0,2.0,6.0,2.0,,,,,,,90.0,92.0,7.2,13.0,0.111142,2,,,,2.0,4.0,,1.0,,,,,,2.0,1.0,1.0,,1.0,0.0521,,,1.0,,0.0881,True,1.0,,,,,,,
11369434,home,Las Palmas,Alberto Moleiro,alberto-moleiro,A. Moleiro,M,20,172,3634,M,1012444,EUR,1064880000,M,10,10,False,13.0,11.0,,,2.0,3.0,10.0,13.0,,3.0,,,1.0,,,,,,,45.0,22.0,6.9,6.0,0.389464,0,,,3.0,,2.0,1.0,,3.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
