match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_outfielderBlock,stat_interceptionWon,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_wasFouled,stat_hitWoodwork,captain,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_totalOffside
12764347,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11780,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,25.0,22.0,4.0,1.0,0.0,22.0,24.0,1.0,1.0,3.0,1.0,1.0,90.0,29.0,7.0,3.0,0.00017466,0,0.0651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764347,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17470,M,Rico_Lewis,1136731,EUR,1100995200,D,82,82,False,64.0,59.0,1.0,1.0,0.0,14.0,15.0,49.0,,6.0,,,90.0,78.0,7.6,8.0,0.451421,0,,Rico Lewis,,45.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764347,home,Manchester City,John Stones,john-stones,J. Stones,D,5,188,22291,M,johnstones5,152077,EUR,770083200,D,5,5,False,78.0,76.0,1.0,1.0,0.0,21.0,21.0,58.0,2.0,4.0,,,74.0,85.0,7.7,4.0,0.0755338,1,,,,55.0,,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.1835,0.7994,,,,,,,,,,,,,,,,,,,,
12764347,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,110.0,103.0,6.0,3.0,1.0,34.0,35.0,75.0,2.0,5.0,,,90.0,114.0,7.7,7.0,0.129349,1,,,,69.0,1.0,2.0,1.0,,,,,,1.0,,1.0,,,1.0,0.063,,1.0,,,,,,,,,,,,,,,,,,,
12764347,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21204,M,nathanake,149663,EUR,793065600,D,6,6,False,86.0,81.0,,,0.0,13.0,15.0,72.0,2.0,4.0,,,74.0,97.0,7.6,6.0,0.0840039,1,,,,68.0,4.0,4.0,2.0,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,0.2736,0.2188,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12764347,home,Manchester City,İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,180,50691,M,IGunny,45853,EUR,656726400,M,19,19,False,78.0,72.0,,,0.0,15.0,16.0,66.0,,4.0,,,69.0,87.0,7.2,9.0,0.117619,2,,,,58.0,1.0,3.0,,2.0,,,,,1.0,4.0,,,,,0.124,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
12764347,home,Manchester City,Savinho,savio,Savinho,M,26,176,52195,M,Savinho,1046795,EUR,1081555200,M,26,26,False,48.0,43.0,,,1.0,4.0,4.0,50.0,,5.0,,,90.0,73.0,8.2,17.0,0.459747,2,,,,41.0,1.0,7.0,6.0,,8.0,1.0,1.0,2.0,5.0,6.0,,,,1.0,0.3105,,1.0,,,,2.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,
12764347,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,173851,M,Foden,859765,EUR,959472000,M,47,47,False,59.0,53.0,1.0,,0.0,10.0,11.0,54.0,,3.0,,,90.0,78.0,8.3,16.0,0.175129,4,,,,43.0,1.0,4.0,4.0,,2.0,2.0,1.0,1.0,2.0,6.0,,2.0,1.0,,0.1689,0.2943,1.0,,,,,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,
12764347,home,Manchester City,Bernardo Silva,bernardo-silva,B. Silva,M,20,173,62462,M,BSilva,331209,EUR,776476800,M,20,20,False,41.0,38.0,1.0,1.0,0.0,10.0,11.0,36.0,,2.0,,,69.0,52.0,7.2,9.0,0.141433,0,,,,29.0,,,2.0,,2.0,,,1.0,1.0,6.0,,,,,,,,,,,1.0,,2.0,,,,,True,,,,,,,,
12764347,home,Manchester City,Matheus Nunes,matheus-nunes,M. Nunes,D,27,183,19609,M,matheusnunes,945122,EUR,904176000,M,27,27,False,64.0,61.0,,,2.0,2.0,2.0,69.0,1.0,7.0,,,90.0,90.0,10.0,12.0,0.665791,1,,,,62.0,,4.0,9.0,1.0,4.0,3.0,3.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,0.7884,0.8489,,,,2.0,3.0,2.0,4.0,1.0,,1.0,,,1.0,,,,,,,
