match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_wonTackle,stat_expectedGoals,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_penaltyWon,stat_hitWoodwork,player_sofascoreId,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed,stat_bigChanceCreated
12499529,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,41.0,33.0,17.0,9.0,0.0,28.0,32.0,5.0,9.0,2.0,2.0,4.0,7.0,1.0,2.0,4.0,90.0,50.0,7.1,8.0,0.00061611,0,-0.0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,28.0,21.0,4.0,2.0,0.0,10.0,13.0,11.0,16.0,,3.0,6.0,5.0,,,,90.0,63.0,7.0,12.0,0.193502,0,,1.0,2.0,9.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Ko Itakura,ko-itakura,K. Itakura,D,4,189,3073,M,790989,EUR,854323200,D,3,3,False,41.0,31.0,10.0,2.0,0.0,25.0,30.0,6.0,11.0,4.0,6.0,5.0,3.0,,,,90.0,51.0,6.8,10.0,0.00175208,1,,,1.0,2.0,,,,,1.0,,1.0,1.0,,,,1.0,1.0,0.0126,,,,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,52.0,48.0,1.0,,0.0,45.0,46.0,3.0,6.0,,,4.0,2.0,,,,90.0,59.0,6.5,4.0,0.00112501,0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Lukas Ullrich,lukas-ullrich,L. Ullrich,D,26,177,362,M,1083382,EUR,1079395200,D,26,26,False,28.0,24.0,3.0,1.0,0.0,20.0,20.0,6.0,11.0,,4.0,1.0,4.0,,,,90.0,48.0,6.8,7.0,0.0488728,0,,3.0,1.0,3.0,,3.0,,1.0,,1.0,1.0,1.0,,Lukas Ullrich,,,,,2.0,1.0,3.0,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,32.0,22.0,5.0,2.0,0.0,16.0,20.0,6.0,13.0,,2.0,,7.0,,,,89.0,42.0,6.6,14.0,0.0210344,2,,1.0,1.0,5.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,,0.1169,,2.0,,1.0,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Julian Weigl,julian-weigl,J. Weigl,M,5,186,1190,M,237068,EUR,810518400,M,8,8,False,25.0,20.0,2.0,2.0,0.0,16.0,18.0,4.0,7.0,1.0,3.0,2.0,,,,,90.0,38.0,6.8,7.0,0.00463462,2,,,2.0,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,0.0569,,,,,True,1.0,0.1564,,,,,,,,,
12499529,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,20.0,16.0,1.0,1.0,0.0,7.0,8.0,10.0,22.0,,2.0,4.0,5.0,,,,89.0,48.0,6.8,19.0,0.037536,0,,10.0,,4.0,,3.0,,1.0,1.0,3.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
12499529,home,Borussia M'gladbach,Kevin Stöger,kevin-stoger,K. Stöger,M,7,175,715,M,95381,EUR,746409600,M,7,7,False,29.0,26.0,3.0,1.0,0.0,9.0,9.0,19.0,22.0,,4.0,1.0,5.0,,,,75.0,45.0,7.2,7.0,0.0594805,2,,2.0,,5.0,2.0,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,,,1.0,,0.8277,2.0,1.0,,,,1.0,0.7478,1.0,1.0,,,,,,,
12499529,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,M,14,14,False,19.0,15.0,,,0.0,7.0,8.0,8.0,11.0,,,,1.0,,,,75.0,22.0,6.4,5.0,0.106716,0,,,1.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,
