match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_fouls,stat_aerialLost,stat_challengeLost,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_wonContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goalAssist,stat_hitWoodwork,stat_bigChanceMissed,stat_outfielderBlock,stat_errorLeadToAGoal
11067527,home,Palmeiras,Weverton,weverton,Weverton,G,1,189,7138,M,Weverton,243529,EUR,566352000,G,21,21,False,19.0,17.0,9.0,7.0,15.0,16.0,2.0,3.0,6.0,1.0,4.0,5.0,90.0,29.0,8.1,2.0,0.00049961,0,1.6079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067527,home,Palmeiras,Marcos Rocha,marcos-rocha,M. Rocha,D,14,176,2464,M,,82576,EUR,597801600,D,2,2,False,63.0,52.0,20.0,11.0,26.0,29.0,26.0,34.0,8.0,,,,90.0,89.0,8.2,16.0,0.190826,1,,True,1.0,9.0,1.0,1.0,1.0,1.0,8.0,4.0,2.0,1.0,0.0189,3.0,,,,,,,,,,,,,,,,,,,,,
11067527,home,Palmeiras,Luan Garcia,luan,L. Garcia,D,13,186,749,M,,250351,EUR,736992000,D,13,13,False,20.0,15.0,3.0,,11.0,12.0,4.0,8.0,3.0,,,,45.0,25.0,6.6,5.0,0.0012244,0,,,2.0,3.0,,,5.0,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,
11067527,home,Palmeiras,Murilo,murilo,Murilo,D,26,188,4420,M,,874729,EUR,859420800,D,26,26,False,40.0,30.0,6.0,1.0,21.0,23.0,9.0,17.0,6.0,,,,90.0,44.0,6.6,10.0,0.00379292,0,,,5.0,4.0,,,2.0,,2.0,1.0,,,,,,,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11067527,home,Palmeiras,Mayke,mayke,Mayke,D,12,178,2322,M,,273329,EUR,721353600,M,12,12,False,33.0,25.0,1.0,1.0,8.0,11.0,19.0,27.0,7.0,,,,90.0,52.0,6.9,17.0,0.136271,0,,,8.0,3.0,3.0,,,3.0,,,1.0,1.0,,4.0,,,,2.0,1.0,2.0,,5.0,2.0,2.0,2.0,1.0,,,,,,,,,
11067527,home,Palmeiras,Richard Ríos,richard-rios,R. Ríos,M,20,185,34402,M,richardrios,1015292,EUR,959904000,M,27,27,False,35.0,25.0,2.0,,14.0,20.0,11.0,15.0,3.0,,,,85.0,49.0,7.3,11.0,0.0217483,3,,,1.0,7.0,,1.0,,1.0,2.0,2.0,,2.0,0.0655,2.0,,,3.0,,1.0,,,,,,,,1.0,1.0,0.0958,,,,,,
11067527,home,Palmeiras,Zé Rafael,ze-rafael,Z. Rafael,M,6,175,2603,M,,329069,EUR,740188800,M,8,8,False,30.0,23.0,3.0,2.0,9.0,11.0,14.0,19.0,12.0,,,,90.0,52.0,7.5,12.0,0.0151215,2,,,6.0,8.0,5.0,,1.0,1.0,1.0,,2.0,4.0,0.1834,1.0,,,,2.0,,1.0,,,,1.0,3.0,,1.0,1.0,0.2859,1.0,,,,,
11067527,home,Palmeiras,Joaquín Piquerez,joaquin-piquerez,J. Piquerez,D,22,183,6392,M,,881110,EUR,903916800,M,22,22,False,29.0,23.0,4.0,1.0,14.0,16.0,9.0,15.0,4.0,,,,90.0,54.0,7.0,14.0,0.0409645,1,,,4.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0142,1.0,,,2.0,1.0,1.0,2.0,,2.0,,,2.0,,,,,,,,,,
11067527,home,Palmeiras,Raphael Veiga,raphael-veiga,R. Veiga,M,23,176,17123,M,raphaelveiga,840020,EUR,803520000,F,23,23,False,28.0,21.0,2.0,2.0,5.0,7.0,18.0,27.0,1.0,,,,89.0,47.0,7.7,12.0,0.100358,4,,,3.0,6.0,3.0,,2.0,,,,,2.0,0.4407,1.0,,,2.0,1.0,,1.0,1.0,6.0,2.0,,2.0,,3.0,1.0,0.2843,,1.0,,,,
11067527,home,Palmeiras,Endrick,endrick,Endrick,F,9,173,417542,M,Endrick,1174937,EUR,1153440000,F,9,9,False,11.0,8.0,,,2.0,2.0,6.0,10.0,3.0,,,,64.0,21.0,7.7,6.0,0.148,3,,,1.0,3.0,,1.0,,,1.0,1.0,2.0,2.0,0.1164,1.0,,,,1.0,1.0,,,1.0,,,,1.0,2.0,,0.4322,1.0,,1.0,,,
