match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_fouls,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_wonContest,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_goals
14109694,home,Eyüpspor,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,1,1,False,19.0,16.0,7.0,4.0,0.0,15.0,15.0,1.0,4.0,1.0,2.0,90.0,22.0,6.5,3.0,0.00014738,0,-0.2391,0.03,-0.06,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Calegari,calegari,Calegari,D,2,171,473,M,988906,EUR,1014768000,D,2,2,False,64.0,55.0,2.0,,0.0,18.0,22.0,37.0,42.0,,4.0,90.0,92.0,6.8,19.0,0.0336626,1,,0.18,0.21,-0.03,,,6.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0175,1.0,-0.05,,,,,,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183,91,M,138154,EUR,759456000,D,6,6,False,75.0,72.0,7.0,7.0,0.0,35.0,36.0,37.0,39.0,1.0,3.0,90.0,83.0,7.1,6.0,0.0205537,0,,0.31,0.31,-0.15,,,3.0,3.0,,3.0,2.0,,,,,1.0,2.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,64.0,61.0,1.0,,0.0,38.0,40.0,23.0,24.0,2.0,2.0,90.0,73.0,6.4,5.0,0.0101204,0,,-0.01,0.19,-0.14,,,,2.0,1.0,4.0,3.0,,,,,2.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Umut Meraş,umut-meras,U. Meraş,D,77,178,154,M,609746,EUR,819417600,D,77,77,False,39.0,27.0,8.0,2.0,0.0,14.0,16.0,13.0,23.0,1.0,6.0,77.0,63.0,6.6,14.0,0.221306,2,,0.43,0.01,-0.21,,,1.0,1.0,,4.0,2.0,,2.0,2.0,,1.0,1.0,1.0,1.0,0.0831,1.0,-0.17,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185,2104,M,142619,EUR,741657600,M,10,10,False,47.0,40.0,6.0,2.0,0.0,16.0,16.0,24.0,31.0,,10.0,90.0,68.0,7.0,19.0,0.167949,1,,0.37,0.27,-0.07,,,9.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,0.0724,4.0,0.01,,,3.0,,,1.0,4.0,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Mateusz Łęgowski,mateusz-legowski,M. Łęgowski,M,20,181,793,M,1064080,EUR,1043798400,M,20,20,False,23.0,17.0,1.0,1.0,0.0,5.0,6.0,12.0,17.0,1.0,1.0,68.0,37.0,6.5,10.0,0.00844015,1,,-0.14,0.01,0.23,,,1.0,3.0,1.0,6.0,2.0,2.0,1.0,,,,1.0,1.0,,0.0248,,-0.03,,,,,,,,1.0,0.058,,,,,,,,,,,,
14109694,home,Eyüpspor,Halil Akbunar,halil-akbunar,H. Akbunar,M,77,170,140,M,217782,EUR,752803200,M,7,7,False,21.0,19.0,2.0,1.0,0.0,10.0,11.0,9.0,10.0,,4.0,59.0,41.0,6.6,9.0,0.0144611,3,,0.0,-0.21,0.2,,,3.0,1.0,,4.0,3.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,0.9062,,0.09,,1.0,,,,,2.0,1.0,0.2951,2.0,1.0,,,,,,,,,,
14109694,home,Eyüpspor,Yalçın Kayan,yalcin-kayan,Y. Kayan,M,20,182,80,M,945548,EUR,917654400,M,30,30,False,33.0,30.0,3.0,2.0,0.0,9.0,9.0,21.0,24.0,,2.0,67.0,50.0,6.5,12.0,0.13629,3,,0.0,0.22,-0.06,,,6.0,,,4.0,1.0,1.0,1.0,1.0,,,1.0,,,0.2993,1.0,-0.51,,1.0,1.0,1.0,1.0,,2.0,2.0,0.5344,1.0,,1.0,,,,,,,,,
14109694,home,Eyüpspor,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176,112,M,96520,EUR,684806400,M,11,11,False,19.0,14.0,1.0,,0.0,5.0,7.0,9.0,12.0,1.0,1.0,77.0,31.0,6.4,9.0,0.0926274,0,,0.18,0.11,-0.04,,,4.0,1.0,,5.0,2.0,,3.0,,,,,,,,2.0,,,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,
14109694,home,Eyüpspor,Mame Thiam,mame-thiam,M. Thiam,F,17,185,1076,M,180981,EUR,718588800,F,9,9,False,9.0,8.0,,,0.0,1.0,1.0,7.0,8.0,,1.0,90.0,19.0,6.2,4.0,0.0127085,3,,-0.05,0.06,0.13,,,1.0,4.0,2.0,6.0,4.0,,1.0,2.0,,,1.0,1.0,1.0,0.1808,,-0.56,,1.0,,,,,1.0,1.0,0.0759,,1.0,,,,,,,,,,
14109694,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171,278,M,923888,EUR,892425600,F,40,40,True,12.0,11.0,1.0,1.0,0.0,3.0,3.0,8.0,9.0,,,31.0,19.0,6.3,6.0,0.0162841,1,,-0.13,0.05,0.13,,,2.0,,,2.0,,1.0,,1.0,,,,,,0.0275,,-0.05,,1.0,,,,,2.0,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,8,180,414,M,343527,EUR,718156800,M,8,8,True,16.0,13.0,1.0,1.0,0.0,3.0,3.0,10.0,13.0,,1.0,23.0,18.0,6.5,4.0,0.025969,0,,-0.03,0.2,-0.05,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Taşkın Ilter,taskin-ilter,T. Ilter,M,28,185,82,M,171911,EUR,773366400,M,28,28,True,22.0,17.0,4.0,2.0,0.0,5.0,6.0,12.0,16.0,,1.0,22.0,27.0,6.7,6.0,0.0123442,0,,0.06,0.08,0.16,,,,2.0,1.0,2.0,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
14109694,home,Eyüpspor,Emir Ortakaya,emir-ortakaya,E. Ortakaya,D,65,185,408,M,1091815,EUR,1087862400,D,5,5,True,10.0,8.0,2.0,,0.0,3.0,4.0,5.0,6.0,1.0,2.0,13.0,12.0,6.7,3.0,0.00466706,0,,0.01,0.07,0.15,Emir,Ortakaya,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
