match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,captain,stat_totalCross,stat_unsuccessfulTouch,stat_shotOffTarget,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_goals,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross,stat_errorLeadToAGoal,stat_totalOffside,stat_blockedScoringAttempt,stat_lastManTackle,stat_penaltyConceded,stat_bigChanceMissed,stat_hitWoodwork,stat_bigChanceCreated
14131920,home,Benfica,Anatoliy Trubin,anatoliy-trubin,A. Trubin,G,1,200,9533,M,anatoliytrubin81,966616,EUR,996624000,G,1,1,False,34.0,23.0,15.0,4.0,0.0,19.0,20.0,4.0,14.0,1.0,7.0,4.0,6.0,90.0,45.0,8.3,11.0,0.00115422,0.9954,0,0.5854,0.06,-0.02,-0.01,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131920,home,Benfica,Amar Dedić,amar-dedic,A. Dedić,D,17,180,5379,M,,1102791,EUR,1029628800,D,17,17,False,18.0,14.0,2.0,,0.0,7.0,8.0,7.0,10.0,3.0,4.0,,,90.0,48.0,6.3,12.0,0.0054047,,0,,-0.04,0.22,-0.22,,1.0,1.0,14.0,6.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14131920,home,Benfica,António Silva,antonio-silva,A. Silva,D,4,187,8155,M,antoniosilva.66,1006069,EUR,1067472000,D,4,4,False,50.0,41.0,13.0,7.0,0.0,31.0,31.0,10.0,19.0,7.0,2.0,,,90.0,65.0,6.7,11.0,0.00421096,,0,,0.25,0.12,-0.22,,1.0,5.0,6.0,8.0,1.0,1.0,1.0,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
14131920,home,Benfica,Nicolás Otamendi,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,Notamendi30,74915,EUR,571622400,D,30,30,False,56.0,47.0,10.0,6.0,0.0,38.0,42.0,9.0,14.0,7.0,3.0,,,90.0,66.0,7.2,9.0,0.0138962,,0,,0.24,0.13,-0.12,,1.0,6.0,1.0,8.0,,,,,,,,,2.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
14131920,home,Benfica,Samuel Dahl,dahl-samuel,S. Dahl,D,26,171,2179,M,,993101,EUR,1046736000,D,26,26,False,33.0,28.0,3.0,1.0,0.0,19.0,20.0,9.0,13.0,1.0,4.0,,,80.0,51.0,7.0,9.0,0.0157686,,0,,0.15,0.05,-0.14,,,1.0,3.0,7.0,2.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
14131920,home,Benfica,Richard Ríos,richard-rios,R. Ríos,M,8,185,34088,M,richardrios,1015292,EUR,959904000,M,20,20,False,30.0,23.0,1.0,,0.0,10.0,12.0,13.0,18.0,3.0,4.0,,,90.0,58.0,6.8,15.0,0.0145931,,1,,-0.21,-0.53,0.24,,4.0,4.0,12.0,11.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,,,,2.0,3.0,1.0,0.0352,1.0,0.01,,,,,,,,,,,,,,,,
14131920,home,Benfica,Fredrik Aursnes,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,,228364,EUR,818553600,M,8,8,False,28.0,22.0,3.0,2.0,0.0,12.0,14.0,10.0,14.0,2.0,1.0,,,90.0,36.0,7.3,7.0,0.0227482,,0,,0.3,0.03,0.43,,1.0,1.0,3.0,3.0,,,3.0,2.0,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14131920,home,Benfica,Dodi Lukebakio,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,DLukebakio,823631,EUR,875059200,M,11,11,False,15.0,12.0,1.0,1.0,0.0,4.0,5.0,8.0,10.0,1.0,5.0,,,68.0,40.0,7.6,12.0,0.00563062,,5,,-0.14,0.89,-0.11,,1.0,1.0,6.0,8.0,1.0,2.0,7.0,5.0,,,1.0,1.0,1.0,,,,,4.0,1.0,3.0,0.3014,,-0.72,2.0,1.0,0.0978,,,,,,,,,,,,,
14131920,home,Benfica,Georgiy Sudakov,georgiy-sudakov,G. Sudakov,M,10,177,6474,M,,1123925,EUR,1030838400,M,10,10,False,27.0,21.0,2.0,1.0,0.0,6.0,6.0,15.0,21.0,3.0,5.0,,,80.0,38.0,6.8,9.0,0.029677,,1,,0.14,0.26,0.16,,,3.0,5.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,3.0,,,,,1.0,1.0,0.0405,2.0,0.0,,,,,,,,,,,,,,,,
14131920,home,Benfica,Andreas Schjelderup,andreas-schjelderup,A. Schjelderup,F,21,177,8800,M,andreasschjelderup,1100952,EUR,1086048000,M,21,21,False,14.0,11.0,1.0,,0.0,6.0,7.0,5.0,7.0,,4.0,,,68.0,20.0,6.6,6.0,0.0239026,,0,,-0.17,0.38,-0.05,,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
