match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_wasFouled,stat_errorLeadToAShot,stat_totalOffside,captain,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_goodHighClaim,stat_hitWoodwork
11392810,home,Lorient,Yvon Mvogo,yvon-mvogo,Y. Mvogo,G,38,190,548,M,149656,EUR,770860800,G,38,38,False,34.0,27.0,16.0,10.0,20.0,24.0,7.0,10.0,9.0,4.0,7.0,90.0,48.0,9.1,8.0,0.00131467,0,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392810,home,Lorient,Formose Mendy,formose-mendy,F. Mendy,D,27,191,1488,M,982316,EUR,978393600,D,13,13,False,50.0,32.0,11.0,4.0,24.0,31.0,9.0,20.0,8.0,,,90.0,82.0,7.4,24.0,0.00711453,0,,,,1.0,1.0,3.0,6.0,7.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,3.0,,,,,,,,,,,,,,,
11392810,home,Lorient,Montassar Talbi,montassar-talbi,M. Talbi,D,3,190,3461,M,879618,EUR,896140800,D,3,3,False,44.0,39.0,6.0,2.0,35.0,39.0,4.0,5.0,7.0,,,90.0,56.0,7.3,6.0,0.00107816,0,,,,,,1.0,2.0,3.0,,,,,5.0,,3.0,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,
11392810,home,Lorient,Souleymane Isaak Touré,souleymane-isaak-toure,S. I. Touré,D,95,206,1092,M,1012650,EUR,1048809600,D,95,95,False,49.0,45.0,1.0,,38.0,39.0,7.0,10.0,4.0,,,90.0,63.0,6.9,7.0,0.0069472,0,,,,,,,3.0,,1.0,,,,7.0,1.0,2.0,,,2.0,2.0,,,1.0,,,,,,,,,,,,
11392810,home,Lorient,Joel Mugisha Mvuka,joel-mugisha-mvuka,J. Mvuka Mvuka,M,93,173,322,M,1027091,EUR,1037059200,M,93,93,False,10.0,9.0,1.0,,4.0,5.0,5.0,9.0,4.0,,,56.0,24.0,6.6,7.0,0.00321324,0,,,,4.0,,,3.0,4.0,1.0,1.0,3.0,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,
11392810,home,Lorient,Laurent Abergel,laurent-abergel,L. Abergel,M,6,170,153,M,296434,EUR,728524800,M,19,19,False,55.0,48.0,6.0,4.0,36.0,38.0,12.0,18.0,8.0,,,90.0,75.0,7.2,12.0,0.017953,0,,,,1.0,,,4.0,6.0,2.0,,1.0,,1.0,,2.0,5.0,3.0,1.0,,1.0,1.0,,,True,1.0,,,,,,,,,
11392810,home,Lorient,Tiemoué Bakayoko,tiemoue-bakayoko,T. Bakayoko,M,14,188,1233,M,149735,EUR,777081600,M,14,14,False,24.0,20.0,2.0,2.0,12.0,15.0,8.0,9.0,6.0,,,55.0,30.0,6.9,5.0,0.0100564,0,,,,,,,1.0,2.0,,,1.0,,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11392810,home,Lorient,Darlin Yongwa,darlin-yongwa,D. Yongwa,D,44,177,1325,M,998241,EUR,969580800,M,12,12,False,34.0,23.0,,,14.0,19.0,9.0,17.0,5.0,,,90.0,68.0,7.4,18.0,0.0178209,1,,,,2.0,,,4.0,7.0,,1.0,3.0,2.0,5.0,,3.0,4.0,3.0,,1.0,1.0,1.0,,1.0,,,1.0,0.0438,,,,,,,
11392810,home,Lorient,Julien Ponceau,julien-ponceau,J. Ponceau,M,21,170,165,M,942844,EUR,975369600,F,21,21,False,13.0,8.0,,,4.0,4.0,4.0,9.0,4.0,,,75.0,38.0,7.1,12.0,0.00609914,2,,,,,,,3.0,10.0,,,5.0,2.0,1.0,,2.0,5.0,2.0,4.0,,,3.0,,,,,,0.0689,2.0,,,,,,
11392810,home,Lorient,Romain Faivre,romain-faivre,R. Faivre,M,28,180,1033,M,913942,EUR,900374400,F,10,10,False,29.0,23.0,,,11.0,15.0,12.0,15.0,5.0,,,90.0,48.0,6.7,11.0,0.0508498,1,,,,1.0,,,5.0,8.0,2.0,1.0,4.0,2.0,,,1.0,1.0,,1.0,,,5.0,,,,1.0,1.0,0.0266,,,,,,,
