match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_keyPass,stat_duelWon,stat_totalTackle,stat_fouls,captain,stat_aerialWon,stat_shotOffTarget,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_hitWoodwork,stat_goodHighClaim,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot
14035927,home,Sint-Truidense VV,Keisuke Goto,,,goto-keisuke,K. Goto,F,42,191.0,1367,M,1391315,EUR,1117756800,F,42,42,False,13.0,9.0,,,0.0,3.0,4.0,6.0,9.0,,1.0,,,,80.0,29.0,5.9,9.0,0.05759,,4,,-0.22,0.27,-0.1,,,,4.0,8.0,,,,4.0,,6.0,2.0,3.0,,3.0,3.0,1.0,1.0,0.9601,-0.83,1.0,,2.0,,1.0,,,,,1.0,,,,
14035927,home,Sint-Truidense VV,Kaito Matsuzawa,Kaito,Matsuzawa,kaito-matsuzawa,K. Matsuzawa,M,38,176.0,200,M,1514300,EUR,981331200,F,38,38,True,5.0,5.0,,,0.0,1.0,1.0,4.0,4.0,1.0,,,,,22.0,7.0,6.5,1.0,0.00128918,,0,,-0.01,-0.1,0.13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
14035927,home,Sint-Truidense VV,Andrés Ferrari,,,andres-ferrari,A. Ferrari,F,9,183.0,452,M,1177406,EUR,1041552000,F,9,9,True,1.0,,,,0.0,,,,1.0,1.0,,,,,10.0,3.0,6.5,1.0,,,0,,-0.11,0.02,0.14,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
14035927,home,Sint-Truidense VV,Alouis Diriken,,,alouis-diriken,A. Diriken,M,33,187.0,37,M,1481773,EUR,1080777600,M,33,33,True,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,1.0,4.0,,1.0,0.00268189,,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Matt Lendfers,Matt Lendfers,,matt-lendfers,M. Lendfers,G,21,190.0,61,M,1393695,EUR,1141948800,G,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Wolke Janssens,,,janssens-wolke,W. Janssens,D,22,185.0,37,M,794418,EUR,789782400,D,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Hugo Lambotte,Hugo Lambotte,,hugo-lambotte,H. Lambotte,D,34,180.0,27,M,1888649,EUR,1150675200,D,34,34,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Isaías Delpupo,Isaias Del Pupo,,delpupo-isaias,I. Delpupo,M,11,176.0,147,M,1046241,EUR,1049068800,M,11,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Ben Achour Ilyes,Ben Achour Ilyes,,ben-achour-ilyes,B. A. Ilyes,M,31,,151,M,1546218,EUR,1168300800,M,31,31,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035927,home,Sint-Truidense VV,Adam Nhaili,Adam Nhaili,,adam-nhaili,A. Nhaili,M,53,174.0,94,M,1510029,EUR,1123545600,F,53,53,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
