match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name
10411720,FT,3.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
10411720,,,,,90,0.0,,1,,,injuryTime,5.0,,,,,,,,,
10411720,,,,,86,,,5,,,substitution,,121665968.0,False,False,regular,,,,,
10411720,,,,,74,,,17,,,substitution,,121665903.0,False,False,regular,,,,,
10411720,,,,,74,,,17,,,substitution,,121665902.0,False,False,regular,,,,,
10411720,,,,,73,,,18,,,substitution,,121665901.0,False,False,regular,,,,,
10411720,,,,,70,,,21,,,substitution,,121665871.0,False,True,regular,,,,,
10411720,,,,,70,,,21,,,substitution,,121665870.0,True,True,injury,,,,,
10411720,,,,,59,,,32,,,substitution,,121665770.0,False,True,regular,,,,,
10411720,,,,,58,,,33,,,substitution,,121665769.0,False,True,regular,,,,,
10411720,,,,,58,,,33,,,substitution,,121665768.0,False,True,regular,,,,,
10411720,,,,,50,,,41,,,card,,120691924.0,,False,yellow,Roberto Pereyra,Argument,False,122701.0,Roberto Pereyra
10411720,,3.0,0.0,,49,,,42,,,goal,,168564267.0,,True,regular,,,,916680.0,Musa Barrow
10411720,,,,,46,,,45,,,substitution,,121665683.0,False,False,regular,,,,,
10411720,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
10411720,,,,,45,2.0,,1,,,card,,120688886.0,,True,yellow,Jhon Lucumí,Foul,False,818481.0,Jhon Lucumí
10411720,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,
10411720,,2.0,0.0,,12,,,34,,,goal,,168563537.0,,True,regular,,,,814882.0,Nikola Moro
10411720,,,,,8,,,38,,,card,,120688794.0,,False,yellow,Jaka Bijol,Foul,False,886930.0,Jaka Bijol
10411720,,1.0,0.0,,3,,,43,,,goal,,168563426.0,,True,regular,,,,355486.0,Stefan Posch
