match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_dispossessed,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_blockedScoringAttempt,player_sofascoreId
10411720,home,Bologna,Francesco Bardi,,,francesco-bardi,F. Bardi,G,24,188,63,M,80203,EUR,695692800,G,1,1,False,17.0,13.0,10.0,6.0,9.0,11.0,4.0,6.0,1.0,1.0,8.0,1.0,4.0,90.0,28.0,7.6,6.0,0.0,0.0,0.00177996,0,0.6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411720,home,Bologna,Stefan Posch,,,stefan-posch,S. Posch,D,4,188,1364,M,355486,EUR,863568000,D,3,3,False,38.0,29.0,8.0,5.0,15.0,18.0,14.0,20.0,5.0,,4.0,,,70.0,62.0,8.4,12.0,0.0167,0.1362,0.0166011,1,,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,
10411720,home,Bologna,Adama Soumaoro,,,adama-soumaoro,A. Soumaoro,D,,187,123,M,158573,EUR,708825600,D,5,5,False,50.0,47.0,4.0,2.0,43.0,45.0,4.0,5.0,2.0,,5.0,,,90.0,57.0,7.0,3.0,0.0,0.0,0.00153363,0,,2.0,,1.0,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,
10411720,home,Bologna,Jhon Lucumí,,,jhon-lucumi,J. Lucumí,D,26,185,4571,M,818481,EUR,898819200,D,26,26,False,56.0,47.0,8.0,4.0,40.0,42.0,7.0,14.0,6.0,,5.0,,,90.0,67.0,6.9,10.0,0.0,0.0,0.00121066,0,,1.0,3.0,6.0,3.0,,,,,3.0,,1.0,1.0,2.0,1.0,1.0,2.0,,True,1.0,,,,,,,,,
10411720,home,Bologna,Georgios Kyriakopoulos,,,georgios-kyriakopoulos,G. Kyriakopoulos,M,77,186,878,M,377302,EUR,823478400,D,77,77,False,49.0,45.0,4.0,2.0,24.0,25.0,22.0,29.0,2.0,1.0,2.0,,,90.0,73.0,7.5,12.0,0.0,0.0,0.110211,0,,,,4.0,1.0,,,,,,,1.0,,4.0,2.0,,,1.0,,3.0,5.0,1.0,,,,,,,
10411720,home,Bologna,Lewis Ferguson,,,lewis-ferguson,L. Ferguson,M,19,181,1972,M,907152,EUR,935452800,M,19,19,False,28.0,25.0,2.0,1.0,15.0,15.0,10.0,14.0,5.0,,,,,58.0,36.0,6.8,4.0,0.0,0.0,0.0130541,0,,2.0,1.0,4.0,1.0,,,,,,,,,3.0,2.0,,2.0,1.0,,,1.0,,,,,,,,
10411720,home,Bologna,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1247,M,844234,EUR,853027200,M,30,30,False,58.0,55.0,1.0,1.0,30.0,31.0,25.0,27.0,7.0,2.0,11.0,,,90.0,75.0,6.9,8.0,0.0,0.0,0.0143474,0,,,3.0,8.0,1.0,2.0,1.0,,,1.0,,,2.0,4.0,3.0,,3.0,,,1.0,,,,,,,,,
10411720,home,Bologna,Nikola Moro,,,nikola-moro,N. Moro,M,6,182,2495,M,814882,EUR,889660800,M,6,6,False,25.0,21.0,4.0,3.0,10.0,11.0,11.0,15.0,3.0,,5.0,,,70.0,40.0,8.5,6.0,0.0608,0.3887,0.17518,1,,1.0,,6.0,2.0,2.0,2.0,1.0,1.0,,,,1.0,4.0,4.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,
10411720,home,Bologna,Michel Aebischer,,,michel-aebischer,M. Aebischer,M,20,182,1236,M,850891,EUR,852508800,F,20,20,False,11.0,7.0,,,4.0,4.0,3.0,9.0,7.0,,2.0,,,58.0,23.0,6.4,9.0,0.0,0.0,0.00081162,0,,2.0,,3.0,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,
10411720,home,Bologna,Nicola Sansone,Nicola,Sansone,nicola-sansone,N. Sansone,F,,175,193,M,100580,EUR,684460800,F,10,10,False,20.0,16.0,1.0,1.0,4.0,4.0,12.0,18.0,7.0,1.0,2.0,,,90.0,34.0,6.5,9.0,0.2032,0.6941,0.0139675,2,,1.0,,7.0,2.0,2.0,1.0,1.0,,,,,,2.0,1.0,4.0,2.0,,,1.0,2.0,,,,1.0,1.0,2.0,,
