match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_punches,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_ownGoals,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_hitWoodwork
11368675,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,True,29.0,16.0,19.0,6.0,10.0,10.0,6.0,19.0,11.0,1.0,1.0,1.0,90.0,34.0,6.7,13.0,0.009936,0,0.2806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368675,home,Cádiz,Aiham Ousou,aiham-ousou,A. Ousou,D,4,186,1250,M,965265,EUR,947376000,D,24,24,False,,25.0,19.0,3.0,1.0,12.0,17.0,7.0,8.0,5.0,,,,45.0,29.0,6.5,6.0,0.00225945,0,,,,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368675,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,,64.0,49.0,9.0,2.0,27.0,31.0,22.0,33.0,5.0,,,,90.0,76.0,7.1,15.0,0.00519868,0,,,,5.0,4.0,11.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11368675,home,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,,60.0,50.0,13.0,9.0,20.0,23.0,30.0,39.0,4.0,,,,90.0,75.0,7.0,14.0,0.0181444,0,,,,,7.0,2.0,4.0,1.0,3.0,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11368675,home,Cádiz,Lucas Pires,lucas-pires,L. Pires,D,23,182,554,M,1136896,EUR,985392000,D,33,33,False,,18.0,15.0,4.0,3.0,5.0,5.0,10.0,17.0,3.0,,,,45.0,41.0,6.5,13.0,0.0427637,0,,,,1.0,4.0,3.0,,2.0,2.0,,,,1.0,4.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,
11368675,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,M,20,20,False,,37.0,28.0,2.0,,8.0,11.0,20.0,30.0,4.0,,,,90.0,69.0,6.6,18.0,0.0198223,0,,,,,7.0,6.0,,2.0,1.0,1.0,2.0,,3.0,4.0,,4.0,,,,2.0,1.0,,,,,,,,,,,,,,,
11368675,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,,61.0,53.0,6.0,2.0,15.0,16.0,38.0,49.0,9.0,,,,90.0,80.0,7.4,14.0,0.0357473,1,,,,2.0,5.0,8.0,1.0,,,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,0.0277,0.0238,,,,,,,,,,,,
11368675,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,False,,54.0,45.0,2.0,1.0,16.0,18.0,31.0,40.0,5.0,,,,90.0,76.0,7.6,12.0,0.141588,1,,,,2.0,4.0,8.0,1.0,1.0,,4.0,4.0,3.0,2.0,4.0,,,1.0,1.0,2.0,,,,0.0122,,2.0,1.0,,,,,,,,,,
11368675,home,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,,34.0,29.0,,,6.0,8.0,23.0,30.0,6.0,,,,79.0,45.0,6.9,11.0,0.0899422,1,,,,,2.0,1.0,,,,,,,,4.0,,1.0,,,3.0,2.0,1.0,,0.0153,,,1.0,,,,,,,,,,
11368675,home,Cádiz,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1666,M,914819,EUR,853545600,F,16,16,False,,14.0,7.0,,,2.0,2.0,5.0,12.0,,,,,80.0,32.0,6.9,13.0,0.0255073,2,,,,8.0,14.0,11.0,,,1.0,8.0,2.0,1.0,1.0,,,3.0,2.0,1.0,,2.0,,1.0,0.1423,0.1067,,1.0,,,,,,,,,,
