match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,injury,confirmed
10388390,FT,4.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,
10388390,,4.0,0.0,,84,,,7,,,goal,166207262.0,True,regular,35166.0,Thomas Müller,,
10388390,,,,,82,,,9,,,substitution,121341234.0,True,regular,,,False,
10388390,,,,,81,,,10,,,substitution,121341233.0,True,regular,,,False,
10388390,,,,,74,,,17,,,substitution,121341202.0,False,regular,,,False,
10388390,,,,,74,,,17,,,substitution,121341201.0,True,regular,,,False,
10388390,,,,,65,,,26,,,substitution,121341147.0,True,regular,,,False,
10388390,,,,,65,,,26,,,substitution,121341146.0,True,regular,,,False,
10388390,,,,,61,,,30,,,substitution,121341115.0,False,regular,,,False,
10388390,,,,,61,,,30,,,substitution,121341114.0,False,regular,,,False,
10388390,,,,,57,,,34,,,varDecision,13434.0,True,goalAwarded,217704.0,Sadio Mané,,False
10388390,,,,,46,,,45,,,substitution,121341004.0,False,regular,,,False,
10388390,,,,,46,,,45,,,substitution,121341003.0,False,regular,,,False,
10388390,HT,3.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,
10388390,,3.0,0.0,,39,,,7,,,goal,166204873.0,True,regular,217704.0,Sadio Mané,,
10388390,,2.0,0.0,,17,,,29,,,goal,166204236.0,True,regular,1010231.0,Jamal Musiala,,
10388390,,1.0,0.0,,3,,,43,,,goal,166203560.0,True,regular,293519.0,Leroy Sané,,
