match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_challengeLost,captain,stat_dispossessed,stat_keyPass,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_shotOffTarget,stat_bigChanceMissed,stat_totalOffside
14131860,home,FC Arouca,João Valido,joao-valido,J. Valido,G,1,185,54,M,973352,EUR,952041600,G,1,1,False,32.0,22.0,13.0,3.0,0.0,20.0,23.0,2.0,9.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,44.0,6.6,10.0,0.00059551,0.0008,0,-0.1382,-0.01,0.0,0.46,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131860,home,FC Arouca,Alex Pinto,pinto-alex,A. Pinto,D,78,187,68,M,1034711,EUR,899856000,D,78,78,False,26.0,24.0,4.0,3.0,0.0,15.0,17.0,9.0,9.0,2.0,3.0,3.0,1.0,,,,,,,90.0,50.0,6.7,9.0,0.00567022,,0,,-0.13,0.05,0.15,,,,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
14131860,home,FC Arouca,Boris Popović,boris-popovic,B. Popović,D,5,189,112,M,902050,EUR,951523200,D,5,5,False,48.0,42.0,7.0,3.0,0.0,32.0,34.0,10.0,14.0,1.0,4.0,6.0,3.0,1.0,,,,,,90.0,60.0,6.4,6.0,0.00406319,,0,,0.06,0.13,-0.16,,,,,4.0,7.0,,2.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
14131860,home,FC Arouca,Jose Fontán,jose-fontan,J. Fontán,D,3,182,67,M,964609,EUR,950227200,D,3,3,False,82.0,70.0,16.0,7.0,0.0,52.0,58.0,18.0,24.0,1.0,3.0,3.0,4.0,3.0,,,,,,90.0,93.0,7.1,13.0,0.0106667,,0,,0.31,0.17,-0.08,,,,,1.0,2.0,2.0,,,,,,True,1.0,2.0,,,,,,,,,,,,,,
14131860,home,FC Arouca,Arnau Solà,arnau-sola,A. Solà,D,16,179,86,M,997025,EUR,1049414400,D,16,16,False,19.0,17.0,2.0,,0.0,8.0,9.0,9.0,10.0,,1.0,,,,,,,,,45.0,34.0,6.6,7.0,0.00607789,,0,,0.01,0.04,0.23,,,,3.0,,2.0,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
14131860,home,FC Arouca,Pedro Santos,santos-pedro,P. S. Carvalho,M,89,183,49,M,1014259,EUR,971308800,M,89,89,False,62.0,58.0,12.0,10.0,0.0,28.0,28.0,30.0,34.0,,3.0,,5.0,,,,,,,78.0,65.0,7.4,4.0,0.0145388,,0,,0.26,0.15,0.14,,,,,,2.0,,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
14131860,home,FC Arouca,Taichi Fukui,taichi-fukui,T. Fukui,M,21,177,1092,M,1105857,EUR,1089849600,M,21,21,False,46.0,40.0,11.0,7.0,1.0,21.0,21.0,19.0,25.0,,3.0,1.0,3.0,,,,,,,71.0,59.0,7.1,10.0,0.00851314,,0,,0.05,-0.17,0.14,,,,,,1.0,,2.0,2.0,3.0,,,,,1.0,2.0,1.0,3.0,,,,,,,,,,,
14131860,home,FC Arouca,Alfonso Trezza,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,M,19,19,False,12.0,8.0,1.0,,0.0,3.0,4.0,5.0,8.0,,4.0,1.0,3.0,2.0,,,,,,90.0,27.0,8.6,9.0,0.00159427,,2,,-0.14,0.03,-0.02,,,,3.0,2.0,4.0,,2.0,1.0,1.0,1.0,,,1.0,,,,,2.0,2.0,0.6658,1.5236,0.77,,,,,,
14131860,home,FC Arouca,Hyun-ju Lee,hyun-ju-lee,H. Lee,M,14,172,709,M,1191120,EUR,1044576000,M,14,14,False,34.0,30.0,2.0,2.0,1.0,12.0,12.0,18.0,22.0,1.0,9.0,,4.0,5.0,,,,,,87.0,49.0,8.6,8.0,0.374307,,1,,0.65,0.48,0.14,,,,3.0,,3.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,2.0,2.0,,,,0.0438,,-0.14,2.0,1.0,1.0,,,
14131860,home,FC Arouca,Naïs Djouahra,nais-djouahra,N. Djouahra,M,7,172,601,M,955133,EUR,943315200,M,7,7,False,35.0,30.0,3.0,2.0,0.0,9.0,11.0,21.0,24.0,,1.0,1.0,1.0,,,,,,,71.0,52.0,7.8,14.0,0.031041,,2,,-0.01,0.28,-0.05,,,,7.0,,3.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,0.1173,0.8726,0.56,,,,1.0,,
