match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,captain,stat_totalCross,stat_wasFouled,stat_onTargetScoringAttempt,stat_goals,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_wonContest,stat_keyPass,player_sofascoreId,stat_accurateCross,stat_blockedScoringAttempt,stat_goodHighClaim,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated
14109678,home,Alanyaspor,Ertuğrul Taşkıran,,,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,27.0,14.0,20.0,7.0,0.0,12.0,17.0,2.0,10.0,8.0,1.0,3.0,5.0,90.0,37.0,7.6,13.0,0.00031236,0.6331,0,1.3156,0.02,0.0,-0.05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Nuno Lima,Nuno Lima,,nuno-lima,N. Lima,D,3,184,123,M,1133301,EUR,984700800,D,3,3,False,51.0,46.0,5.0,2.0,0.0,37.0,38.0,9.0,13.0,4.0,,,,90.0,62.0,6.8,5.0,0.00180733,,2,,0.02,0.02,-0.02,,2.0,4.0,4.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,0.1036,-0.3,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Fidan Aliti,,,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,79.0,69.0,5.0,,0.0,54.0,57.0,15.0,22.0,2.0,,,,90.0,96.0,7.1,14.0,0.00460826,,0,,0.0,0.11,0.22,,1.0,2.0,1.0,5.0,,,8.0,1.0,1.0,1.0,,,,True,4.0,2.0,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Ümit Akdağ,Umit Akdag,,umit-akdag,Ü. Akdağ,D,50,192,604,M,1215071,EUR,1065398400,D,50,50,False,63.0,54.0,8.0,3.0,0.0,35.0,36.0,19.0,27.0,2.0,,,,90.0,78.0,8.8,13.0,0.00930121,,2,,0.06,0.11,0.28,,1.0,2.0,1.0,5.0,,1.0,3.0,,3.0,2.0,,0.2109,0.54,,,,1.0,1.0,1.0,1.0,4.0,0.6254,,,,,,,,,,,
14109678,home,Alanyaspor,Ruan,,,ruan,Ruan,M,11,172,179,M,1400494,EUR,1115078400,M,11,11,False,38.0,26.0,6.0,1.0,0.0,15.0,18.0,11.0,20.0,4.0,,,,89.0,60.0,6.7,17.0,0.00994098,,1,,-0.01,0.27,-0.01,,1.0,,4.0,4.0,1.0,,2.0,1.0,1.0,1.0,,0.0215,-0.12,,,3.0,1.0,,,,1.0,0.0755,1.0,1.0,,,,,,,,,
14109678,home,Alanyaspor,Gaius Makouta,,,makouta-gaius,G. Makouta,M,42,180,298,M,847013,EUR,869788800,M,42,42,False,49.0,45.0,3.0,3.0,0.0,21.0,22.0,24.0,27.0,7.0,,,,90.0,60.0,6.8,9.0,0.0180206,,0,,0.18,0.11,-0.04,,1.0,1.0,4.0,2.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,3.0,,,2.0,1.0,,,,,,,,
14109678,home,Alanyaspor,Maestro,,,maestro,Maestro,M,58,173,1198,M,1002146,EUR,1059955200,M,58,58,False,44.0,42.0,2.0,2.0,0.0,17.0,17.0,25.0,27.0,8.0,,,,90.0,58.0,7.4,4.0,0.0506462,,1,,0.28,0.1,0.2,,,1.0,2.0,7.0,,,2.0,,2.0,,2.0,0.0091,-0.02,,,2.0,1.0,,,,1.0,0.0988,1.0,2.0,2.0,2.0,,,,,,,
14109678,home,Alanyaspor,Yusuf Özdemir,Yusuf Ozdemir,,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,M,88,88,False,36.0,28.0,3.0,2.0,0.0,8.0,10.0,20.0,26.0,4.0,,,,90.0,53.0,6.9,13.0,0.0173171,,1,,0.17,-0.05,0.15,,,1.0,1.0,3.0,,,1.0,1.0,,,,0.0337,-0.1,,2.0,2.0,1.0,,,,1.0,0.0843,,1.0,,,,,,,,,
14109678,home,Alanyaspor,Ianis Hagi,,,ianis-hagi,I. Hagi,M,14,180,7108,M,756344,EUR,909014400,F,14,14,False,25.0,16.0,3.0,2.0,0.0,2.0,2.0,14.0,23.0,5.0,,,,90.0,54.0,7.2,20.0,0.154926,,3,,0.16,0.34,-0.09,,2.0,1.0,5.0,8.0,2.0,2.0,,,2.0,1.0,1.0,0.0892,-0.16,,14.0,3.0,,,,,1.0,,,2.0,2.0,5.0,ianishagi,4.0,1.0,,,,
14109678,home,Alanyaspor,Ibrahim Kaya,,,ibrahim-kaya,İ. Kaya,M,27,184,83,M,996405,EUR,984096000,F,27,27,False,10.0,9.0,1.0,1.0,0.0,3.0,4.0,6.0,6.0,1.0,,,,57.0,23.0,6.4,8.0,0.0114496,,2,,-0.02,0.07,-0.01,,1.0,,2.0,1.0,,,,,,,,0.1222,-0.04,,3.0,1.0,,,,,3.0,,,1.0,,1.0,,,2.0,,,,
14109678,home,Alanyaspor,Uchenna Ogundu,Uchenna Ogundu,,uchenna-ogundu,U. Ogundu,F,22,188,410,M,1996846,EUR,1147392000,F,22,22,False,15.0,12.0,,,0.0,2.0,2.0,10.0,13.0,1.0,,,,89.0,27.0,6.8,7.0,0.05449,,2,,0.23,0.09,0.17,,3.0,3.0,5.0,3.0,1.0,1.0,3.0,,,,,0.157,-0.18,,,,,,,,3.0,,,1.0,,1.0,,,1.0,,,,
14109678,home,Alanyaspor,Ui-Jo Hwang,,,ui-jo-hwang,U. Hwang,F,16,186,1040,M,791314,EUR,714960000,F,16,16,True,15.0,10.0,,,0.0,3.0,3.0,7.0,12.0,,,,,33.0,21.0,6.6,9.0,0.030921,,0,,0.08,0.07,-0.01,,,,,1.0,,,,,,,,,,,4.0,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,
14109678,home,Alanyaspor,Meschack Elia,,,meschack-elia,M. Elia,F,12,173,23605,M,862078,EUR,870825600,F,12,12,True,1.0,1.0,,,0.0,,,1.0,1.0,,,,,1.0,2.0,,,0.00073789,,1,,,,,,,,,,,,,,,,,0.1076,,,,,1.0,,,,,0.06,,,,,meschackelialina,,,,,,
14109678,home,Alanyaspor,Enes Keskin,,,enes-keskin,E. Keskin,M,8,185,32,M,897168,EUR,991526400,M,8,8,True,2.0,1.0,1.0,,0.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,8.7e-06,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Paulo Victor,,,paulo-victor,P. Victor,G,48,187,212,M,34142,EUR,537408000,G,48,48,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Florent Hadergjonaj,,,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Bruno Viana,,,bruno-viana,B. Viana,D,30,187,241,M,804703,EUR,791942400,D,30,30,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Fatih Aksoy,,,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,Bedirhan Özyurt,Bedirhan Özyurt,,bedirhan-ozyurt,B. Özyurt,D,5,195,17,M,1138102,EUR,1048550400,D,4,4,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109678,home,Alanyaspor,İzzet Çelik,,,celik-izzet,İ. Çelik,M,6,166,68,M,826836,EUR,1087689600,M,6,6,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
