match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_totalOffside,stat_challengeLost,stat_blockedScoringAttempt,stat_wonTackle,stat_shotOffTarget,stat_dispossessed,captain,stat_goals,player_sofascoreId,stat_penaltyWon,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_bigChanceCreated
11409212,home,Vizela,Fabijan Buntić,,,fabijan-buntic,F. Buntić,G,97,194,2915,M,827377,EUR,856742400,G,97,97,False,19.0,19.0,2.0,2.0,18.0,18.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,24.0,6.3,0.0,0.0,0.00058839,0,-0.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Tomás Silva,,,tomas-silva,Tomás,D,10,172,134,M,1176102,EUR,939945600,D,82,82,False,30.0,27.0,4.0,2.0,10.0,10.0,18.0,23.0,,3.0,,,57.0,42.0,6.0,0.0,0.0,0.0955166,0,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Bruno Wilson,,,bruno-wilson,B. Wilson,D,,192,89,M,830293,EUR,851644800,D,3,3,False,77.0,71.0,10.0,7.0,41.0,42.0,30.0,35.0,3.0,4.0,,,90.0,90.0,7.4,0.1086,0.2426,0.0145349,2,,,,3.0,6.0,,,,2.0,6.0,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Anderson,,,anderson,Anderson,D,3,185,60,M,922629,EUR,794102400,D,5,5,False,34.0,33.0,3.0,3.0,23.0,24.0,10.0,10.0,3.0,3.0,,,81.0,40.0,6.3,0.0,0.0,0.00317537,0,,,,3.0,2.0,,,,2.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Matheus Pereira,,,matheus-pereira,M. Pereira,M,3,172,198,M,1016898,EUR,977356800,D,6,6,False,26.0,23.0,2.0,1.0,13.0,14.0,10.0,14.0,1.0,2.0,,,59.0,46.0,6.9,0.0271,0.0,0.0115748,1,,2.0,,4.0,4.0,1.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
11409212,home,Vizela,Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176,34,M,934421,EUR,938822400,M,12,12,False,37.0,35.0,4.0,3.0,24.0,24.0,11.0,13.0,,7.0,,,68.0,45.0,6.8,0.0166,0.0,0.0485235,1,,,,2.0,3.0,,,,1.0,2.0,1.0,,2.0,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11409212,home,Vizela,Kiko Bondoso,,,bondoso-kiko,K. Bondoso,M,10,171,86,M,1082948,EUR,816566400,M,10,10,False,31.0,23.0,,,2.0,3.0,22.0,30.0,,5.0,,,90.0,49.0,7.4,0.2382,0.0,0.195283,2,,2.0,1.0,3.0,6.0,4.0,3.0,1.0,,12.0,3.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11409212,home,Vizela,Nuno Moreira,,,nuno-moreira,N. Moreira,M,17,173,4313,M,851285,EUR,929491200,M,79,79,False,15.0,10.0,4.0,1.0,2.0,2.0,9.0,15.0,1.0,4.0,,,68.0,33.0,7.2,0.0453,0.0602,0.204496,2,,2.0,1.0,4.0,6.0,1.0,1.0,3.0,2.0,10.0,1.0,1.0,,1.0,,,3.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,
11409212,home,Vizela,Samu,,,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,55.0,47.0,11.0,8.0,16.0,16.0,31.0,46.0,1.0,4.0,,,90.0,84.0,8.0,0.9332,1.3797,0.0919291,4,,7.0,,7.0,7.0,5.0,3.0,3.0,4.0,22.0,,1.0,,3.0,1.0,,2.0,2.0,,,1.0,1.0,,,True,1.0,,,,,,,,,,
11409212,home,Vizela,Matías Lacava,,,matias-lacava,M. Lacava,F,36,167,825,M,1016029,EUR,1034208000,M,17,17,False,21.0,16.0,,,8.0,9.0,9.0,13.0,,8.0,,,59.0,36.0,6.9,0.0,0.0,0.508959,0,,1.0,1.0,5.0,4.0,3.0,1.0,2.0,1.0,11.0,2.0,1.0,,,,1.0,3.0,,,,,2.0,,1.0,,,,,,,,,,,,
11409212,home,Vizela,Samuel Essende,,,samuel-essende,S. Essende,F,9,192,6433,M,855808,EUR,885513600,F,99,99,False,12.0,10.0,,,4.0,4.0,6.0,8.0,,1.0,,,90.0,23.0,7.8,0.2017,0.3178,0.168941,3,,,,8.0,4.0,,,,5.0,2.0,1.0,3.0,2.0,1.0,,,,2.0,1.0,,1.0,,1.0,,,1.0,essende.s,1.0,,,,,,,,
11409212,home,Vizela,Hugo Oliveira,,,oliveira-hugo,H. Oliveira,D,2,174,21,M,1093052,EUR,1013299200,D,2,2,True,35.0,30.0,8.0,7.0,19.0,19.0,11.0,18.0,2.0,2.0,,,31.0,53.0,7.3,0.0,0.0,0.0691353,0,,2.0,,1.0,3.0,3.0,2.0,,,9.0,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
11409212,home,Vizela,Orest Lebedenko,,,orest-lebedenko,O. Lebedenko,D,17,174,156,M,844409,EUR,906508800,D,19,19,True,18.0,14.0,3.0,,5.0,5.0,9.0,14.0,,1.0,,,31.0,28.0,6.3,0.0,0.0,0.0702226,0,,1.0,,3.0,1.0,3.0,1.0,,,7.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11409212,home,Vizela,Diogo Nascimento,,,diogo-nascimento,D. Nascimento,M,8,166,875,M,997022,EUR,1036195200,M,90,90,True,11.0,10.0,3.0,3.0,5.0,5.0,5.0,6.0,,,,,22.0,14.0,6.7,0.0705,0.0,0.0297685,1,,,,3.0,1.0,,,,3.0,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
11409212,home,Vizela,Pedro Ortiz,,,ortiz-pedro,P. Ortiz,M,24,184,91,M,964981,EUR,966643200,M,34,34,True,20.0,19.0,1.0,1.0,11.0,11.0,8.0,9.0,,3.0,,,22.0,22.0,6.5,0.0,0.0,0.00329157,0,,,,2.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
11409212,home,Vizela,Jardel,Jardel,,jardel,Jardel,F,10,184,92,M,867853,EUR,874713600,F,7,7,True,4.0,3.0,1.0,1.0,,,3.0,4.0,1.0,1.0,,,9.0,8.0,6.7,0.0,0.0,0.00509342,0,,,,2.0,2.0,1.0,,1.0,,3.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
11409212,home,Vizela,Francesco Ruberto,,,francesco-ruberto,F. Ruberto,G,12,184,22,M,335305,EUR,732499200,G,1,1,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Rodrigo Escoval,,,rodrigo-escoval,R. Escoval,D,26,188,59,M,825675,EUR,863049600,D,25,25,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Osama Rashid,,,osama-rashid,O. Rashid,M,20,180,711,M,786038,EUR,695260800,M,23,23,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,home,Vizela,Dylan Saint-Louis,,,dylan-saint-louis,D. Saint-Louis,F,,184,100,M,788833,EUR,798854400,F,14,14,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409212,away,FC Arouca,Ignacio de Arruabarrena,,,ignacio-de-arruabarrena,I. d. Arruabarrena,G,12,186,301,M,789933,EUR,853372800,G,12,12,False,29.0,14.0,20.0,6.0,10.0,15.0,4.0,14.0,1.0,19.0,1.0,,90.0,45.0,7.3,0.0,0.0,0.00124221,0,0.00030000000000019,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,5.0,1.0,1.0,,
11409212,away,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,56.0,43.0,8.0,2.0,26.0,33.0,17.0,23.0,3.0,,,,90.0,68.0,6.7,0.0,0.0,0.00911949,0,,,,1.0,3.0,,,,1.0,13.0,,,1.0,,3.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
11409212,away,FC Arouca,Nino Galović,,,nino-galovic,N. Galović,D,,184,65,M,161431,EUR,710380800,D,44,44,False,33.0,28.0,4.0,1.0,25.0,26.0,3.0,7.0,1.0,2.0,,,90.0,43.0,6.6,0.0,0.0,0.00161328,0,,,,2.0,7.0,,,1.0,1.0,6.0,,1.0,3.0,,,3.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,
11409212,away,FC Arouca,Matías Rocha,,,matias-rocha,M. Rocha,D,4,183,65,M,1083250,EUR,982022400,D,13,13,False,6.0,5.0,,,5.0,6.0,,,1.0,,,,8.0,8.0,3.0,0.0,0.0,7.637e-05,0,,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
11409212,away,FC Arouca,Weverson,,,weverson,Weverson,D,36,185,168,M,905452,EUR,962755200,D,26,26,False,16.0,10.0,4.0,1.0,6.0,8.0,4.0,11.0,1.0,3.0,,,58.0,26.0,6.5,0.0,0.0,0.00128014,0,,3.0,,,3.0,,,1.0,,10.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,
11409212,away,FC Arouca,Jason,,,jason,Jason,M,23,179,253,M,330677,EUR,773452800,M,10,10,False,41.0,34.0,2.0,1.0,20.0,22.0,18.0,29.0,,5.0,,,89.0,78.0,6.8,0.0227,0.0,0.186104,1,,10.0,4.0,6.0,7.0,3.0,,3.0,,20.0,2.0,1.0,1.0,,,,3.0,3.0,,2.0,1.0,2.0,,,,,,,,,,,,,,
