match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_keyPass,stat_aerialWon,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,player_firstName,player_lastName,stat_accurateCross,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim,stat_goals
10411445,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,25.0,20.0,10.0,5.0,18.0,20.0,2.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,90.0,40.0,6.7,6.0,0.0,0.0,0.00039619,0,0.4416,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411445,home,Bologna,Lorenzo De Silvestri,lorenzo-de-silvestri,L. De Silvestri,D,29,185,372,M,,14718,EUR,580348800,D,29,29,False,23.0,18.0,1.0,1.0,8.0,9.0,10.0,15.0,3.0,1.0,1.0,1.0,,,1.0,,,57.0,47.0,7.1,9.0,0.0,0.0,0.0185203,0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
10411445,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188,1364,M,,355486,EUR,863568000,D,3,3,False,42.0,35.0,4.0,3.0,21.0,26.0,14.0,16.0,1.0,3.0,,,,,,,,90.0,52.0,7.0,7.0,0.0,0.0,0.00459833,0,,,,,,,2.0,1.0,3.0,,,1.0,,,,,,,,,,,,,,,,
10411445,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185,4571,M,,818481,EUR,898819200,D,26,26,False,39.0,34.0,4.0,2.0,23.0,25.0,11.0,14.0,8.0,5.0,4.0,4.0,,,1.0,,,90.0,53.0,7.3,5.0,0.0613,0.0342,0.00203882,1,,,5.0,,,,3.0,1.0,2.0,1.0,,3.0,3.0,1.0,1.0,,,,,,,,,,,,,
10411445,home,Bologna,Andrea Cambiaso,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,D,50,50,False,38.0,28.0,3.0,1.0,15.0,18.0,15.0,28.0,6.0,8.0,1.0,1.0,,1.0,2.0,,,90.0,68.0,6.6,22.0,0.1237,0.0,0.0799855,1,,8.0,4.0,1.0,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,1.0,1.0,,,,,,,
10411445,home,Bologna,Gary Medel,gary-medel,G. Medel,D,17,171,1848,M,,22975,EUR,554947200,M,17,17,False,49.0,43.0,7.0,4.0,26.0,30.0,17.0,21.0,4.0,6.0,,,,3.0,2.0,,,79.0,62.0,6.8,11.0,0.0,0.0,0.00999544,0,,2.0,1.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,
10411445,home,Bologna,Jerdy Schouten,jerdy-schouten,J. Schouten,M,22,185,1247,M,,844234,EUR,853027200,M,30,30,False,28.0,19.0,1.0,,10.0,11.0,9.0,17.0,4.0,5.0,2.0,2.0,,2.0,,,,79.0,41.0,6.7,12.0,0.0,0.0,0.0141001,0,,,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,
10411445,home,Bologna,Riccardo Orsolini,riccardo-orsolini,R. Orsolini,M,7,183,5740,M,,793645,EUR,854064000,M,7,7,False,32.0,19.0,5.0,4.0,3.0,4.0,16.0,32.0,3.0,4.0,1.0,1.0,,1.0,1.0,,,88.0,59.0,5.8,25.0,0.3335,0.1127,0.0188993,4,,4.0,10.0,3.0,5.0,1.0,2.0,,,2.0,1.0,,,2.0,1.0,,,,1.0,,,1.0,2.0,,,,,
10411445,home,Bologna,Roberto Soriano,roberto-soriano,R. Soriano,M,,182,251,,,80406,EUR,665971200,M,21,21,False,16.0,12.0,2.0,1.0,5.0,6.0,8.0,11.0,7.0,1.0,2.0,2.0,,2.0,4.0,,,57.0,29.0,6.6,9.0,0.0,0.0,0.0435083,0,,1.0,5.0,2.0,1.0,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,True,,,,
10411445,home,Bologna,Musa Barrow,musa-barrow,M. Barrow,F,99,183,3265,M,,916680,EUR,911001600,M,99,99,False,32.0,25.0,5.0,3.0,6.0,8.0,23.0,29.0,3.0,4.0,,,,4.0,2.0,,,90.0,53.0,7.6,15.0,0.1493,0.0753,0.336038,4,,5.0,2.0,,2.0,,,,,,3.0,1.0,,,1.0,,,4.0,1.0,,1.0,,2.0,,2.0,,,
