match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_ownGoals,player_sofascoreId,stat_aerialWon,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_errorLeadToAShot,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_punches
14167878,home,Olympique Lyonnais,Dominik Greif,dominik-greif,D. Greif,G,1,197,925,M,791046,EUR,860284800,G,1,1,False,51.0,45.0,9.0,3.0,0.0,44.0,46.0,1.0,5.0,10.0,1.0,2.0,2.0,1.0,1.0,90.0,59.0,6.0,6.0,0.00029078,0.0362,0,-1.0688,0.03,0.0,-0.15,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Ainsley Maitland-Niles,ainsley-maitland-niles,A. Maitland-Niles,D,98,178,1575,M,352768,EUR,872812800,D,98,98,False,55.0,44.0,9.0,2.0,0.0,32.0,37.0,12.0,18.0,4.0,,,,,,90.0,84.0,6.6,16.0,0.025296,,1,,0.14,0.18,-0.28,,,,1.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,2.0,1.0,1.0,0.0191,-0.14,,,,,,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Clinton Mata,clinton-mata,C. Mata,D,22,180,1320,M,152813,EUR,721094400,D,22,22,False,77.0,67.0,5.0,2.0,0.0,55.0,59.0,12.0,18.0,3.0,,,,,,90.0,86.0,6.0,14.0,0.00322768,,1,,0.02,0.07,-1.0,,,,1.0,1.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,,,0.0365,-0.06,1.0,,,,,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,8301,M,758168,EUR,826243200,D,19,19,False,100.0,90.0,8.0,4.0,0.0,75.0,78.0,15.0,22.0,4.0,,,,,,90.0,115.0,6.9,12.0,0.00401928,,0,,0.11,0.19,-0.02,,,,,3.0,6.0,5.0,1.0,,1.0,,,4.0,,,,1.0,1.0,2.0,,,,niakhate,4.0,3.0,1.0,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Nicolás Tagliafico,nicolas-tagliafico,N. Tagliafico,D,3,172,10932,M,158243,EUR,715219200,D,3,3,False,64.0,58.0,,,0.0,42.0,44.0,16.0,20.0,9.0,,,,,,90.0,85.0,6.5,8.0,0.00862158,,1,,0.03,0.11,-0.23,,,,1.0,5.0,8.0,9.0,1.0,,1.0,1.0,1.0,4.0,,2.0,1.0,,4.0,3.0,0.0253,-0.05,,tagliafico3,2.0,1.0,,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Tanner Tessmann,tanner-tessmann,T. Tessmann,M,6,187,1230,M,1022084,EUR,1001289600,M,6,6,False,48.0,41.0,5.0,4.0,0.0,30.0,31.0,11.0,17.0,2.0,,,,,,89.0,57.0,6.9,7.0,0.0100071,,0,,0.02,0.12,-0.02,,,,,2.0,2.0,4.0,,,1.0,1.0,,,2.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Tyler Morton,tyler-morton,T. Morton,M,23,185,6667,M,979118,EUR,1036022400,M,23,23,False,69.0,59.0,6.0,5.0,0.0,42.0,45.0,17.0,24.0,5.0,,,,,,90.0,85.0,6.7,18.0,0.128302,,0,,0.11,0.22,-0.07,,,,5.0,5.0,7.0,3.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
14167878,home,Olympique Lyonnais,Adam Karabec,adam-karabec,A. Karabec,M,7,186,1393,M,1000175,EUR,1057104000,M,7,7,False,22.0,16.0,3.0,1.0,0.0,11.0,11.0,5.0,11.0,,,,,,,78.0,35.0,6.8,13.0,0.204135,,0,,0.13,0.29,-0.13,,,,6.0,,1.0,4.0,,,1.0,1.0,,,,,,3.0,3.0,1.0,,,,,,,4.0,2.0,1.0,,,,,,,,,
14167878,home,Olympique Lyonnais,Corentin Tolisso,corentin-tolisso,C. Tolisso,M,8,181,3233,M,343067,EUR,775872000,M,8,8,False,54.0,45.0,5.0,4.0,0.0,30.0,33.0,15.0,21.0,6.0,,,,,,90.0,72.0,6.7,15.0,0.141521,,3,,0.2,0.4,-0.13,,,,,3.0,9.0,7.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,0.2471,-0.56,,,4.0,,2.0,,,True,1.0,1.0,1.0,1.0,0.3391,,,
14167878,home,Olympique Lyonnais,Malick Fofana,malick-fofana,M. Fofana,F,11,169,6170,M,1195784,EUR,1112227200,M,11,11,False,19.0,17.0,1.0,,0.0,3.0,4.0,14.0,15.0,3.0,,,,,,90.0,39.0,7.4,10.0,0.27148,,5,,0.17,0.31,-0.09,,Malick Fofana,,5.0,1.0,4.0,2.0,,,1.0,,2.0,,,1.0,1.0,2.0,1.0,2.0,0.7623,0.39,,,,,1.0,,,,,1.0,2.0,1.0,0.9334,1.0,2.0,
