match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_challengeLost,stat_outfielderBlock,stat_totalCross,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,captain,stat_shotOffTarget,stat_goals,stat_accurateCross,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated
10406712,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,27.0,22.0,6.0,1.0,21.0,22.0,1.0,5.0,6.0,2.0,2.0,3.0,90.0,34.0,6.5,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10406712,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12025,M,870360,EUR,833068800,D,23,23,False,86.0,72.0,14.0,9.0,34.0,37.0,38.0,49.0,7.0,,,,90.0,115.0,7.0,19.0,4,,,daniel.chitiva,1.0,3.0,6.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,
10406712,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4440,M,839095,EUR,920937600,D,46,46,False,90.0,83.0,10.0,8.0,55.0,57.0,28.0,33.0,7.0,,,,90.0,99.0,7.2,7.0,0,,,,3.0,2.0,6.0,5.0,,,,,2.0,1.0,3.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,
10406712,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,85.0,79.0,12.0,10.0,53.0,55.0,26.0,30.0,3.0,,,,87.0,97.0,6.9,7.0,0,,,,3.0,1.0,5.0,3.0,,1.0,,,4.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,
10406712,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,772,M,856129,EUR,905126400,D,5,5,False,72.0,66.0,2.0,2.0,32.0,34.0,34.0,40.0,5.0,,,,90.0,97.0,6.7,13.0,0,,,,2.0,,6.0,6.0,3.0,2.0,,,1.0,,3.0,3.0,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,,,,,,,,,
10406712,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,19.0,11.0,1.0,,6.0,7.0,5.0,12.0,2.0,,,,80.0,31.0,6.7,15.0,3,,,,2.0,1.0,6.0,2.0,2.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,1.0,3.0,2.0,True,2.0,1.0,,,,,,
10406712,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,37.0,28.0,3.0,,7.0,8.0,21.0,30.0,5.0,,,,90.0,52.0,7.3,10.0,1,,,,1.0,,2.0,8.0,,,,1.0,2.0,2.0,5.0,3.0,3.0,,,1.0,,1.0,,,,,,,,,,,,
10406712,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2698,M,901285,EUR,886291200,M,28,28,False,30.0,22.0,5.0,3.0,8.0,8.0,14.0,23.0,4.0,,,,86.0,44.0,6.5,13.0,2,,,,2.0,1.0,8.0,6.0,2.0,4.0,2.0,,1.0,,1.0,,2.0,2.0,2.0,,,1.0,2.0,,,,,,,,,,,
10406712,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,34,34,False,48.0,38.0,8.0,6.0,10.0,11.0,28.0,37.0,5.0,,,,74.0,61.0,7.1,14.0,1,Bilal,El Khannouss,bilalekns_34,1.0,1.0,3.0,6.0,1.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,3.0,2.0,1.0,,,,,,,,,
10406712,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1089,M,826183,EUR,927849600,M,11,11,False,35.0,28.0,2.0,1.0,5.0,8.0,28.0,43.0,4.0,,,,90.0,72.0,6.8,30.0,0,,,,,,7.0,3.0,1.0,4.0,,,,,3.0,2.0,,2.0,,,,16.0,,6.0,4.0,,,,5.0,,,,,
