match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_accurateCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot
11396301,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,35.0,22.0,22.0,9.0,14.0,16.0,8.0,19.0,7.0,2.0,5.0,90.0,41.0,7.8,13.0,0.00196751,0,0.2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396301,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,22.0,17.0,2.0,,10.0,11.0,7.0,14.0,8.0,,,61.0,36.0,6.9,9.0,0.00410883,0,,,,3.0,3.0,4.0,1.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11396301,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,33.0,26.0,6.0,2.0,19.0,22.0,7.0,11.0,11.0,,,90.0,55.0,7.9,8.0,0.00225502,1,,,,,3.0,12.0,1.0,6.0,4.0,,True,2.0,5.0,1.0,1.0,1.0,10.0,1.0,1.0,0.0497,,,,,,,,,,,,,
11396301,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,15.0,10.0,6.0,3.0,9.0,11.0,1.0,4.0,3.0,,,90.0,25.0,7.2,5.0,0.00054073,1,,,,,2.0,6.0,,2.0,2.0,1.0,,1.0,4.0,,,1.0,5.0,,,0.0142,,,,,,,,,,,,,
11396301,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,23.0,16.0,6.0,1.0,9.0,11.0,8.0,14.0,8.0,,,90.0,46.0,7.6,13.0,0.063767,2,,,,2.0,1.0,4.0,1.0,3.0,3.0,,,,,1.0,1.0,1.0,2.0,2.0,2.0,0.0677,1.0,1.0,2.0,1.0,,,,,,,,,
11396301,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,28.0,22.0,6.0,3.0,11.0,11.0,11.0,18.0,6.0,,,90.0,44.0,6.9,11.0,0.0193966,0,,,,1.0,5.0,6.0,2.0,4.0,2.0,2.0,,,2.0,,,,4.0,,3.0,,,,,,1.0,,,,,,,,
11396301,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,26.0,17.0,5.0,2.0,8.0,10.0,9.0,16.0,7.0,,,90.0,46.0,7.0,14.0,0.0864627,1,,,,,5.0,8.0,1.0,5.0,3.0,,,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0692,,,,,2.0,1.0,,,,,,,
11396301,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,16.0,8.0,,,5.0,5.0,4.0,12.0,3.0,,,61.0,28.0,6.6,14.0,0.0663754,1,,,,1.0,3.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,2.0,0.1731,1.0,,,1.0,3.0,,,,,,,,
11396301,home,1. FC Heidenheim,Marvin Pieringer,marvin-pieringer,M. Pieringer,F,18,189,327,M,909485,EUR,938995200,M,18,18,False,14.0,11.0,,,6.0,7.0,5.0,7.0,4.0,,,61.0,28.0,6.8,6.0,0.0113085,2,,,,,2.0,4.0,,1.0,,,,,2.0,2.0,,1.0,1.0,2.0,1.0,0.0977,,1.0,,,,1.0,,,,,,,
11396301,home,1. FC Heidenheim,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,37,37,False,17.0,16.0,,,10.0,10.0,7.0,10.0,4.0,,,70.0,41.0,7.4,6.0,0.0260352,0,,,,3.0,3.0,8.0,,6.0,2.0,,,2.0,,1.0,,,1.0,4.0,1.0,,1.0,,1.0,1.0,,2.0,,,,,,,
