match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_dispossessed,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_challengeLost,stat_outfielderBlock,stat_totalOffside,stat_hitWoodwork,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches
11373438,home,Exeter City,Viljami Sinisalo,,,viljami-sinisalo,V. Sinisalo,G,12,190.0,349,M,995654,EUR,1002758400,G,1,1,False,29.0,19.0,18.0,8.0,11.0,11.0,8.0,18.0,1.0,5.0,1.0,90.0,31.0,6.6,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11373438,home,Exeter City,Will Aimson,,,will-aimson,W. Aimson,D,4,179.0,29,M,247349,EUR,757382400,D,4,4,False,58.0,43.0,8.0,3.0,24.0,31.0,19.0,28.0,8.0,6.0,1.0,90.0,81.0,6.7,17.0,1,True,1.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11373438,home,Exeter City,Cheick Diabate,,,cheick-diabate,C. Diabate,D,3,186.0,17,M,1000595,EUR,1011571200,D,39,39,False,44.0,36.0,8.0,5.0,29.0,31.0,7.0,13.0,8.0,8.0,,90.0,53.0,7.0,8.0,3,,,6.0,2.0,,,,,,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,
11373438,home,Exeter City,Alex Hartridge,,,alex-hartridge,A. Hartridge,D,16,185.0,23,M,884990,EUR,920937600,D,5,5,False,40.0,29.0,10.0,5.0,18.0,21.0,11.0,19.0,5.0,6.0,,63.0,51.0,6.8,15.0,0,,,2.0,2.0,,,,1.0,,,,,,,2.0,3.0,2.0,1.0,,,,,,,,,,,,
11373438,home,Exeter City,Pierce Sweeney,,,pierce-sweeney,P. Sweeney,D,26,183.0,17,M,136382,EUR,779241600,M,26,26,False,5.0,3.0,1.0,,2.0,2.0,1.0,3.0,1.0,,,16.0,7.0,6.5,2.0,0,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,
11373438,home,Exeter City,Ryan Trevitt,Ryan Trevitt,,ryan-trevitt,R. Trevitt,M,14,170.0,115,M,1177007,EUR,1047427200,M,8,8,False,34.0,25.0,5.0,2.0,12.0,14.0,14.0,22.0,5.0,10.0,2.0,87.0,50.0,8.2,14.0,2,,2.0,1.0,2.0,1.0,,2.0,,3.0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
11373438,home,Exeter City,Reece Cole,,,reece-cole,R. Cole,M,12,178.0,28,M,838908,EUR,887673600,M,12,12,False,38.0,29.0,8.0,6.0,14.0,17.0,22.0,40.0,4.0,6.0,1.0,90.0,75.0,8.5,29.0,1,,19.0,,3.0,,2.0,4.0,1.0,7.0,,1.0,,,1.0,,3.0,,,,7.0,2.0,,1.0,1.0,,,,,,
11373438,home,Exeter City,Vincent Harper,,,vincent-harper,V. Harper,D,18,178.0,135,M,1141272,EUR,969580800,M,31,31,False,9.0,7.0,1.0,,2.0,2.0,7.0,11.0,9.0,6.0,3.0,90.0,39.0,7.3,12.0,1,,4.0,1.0,6.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,,,,4.0,2.0,,,2.0,,,2.0,,1.0,,,,,
11373438,home,Exeter City,Dion Rankine,,,dion-rankine,D. Rankine,M,15,165.0,103,M,996920,EUR,1034640000,F,21,21,False,19.0,14.0,1.0,,2.0,2.0,12.0,19.0,8.0,8.0,1.0,90.0,37.0,7.3,10.0,2,,2.0,,5.0,1.0,1.0,2.0,1.0,1.0,,5.0,5.0,1.0,,,2.0,2.0,1.0,,,,1.0,3.0,,,,,,,
11373438,home,Exeter City,Sam Nombe,,,sam-nombe,S. Nombe,F,10,180.0,94,M,864495,EUR,909014400,F,10,10,False,10.0,4.0,,,,1.0,4.0,10.0,3.0,1.0,1.0,64.0,26.0,7.0,11.0,1,,1.0,,4.0,,,3.0,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,
11373438,home,Exeter City,James Scott,,,james-scott,J. Scott,F,44,188.0,42,M,845471,EUR,967593600,F,11,11,False,18.0,17.0,,,5.0,5.0,12.0,13.0,3.0,4.0,2.0,87.0,26.0,7.2,3.0,3,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,3.0,1.0,1.0,,,
11373438,home,Exeter City,Zak Jules,,,zak-jules,Z. Jules,D,3,190.0,13,M,556774,EUR,867801600,D,3,3,True,34.0,27.0,3.0,3.0,12.0,15.0,15.0,19.0,8.0,6.0,,74.0,44.0,7.5,9.0,4,,,6.0,2.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,2.0,,,,,,,,
