match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,player_firstName,player_lastName,stat_challengeLost,stat_interceptionWon,stat_dispossessed,stat_shotOffTarget,stat_errorLeadToAShot,stat_bigChanceCreated,captain,stat_outfielderBlock,stat_lastManTackle,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
14064512,home,Paris FC,Obed Nkambadio,obed-nkambadio,O. Nkambadio,G,16,190,499,M,1015872,EUR,1044576000,G,16,16,False,32.0,23.0,13.0,4.0,0.0,21.0,23.0,2.0,9.0,6.0,1.0,1.0,90.0,37.0,5.9,9.0,0.00120614,0.1363,1.0,0,-0.3992,0.05,0.0,-0.33,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14064512,home,Paris FC,Samir Sophian Chergui,samir-sophian-chergui,S. S. Chergui,D,31,185,5518,M,981168,EUR,918259200,D,31,31,False,33.0,29.0,,,0.0,15.0,16.0,14.0,17.0,4.0,,,90.0,52.0,5.8,8.0,0.0166369,,,1,,-0.16,0.18,-0.55,,2.0,1.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,0.02,0.01,,,,,,,,,,,,,,,,,,,,
14064512,home,Paris FC,Moustapha Mbow,moustapha-mbow,M. Mbow,D,5,187,1699,M,982319,EUR,952473600,D,5,5,False,48.0,45.0,4.0,3.0,0.0,33.0,33.0,12.0,15.0,3.0,,,90.0,58.0,6.6,3.0,0.00339104,,,0,,0.1,0.06,-0.56,,,,2.0,4.0,4.0,10.0,2.0,2.0,,1.0,4.0,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
14064512,home,Paris FC,Otávio,otavio,Otávio,D,6,188,1431,M,1069159,EUR,1019347200,D,6,6,False,69.0,59.0,5.0,3.0,0.0,42.0,46.0,17.0,23.0,5.0,,,90.0,82.0,6.1,13.0,0.00735522,,,2,,0.16,0.14,-0.66,,1.0,,1.0,3.0,5.0,6.0,1.0,1.0,1.0,4.0,,,,2.0,1.0,0.0518,-0.24,,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
14064512,home,Paris FC,Thibault De Smet,thibault-de-smet,T. D. Smet,D,28,182,215,M,844744,EUR,897004800,D,28,28,False,33.0,25.0,4.0,2.0,1.0,7.0,10.0,18.0,23.0,,,,67.0,53.0,6.0,13.0,0.229595,,1.0,0,,0.37,0.04,-0.43,,3.0,1.0,,,4.0,7.0,,,,2.0,4.0,2.0,1.0,3.0,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,
14064512,home,Paris FC,Maxime López,maxime-lopez,M. López,M,21,167,1284,M,352802,EUR,881193600,M,21,21,False,64.0,58.0,4.0,2.0,0.0,24.0,25.0,34.0,39.0,5.0,,,90.0,76.0,6.3,12.0,0.068568,,1.0,0,,0.11,0.13,-0.17,,4.0,1.0,,,2.0,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,True,,,,,,,,,,,
14064512,home,Paris FC,Pierre Lees Melou,pierre-lees-melou,P. L. Melou,M,33,185,589,M,801306,EUR,738288000,M,33,33,False,47.0,42.0,8.0,6.0,0.0,14.0,14.0,28.0,33.0,5.0,,,82.0,59.0,7.3,7.0,0.0514591,,,1,,0.25,0.28,0.53,,1.0,,,,3.0,4.0,1.0,,1.0,,3.0,2.0,,1.0,2.0,0.0473,-0.34,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
14064512,home,Paris FC,Adama Camara,camara-adama,A. Camara,M,17,180,433,M,1507384,EUR,845596800,M,17,17,False,29.0,24.0,4.0,3.0,0.0,12.0,15.0,12.0,14.0,1.0,,,71.0,41.0,7.3,9.0,0.00927258,,,1,,0.01,-0.02,-0.17,,,,2.0,3.0,5.0,5.0,,,,,,,2.0,2.0,1.0,0.2273,0.51,Adama Camara,,,1.0,2.0,,,,,,,1.0,1.0,0.8534,,,,,,
14064512,home,Paris FC,Jonathan Ikoné,jonathan-ikone,J. Ikoné,M,93,180,1415,M,802142,EUR,894067200,F,93,93,False,6.0,4.0,,,0.0,2.0,4.0,2.0,2.0,,,,23.0,8.0,6.3,4.0,0.00089926,,,0,,-0.02,-0.1,-0.06,,,,,,3.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
14064512,home,Paris FC,Willem Geubbels,willem-geubbels,W. Geubbels,F,9,185,817,M,877979,EUR,997920000,F,9,9,False,15.0,8.0,,,0.0,6.0,8.0,2.0,7.0,,,,71.0,22.0,6.5,9.0,0.00096995,,,1,,-0.24,-0.06,-0.05,,,,3.0,5.0,5.0,6.0,,,,,1.0,1.0,1.0,,1.0,0.1172,-0.34,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,
