match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_totalContest,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_dispossessed,stat_challengeLost,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_fouls,stat_bigChanceCreated,stat_totalOffside,stat_wonContest,stat_goodHighClaim,stat_goals
12530716,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,289,M,190179,EUR,806803200,G,1,1,False,33.0,28.0,11.0,6.0,0.0,25.0,27.0,3.0,6.0,1.0,1.0,9.0,1.0,1.0,3.0,90.0,42.0,6.8,5.0,0.00126499,0,-1.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530716,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,204,M,140735,EUR,684028800,D,18,18,False,61.0,49.0,9.0,3.0,0.0,16.0,22.0,34.0,47.0,,2.0,3.0,,,,90.0,88.0,6.8,19.0,0.156184,1,,True,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0192,1.0,,,,,,,,,,,,,,,,,
12530716,home,Samsunspor,Yunus Emre Çift,yunus-emre-cift,Y. E. Çift,D,55,185,119,M,1063325,EUR,1062374400,D,55,55,False,59.0,50.0,7.0,5.0,0.0,36.0,40.0,14.0,19.0,3.0,7.0,2.0,1.0,,,90.0,70.0,6.9,10.0,0.0073004,0,,,,,2.0,3.0,,2.0,1.0,3.0,2.0,,,Yunus Cift,,1.0,1.0,,,,,,,,,,,,,
12530716,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,366,M,803023,EUR,914112000,D,4,4,False,71.0,61.0,7.0,3.0,0.0,34.0,35.0,27.0,36.0,3.0,4.0,1.0,,,,90.0,75.0,6.8,11.0,0.0444211,1,,,,,2.0,2.0,,1.0,,1.0,,0.1697,,,,,,1.0,0.7438,,,,,,,,,,,
12530716,home,Samsunspor,Marc Bola,marc-bola,M. Bola,D,16,185,264,M,862083,EUR,881625600,D,16,16,False,66.0,52.0,8.0,2.0,0.0,23.0,28.0,30.0,42.0,1.0,2.0,5.0,1.0,,,83.0,101.0,6.6,22.0,0.180768,2,,,4.0,1.0,1.0,3.0,2.0,,1.0,,,0.0233,1.0,,,1.0,,,,1.0,,,,,,,,,,
12530716,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,633,M,837012,EUR,928281600,M,21,21,False,50.0,46.0,6.0,5.0,0.0,18.0,19.0,28.0,32.0,,1.0,5.0,,,,90.0,61.0,6.6,6.0,0.039609,2,,,1.0,,1.0,6.0,1.0,1.0,2.0,1.0,1.0,0.2436,1.0,,,,,,,,3.0,1.0,1.0,1.0,2.0,,,,,
12530716,home,Samsunspor,Youssef Aït Bennasser,youssef-ait-bennasser,Y. A. Bennasser,M,15,184,425,M,802850,EUR,836697600,M,6,6,False,62.0,55.0,7.0,5.0,0.0,25.0,27.0,31.0,37.0,1.0,2.0,6.0,,,,90.0,74.0,7.2,9.0,0.274014,1,,,2.0,1.0,,3.0,,2.0,1.0,1.0,1.0,0.0434,2.0,,,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,,,,
12530716,home,Samsunspor,Soner Aydoğdu,soner-aydogdu,S. Aydoğdu,M,8,181,117,M,69351,EUR,663033600,M,8,8,False,27.0,19.0,2.0,1.0,0.0,9.0,11.0,10.0,17.0,,2.0,3.0,1.0,,,59.0,32.0,6.8,10.0,0.0313758,0,,,1.0,,2.0,3.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,
12530716,home,Samsunspor,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,F,11,11,False,33.0,27.0,1.0,,0.0,5.0,9.0,23.0,27.0,2.0,4.0,1.0,2.0,,,75.0,49.0,6.7,15.0,0.222676,2,,,3.0,1.0,2.0,7.0,,,,,,0.1295,,,,2.0,,1.0,0.6572,2.0,,,1.0,3.0,1.0,,1.0,,,
12530716,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,801,M,352676,EUR,823824000,F,10,10,False,58.0,50.0,4.0,4.0,0.0,13.0,17.0,37.0,42.0,2.0,3.0,6.0,,,,90.0,72.0,7.3,13.0,0.090665,1,,,1.0,,3.0,5.0,,,,1.0,,0.0638,4.0,,,,,,,2.0,,,1.0,2.0,,,1.0,,,
