match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_interceptionWon,player_firstName,player_lastName,stat_bigChanceMissed,stat_shotOffTarget,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_blockedScoringAttempt,stat_hitWoodwork,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock
11450076,home,Kayserispor,Bilal Bayazit,bilal-bayazit,B. Bayazit,G,25,185,235,M,825850,EUR,923529600,G,25,25,False,35.0,25.0,14.0,7.0,19.0,24.0,6.0,11.0,7.0,90.0,38.0,6.4,10.0,0.00348924,0,-0.7134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Gökhan Sazdağı,gokhan-sazdagi,G. Sazdağı,D,25,179,949,M,595396,EUR,780019200,D,11,11,False,35.0,28.0,7.0,4.0,13.0,16.0,17.0,22.0,4.0,90.0,64.0,7.4,15.0,0.240414,0,,3.0,2.0,2.0,2.0,4.0,11.0,2.0,1.0,1.0,6.0,3.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Dimitris Kolovetsios,dimitris-kolovetsios,D. Kolovetsios,D,,183,103,M,68228,EUR,687571200,D,4,4,False,55.0,46.0,5.0,1.0,34.0,38.0,12.0,17.0,7.0,90.0,65.0,6.8,10.0,0.00677683,0,,,,,2.0,1.0,4.0,1.0,,5.0,,,,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Arif Kocaman,kocaman-arif,A. Kocaman,D,43,184,69,M,1173638,EUR,1063497600,D,54,54,False,49.0,45.0,3.0,3.0,31.0,33.0,14.0,16.0,5.0,76.0,62.0,6.3,4.0,0.00641347,1,,,,6.0,1.0,8.0,3.0,,,2.0,2.0,,,,,,,,5.0,,,1.0,1.0,2.0,0.2398,,,,,,,,,,,,,,
11450076,home,Kayserispor,Lionel Carole,lionel-carole,L. Carole,D,23,180,84,M,122922,EUR,671414400,D,23,23,False,44.0,33.0,4.0,2.0,14.0,18.0,19.0,27.0,2.0,90.0,69.0,7.0,15.0,0.0106456,0,,1.0,,1.0,4.0,1.0,7.0,,,2.0,3.0,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Kartal Kayra Yılmaz,kartal-kayra-yilmaz,K. K. Yılmaz,M,17,177,1057,M,966811,EUR,973296000,M,8,8,False,65.0,55.0,12.0,5.0,27.0,28.0,29.0,38.0,8.0,90.0,77.0,7.3,11.0,0.0985885,2,,1.0,1.0,1.0,1.0,4.0,5.0,,,2.0,4.0,2.0,1.0,,1.0,,,,1.0,,,,1.0,2.0,0.0205,1.0,1.0,1.0,,,,,,,,,,,
11450076,home,Kayserispor,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,403,M,98003,EUR,681523200,M,10,10,False,46.0,34.0,3.0,1.0,15.0,18.0,19.0,30.0,7.0,90.0,65.0,7.4,17.0,0.0333341,5,,2.0,,3.0,,6.0,2.0,1.0,,2.0,,,2.0,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,0.3369,2.0,3.0,,1.0,1.0,0.462,,,,,,,,
11450076,home,Kayserispor,Ramazan Civelek,ramazan-civelek,R. Civelek,M,28,172,61,M,781408,EUR,822268800,M,28,28,False,32.0,30.0,2.0,2.0,9.0,9.0,21.0,28.0,4.0,76.0,45.0,7.1,9.0,0.298646,1,,5.0,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,0.0509,1.0,,,,,,1.0,,,,,,,
11450076,home,Kayserispor,Ali Karimi,ali-karimi,A. Karimi,M,24,186,411,M,803869,EUR,760924800,M,6,6,False,40.0,30.0,5.0,4.0,13.0,15.0,17.0,27.0,,81.0,55.0,7.0,16.0,0.361096,3,,2.0,,2.0,2.0,4.0,3.0,,1.0,1.0,,,2.0,1.0,4.0,,1.0,,,,,1.0,2.0,1.0,0.4792,,1.0,,,,,,,,,,,,
11450076,home,Kayserispor,Miguel Cardoso,miguel-cardoso,M. Cardoso,M,7,176,326,M,344009,EUR,771984000,M,7,7,False,36.0,30.0,2.0,1.0,13.0,16.0,18.0,26.0,8.0,88.0,60.0,7.0,18.0,0.358424,5,,6.0,1.0,2.0,1.0,9.0,5.0,2.0,1.0,,,,2.0,3.0,2.0,,4.0,1.0,,,,1.0,4.0,1.0,0.3146,1.0,,,1.0,,0.3329,1.0,,,,,,,
11450076,home,Kayserispor,Duckens Nazon,duckens-nazon,D. Nazon,F,9,181,19636,M,796023,EUR,765676800,F,9,9,False,19.0,13.0,2.0,1.0,6.0,8.0,7.0,11.0,5.0,88.0,34.0,7.2,11.0,0.0389968,3,,,,3.0,1.0,8.0,7.0,2.0,,,2.0,1.0,3.0,2.0,1.0,,2.0,2.0,,,,,,3.0,0.2623,,2.0,,1.0,,0.084,1.0,nazon,1.0,,,,,
11450076,home,Kayserispor,Otabek Shukurov,otabek-shukurov,O. Shukurov,M,63,182,2967,M,358890,EUR,835401600,M,29,29,True,4.0,3.0,,,1.0,2.0,2.0,3.0,2.0,14.0,7.0,6.8,2.0,0.0003726,0,,1.0,,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Joseph Attamah,joseph-attamah,J. Attamah,D,3,180,183,M,332963,EUR,769564800,D,3,3,True,3.0,2.0,1.0,,2.0,2.0,,1.0,,9.0,6.0,6.6,1.0,1.884e-05,0,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Hasan Ali Kaldırım,hasan-ali-kaldirim,H. A. Kaldırım,D,3,182,94,M,39847,EUR,629164800,D,33,33,True,1.0,,1.0,,,1.0,,,,10.0,3.0,6.5,1.0,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0609,,1.0,,,,,,,,,,,,
11450076,home,Kayserispor,Stéphane Bahoken,stephane-bahoken,S. Bahoken,F,,185,234,M,153220,EUR,707011200,F,13,13,True,,,,,,,,,1.0,10.0,1.0,6.5,,,0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Onurcan Piri,onurcan-piri,O. Piri,G,1,190,61,M,213542,EUR,780710400,G,1,1,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Yaw Ackah,yaw-ackah,Y. Ackah,M,79,169,85,M,984096,EUR,928195200,M,89,89,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450076,home,Kayserispor,Mehmet Eray Özbek,mehmet-eray-ozbek,M. E. Özbek,M,16,178,34,M,1011955,EUR,1042070400,M,16,16,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
