match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelWon,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_clearanceOffLine,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_hitWoodwork,stat_errorLeadToAGoal,stat_punches,stat_errorLeadToAShot,stat_bigChanceMissed
12437045,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,40.0,20.0,24.0,5.0,0.0,19.0,22.0,1.0,18.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,90.0,46.0,6.4,21.0,0.00025762,0,0.1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437045,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,D,27,27,False,34.0,30.0,,,0.0,13.0,13.0,17.0,23.0,3.0,,1.0,6.0,,,,,,78.0,56.0,7.2,8.0,0.033656,4,,2.0,1.0,6.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.2961,1.0,,,,,,,,,,,,,,,,,,,
12437045,home,Chelsea,Wesley Fofana,wesley-fofana,W. Fofana,D,29,186,14604,M,wesley_fofana3,923894,EUR,977011200,D,29,29,False,42.0,38.0,2.0,,0.0,25.0,29.0,13.0,13.0,6.0,,6.0,3.0,,,,,,90.0,65.0,6.8,9.0,0.00648674,0,,,4.0,7.0,1.0,1.0,,,1.0,,,3.0,1.0,,,,,3.0,2.0,3.0,,,,,,,,,,,,,,
12437045,home,Chelsea,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,6,6,False,55.0,48.0,6.0,2.0,0.0,35.0,36.0,13.0,19.0,3.0,,7.0,2.0,,,,,,90.0,70.0,6.8,9.0,0.0102147,0,,,1.0,3.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,
12437045,home,Chelsea,Reece James,reece-james,R. James,D,24,180,49594,M,ReeceJ,885908,EUR,944611200,D,24,24,False,63.0,54.0,8.0,4.0,0.0,26.0,29.0,29.0,39.0,1.0,1.0,2.0,5.0,,,,,,90.0,81.0,7.8,14.0,0.0355643,0,,5.0,3.0,5.0,,,,,2.0,,,2.0,,,,,,,2.0,,True,1.0,1.0,,,,,,,,,,,
12437045,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,52.0,49.0,4.0,3.0,0.0,15.0,17.0,34.0,36.0,3.0,,1.0,4.0,,,,,,90.0,71.0,7.7,6.0,0.0361089,1,,1.0,1.0,5.0,,1.0,1.0,,6.0,4.0,3.0,,2.0,0.0787,2.0,,,,,1.0,,,,,,,,,,,,,,
12437045,home,Chelsea,Roméo Lavia,romeo-lavia,R. Lavia,M,45,181,16643,M,romeolavia,1069488,EUR,1073347200,M,45,45,False,43.0,41.0,4.0,4.0,1.0,18.0,19.0,23.0,24.0,1.0,1.0,2.0,4.0,,,,,,72.0,51.0,7.3,2.0,0.0176972,0,,,,2.0,,,,,2.0,1.0,1.0,1.0,,,1.0,Romeo Lavia,,,,,,,,,,,,,,,,,,
12437045,home,Chelsea,Noni Madueke,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,M,11,11,False,23.0,20.0,1.0,1.0,0.0,3.0,3.0,18.0,23.0,6.0,1.0,,5.0,,,,,,67.0,41.0,7.2,10.0,0.183217,2,,3.0,,2.0,,2.0,,,,1.0,,,1.0,0.0792,2.0,,,3.0,,2.0,,1.0,,1.0,2.0,0.3928,,,,,,,,
12437045,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,41.0,31.0,9.0,5.0,0.0,8.0,9.0,24.0,37.0,4.0,,,7.0,,,,,,90.0,58.0,7.8,17.0,0.25804,1,,5.0,,4.0,1.0,2.0,,,1.0,,,3.0,1.0,0.0492,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,0.0683,1.0,1.0,,,,,,
12437045,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,30.0,28.0,2.0,1.0,1.0,6.0,6.0,24.0,28.0,9.0,1.0,,2.0,,,,,,90.0,53.0,7.9,9.0,0.273615,5,,4.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,,,,2.0,0.1819,3.0,,,3.0,,,,2.0,,3.0,2.0,0.3728,,,1.0,1.0,,,,
12437045,home,Chelsea,Nicolas Jackson,nicolas-jackson,N. Jackson,F,11,186,89434,M,NJackson11,1085381,EUR,992995200,F,15,15,False,16.0,12.0,,,0.0,4.0,6.0,8.0,10.0,3.0,,,3.0,,,,,,78.0,21.0,7.6,5.0,0.0417351,1,,,,2.0,,1.0,,,,,,1.0,2.0,0.5572,3.0,Nicolas Jackson,,1.0,,,,,,1.0,1.0,0.7441,1.0,1.0,,,,,,
12437045,home,Chelsea,Mykhaylo Mudryk,mykhaylo-mudryk,M. Mudryk,M,10,175,54452,M,MMudryk10,958966,EUR,978652800,M,10,10,True,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,1.0,,1.0,2.0,,,,,,23.0,12.0,6.8,2.0,0.00458603,1,,,,1.0,,1.0,,,,1.0,1.0,,,0.2504,,,,,,1.0,,,,,1.0,0.3696,,,,,,,,
12437045,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,True,10.0,8.0,1.0,1.0,0.0,3.0,4.0,5.0,6.0,3.0,1.0,1.0,,,,,,,18.0,15.0,6.7,3.0,0.00334048,0,,,,2.0,,,,,,2.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
12437045,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,True,3.0,2.0,1.0,,0.0,,1.0,2.0,2.0,,,,,,,,,,12.0,3.0,6.5,1.0,0.00058551,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437045,home,Chelsea,Christopher Nkunku,christopher-nkunku,C. Nkunku,F,18,175,49218,M,Nkunku,769333,EUR,879465600,F,18,18,True,2.0,2.0,,,0.0,,,2.0,2.0,2.0,,1.0,1.0,,,,,,12.0,8.0,7.0,1.0,0.0153928,2,,,2.0,4.0,,1.0,1.0,1.0,,,,1.0,2.0,0.1141,,,,,,1.0,,,,1.0,,,,,,,,,,
