match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_blockedScoringAttempt,stat_totalClearance,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,captain,stat_bigChanceMissed,stat_goals,stat_lastManTackle,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12189901,home,Spokane Velocity FC,Peter Swinkels,,,peter-swinkels,P. Swinkels,G,13,185.0,1,M,1478381,EUR,860284800.0,G,13,13,False,20.0,16.0,4.0,16.0,17.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,25.0,7.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189901,home,Spokane Velocity FC,Romain Métanire,,,romain-metanire,R. Métanire,D,,178.0,67,,138005,EUR,638582400.0,D,22,22,False,68.0,54.0,13.0,25.0,26.0,44.0,,5.0,9.0,1.0,1.0,,,,90.0,94.0,7.3,20.0,0,6.0,30.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,
12189901,home,Spokane Velocity FC,Camron Miller,Camron Miller,,camron-miller,C. Miller,D,12,193.0,1,,1809537,EUR,930873600.0,D,12,12,False,104.0,92.0,9.0,60.0,63.0,42.0,8.0,11.0,5.0,3.0,3.0,,,,90.0,119.0,7.9,12.0,1,3.0,33.0,1.0,1.0,3.0,,,,,,,,,1.0,,1.0,2.0,1.0,8.0,,,,,,,,,
12189901,home,Spokane Velocity FC,Marcelo Lage,Marcelo Lage,,marcelo-lage,M. Lage,D,5,196.0,1,M,1191301,EUR,951955200.0,D,5,5,False,117.0,105.0,17.0,69.0,71.0,46.0,4.0,5.0,4.0,,,,,,90.0,122.0,7.5,12.0,1,9.0,36.0,,,1.0,,,,,,,,1.0,1.0,,,,,3.0,1.0,,,,,,,,
12189901,home,Spokane Velocity FC,Elijah Amadin,,,elijah-amadin,E. Amadin,M,3,,0,,935738,EUR,929491200.0,D,3,3,False,33.0,22.0,4.0,8.0,10.0,24.0,2.0,4.0,2.0,2.0,2.0,,,,60.0,46.0,7.1,13.0,1,3.0,14.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,
12189901,home,Spokane Velocity FC,Pierre Reedy,,,pierre-reedy,P. Reedy,M,11,183.0,6,M,884467,EUR,884476800.0,M,11,11,False,38.0,24.0,2.0,11.0,14.0,26.0,,6.0,4.0,2.0,2.0,,,,90.0,57.0,6.9,22.0,1,2.0,13.0,2.0,,7.0,1.0,2.0,5.0,3.0,,1.0,,1.0,3.0,,1.0,,,,1.0,,,,,,,,
12189901,home,Spokane Velocity FC,Morgan Hackworth,,,morgan-hackworth,M. Hackworth,M,,180.0,3,M,983946,EUR,852163200.0,M,8,8,False,41.0,32.0,2.0,13.0,16.0,25.0,2.0,3.0,5.0,1.0,1.0,,,,72.0,51.0,6.7,11.0,0,1.0,19.0,,,4.0,,1.0,,,,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,
12189901,home,Spokane Velocity FC,Jack Denton,Jack Denton,,jack-denton,J. Denton,M,19,178.0,6,,1809538,EUR,908236800.0,M,19,19,False,76.0,72.0,8.0,35.0,37.0,40.0,1.0,5.0,10.0,3.0,3.0,,,,90.0,87.0,7.4,6.0,0,7.0,37.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
12189901,home,Spokane Velocity FC,Michael Rojas,Michael Rojas,,michael-rojas,M. Rojas,M,,172.0,0,,1809539,EUR,937353600.0,M,7,7,False,15.0,8.0,1.0,2.0,3.0,15.0,,5.0,2.0,,,,,,72.0,29.0,6.6,14.0,1,,6.0,3.0,,4.0,,2.0,1.0,1.0,,,2.0,4.0,2.0,,,,1.0,,,,,,,,,,
12189901,home,Spokane Velocity FC,Kimarni Smith,Kimarni Smith,,kimarni-smith,K. Smith,F,,185.0,5,M,1107901,EUR,889833600.0,F,17,17,False,23.0,19.0,,5.0,5.0,18.0,1.0,5.0,2.0,2.0,2.0,,,,90.0,43.0,7.0,14.0,2,,14.0,,,12.0,,1.0,4.0,1.0,,,5.0,1.0,1.0,,1.0,7.0,,,1.0,1.0,1.0,,,,,,
