match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,player_firstName,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_lastManTackle,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,player_sofascoreId,stat_dispossessed,stat_totalContest,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,captain,player_lastName,stat_errorLeadToAGoal,stat_goodHighClaim,stat_bigChanceCreated
13472902,home,Atlético Mineiro,Everson,everson,Everson,G,22,193,2202,M,870748,EUR,648604800,G,22,22,False,22.0,18.0,5.0,1.0,0.0,18.0,19.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,90.0,26.0,6.3,4.0,0.00013098,42.797428849403,6.0,21.917184650579,0.0,0,-0.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472902,home,Atlético Mineiro,Natanael,natanael,Natanael,D,2,172,1029,M,1046805,EUR,1010188800,D,2,2,False,25.0,21.0,1.0,,0.0,3.0,3.0,22.0,2.0,5.0,,,,,,,,68.0,39.0,7.0,5.0,0.0211161,52.090432845877,9.0,-3.5371577976322,0.0,2,,18.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0581,,,,,,,,,,,,,,,,,,,,,,,
13472902,home,Atlético Mineiro,Iván Román,ivan-roman,I. Román,D,3,183,2607,M,1464929,EUR,1152662400,D,23,23,False,50.0,47.0,2.0,1.0,0.0,28.0,28.0,22.0,2.0,7.0,2.0,,,,,,,83.0,64.0,6.9,4.0,0.0130555,116.67503747836,20.0,36.701128535499,1.0,0,,19.0,,,4.0,,,2.0,1.0,4.0,2.0,,Iván Román,1.0,1.0,1.0,2.0,1.0,1.0,21.827012030215,24.874296452362,,,,,,,,,,,,,,
13472902,home,Atlético Mineiro,Junior Alonso,junior-alonso,J. Alonso,D,6,185,1792,M,333275,EUR,729216000,D,6,6,False,68.0,59.0,5.0,4.0,0.0,29.0,32.0,36.0,3.0,5.0,5.0,4.0,,,,,,90.0,79.0,6.5,10.0,0.0301268,352.89816315798,42.0,178.88921195432,1.0,1,,30.0,1.0,,4.0,1.0,,1.0,,1.0,2.0,0.0267,,2.0,1.0,,1.0,,,14.234749226584,15.020542233888,,,,,,,,,,,,,,
13472902,home,Atlético Mineiro,Guilherme Arana,guilherme-arana,G. Arana,D,13,176,4933,M,1127439,EUR,860976000,D,13,13,False,61.0,57.0,1.0,,0.0,19.0,21.0,40.0,,2.0,3.0,5.0,,,,,,90.0,84.0,6.5,12.0,0.0666427,284.7835480744,33.0,126.48805336098,3.0,0,,38.0,3.0,,9.0,,,2.0,1.0,,2.0,,,2.0,1.0,,2.0,,1.0,23.910105012664,76.310808338378,guiarana,2.0,2.0,2.0,,,,,,,,,,
13472902,home,Atlético Mineiro,Alan Franco,alan-franco,A. Franco,M,21,174,3281,M,822729,EUR,903657600,M,21,21,False,55.0,51.0,2.0,1.0,0.0,13.0,13.0,42.0,,1.0,1.0,4.0,,,,,,90.0,59.0,6.8,5.0,0.0532333,186.84678385411,26.0,62.045106519922,0.0,0,,38.0,,,3.0,,,1.0,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
13472902,home,Atlético Mineiro,Alexsander,alexsander,Alexsander,M,5,178,1981,M,1185617,EUR,1065571200,M,5,5,False,44.0,38.0,3.0,2.0,0.0,8.0,9.0,35.0,,6.0,,7.0,,,,,,83.0,66.0,6.8,14.0,0.0401056,208.13042406768,30.0,45.96814198189,0.0,1,,30.0,1.0,,9.0,1.0,,4.0,3.0,1.0,3.0,0.0382,Alexsander,1.0,1.0,,2.0,,2.0,,,,2.0,3.0,,1.0,,,,,,,,,
13472902,home,Atlético Mineiro,Gustavo Scarpa,gustavo-scarpa,G. Scarpa,M,10,177,5525,M,559036,EUR,757728000,M,10,10,False,56.0,49.0,6.0,4.0,0.0,7.0,9.0,47.0,,3.0,,5.0,,,,,,90.0,73.0,7.8,16.0,0.0858937,326.81798604577,42.0,123.23901219692,4.0,3,,42.0,4.0,,3.0,,,,,1.0,1.0,0.0526,,,,,,,3.0,20.097888719778,72.134124644104,gustavoscarpa10,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.4003,,,,,
13472902,home,Atlético Mineiro,Reinier,reinier,Reinier,F,19,185,23795,M,978562,EUR,1011398400,M,18,18,False,30.0,24.0,2.0,1.0,0.0,4.0,4.0,26.0,,1.0,,1.0,,,,,,60.0,36.0,6.5,9.0,0.027159,96.593468388572,18.0,18.370966152906,1.0,0,,20.0,,,2.0,,,1.0,1.0,,2.0,,,,,,,,2.0,8.3240035365925,8.4104087891136,reinier.jesus,1.0,,,,,,,,,,,,
13472902,home,Atlético Mineiro,Tomás Cuello,tomas-cuello,T. Cuello,M,28,176,1951,M,871273,EUR,952214400,M,28,28,False,32.0,24.0,2.0,1.0,0.0,4.0,5.0,27.0,,8.0,,7.0,,,,,,76.0,56.0,6.4,18.0,0.194108,261.51755926795,22.0,156.69947338098,8.0,2,,20.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0389,,,,,,,3.0,31.512497263222,160.84022689058,,2.0,4.0,,3.0,,,,,,,,,
