match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,captain,stat_accurateCross,stat_blockedScoringAttempt,stat_bigChanceCreated,player_sofascoreId,stat_goodHighClaim,stat_lastManTackle,stat_errorLeadToAShot
12528087,home,Trabzonspor,Muhammet Taha Tepe,,,muhammet-taha-tepe,M. T. Tepe,G,54,184.0,104,M,910094,EUR,978307200,G,54,54,False,11.0,11.0,3.0,3.0,0.0,10.0,10.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,17.0,6.5,0.000162,0,-0.7413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528087,home,Trabzonspor,Pedro Malheiro,,,pedro-malheiro,P. Malheiro,D,79,179.0,416,M,1131249,EUR,980035200,D,79,79,False,61.0,55.0,1.0,1.0,0.0,18.0,19.0,37.0,44.0,3.0,,,,,90.0,90.0,8.8,0.0600913,2,,2.0,1.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,0.3067,1.29,1.0,,,,,,,,,,,,
12528087,home,Trabzonspor,Salih Malkoçoğlu,Salih Malkoçoglu,,salih-malkocoglu,S. Malkoçoğlu,D,74,190.0,275,M,1499364,EUR,1109116800,D,74,74,False,56.0,51.0,3.0,1.0,0.0,32.0,33.0,19.0,23.0,,,,,,90.0,68.0,6.8,0.00416257,2,,,2.0,2.0,3.0,,,,,,,6.0,,,,,1.0,,5.0,0.4032,,,2.0,1.0,2.0,1.0,,,,,,,,
12528087,home,Trabzonspor,Okay Yokuşlu,,,okay-yokuslu,O. Yokuşlu,M,5,190.0,809,M,97967,EUR,763171200,D,35,35,False,73.0,69.0,3.0,1.0,0.0,52.0,54.0,17.0,19.0,1.0,,,,,90.0,82.0,6.5,0.00336631,0,,,,3.0,6.0,1.0,,,,,,2.0,1.0,,,,4.0,2.0,4.0,,,,3.0,,,,,,,,,,,
12528087,home,Trabzonspor,Mustafa Eskihellaç,,,mustafa-eskihellac,M. Eskihellaç,D,19,175.0,571,M,899069,EUR,862790400,D,19,19,False,73.0,68.0,3.0,2.0,0.0,36.0,37.0,32.0,37.0,8.0,,,,,90.0,91.0,6.7,0.0709724,1,,1.0,,4.0,4.0,,,2.0,,,,,,1.0,1.0,1.0,2.0,2.0,9.0,0.0262,,,1.0,,1.0,,,,,,,,,
12528087,home,Trabzonspor,Edin Višća,,,edin-visca,E. Višća,M,7,172.0,1000,M,109779,EUR,635212800,M,7,7,False,47.0,35.0,5.0,5.0,0.0,12.0,15.0,26.0,40.0,5.0,,,,,90.0,70.0,7.3,0.172407,5,,8.0,,6.0,1.0,,2.0,1.0,,1.0,,,1.0,1.0,,1.0,,3.0,21.0,0.6095,0.3342,3.0,,1.0,3.0,,True,3.0,1.0,,,,,
12528087,home,Trabzonspor,Tim Jabol-Folcarelli,Tim Jabol-Folcarelli,,tim-jabol-folcarelli,T. Jabol-Folcarelli,M,26,187.0,314,M,1106446,EUR,944438400,M,26,26,False,56.0,53.0,3.0,3.0,0.0,14.0,15.0,39.0,42.0,7.0,,,,,90.0,73.0,7.0,0.430366,1,,1.0,1.0,8.0,4.0,,4.0,4.0,3.0,,,1.0,2.0,1.0,,2.0,,2.0,11.0,0.1372,,3.0,,,1.0,,,,,,,,,
12528087,home,Trabzonspor,Batista Mendy,,,batista-mendy,B. Mendy,M,19,191.0,1292,M,859021,EUR,947635200,M,6,6,False,52.0,49.0,4.0,2.0,0.0,20.0,21.0,29.0,33.0,2.0,,,,,75.0,64.0,7.1,0.0555373,3,,2.0,,2.0,4.0,,2.0,,,1.0,,,,,,,3.0,,7.0,0.1576,0.2038,,1.0,,1.0,1.0,,,1.0,,,,,
12528087,home,Trabzonspor,Oleksandr Zubkov,,,oleksandr-zubkov,O. Zubkov,M,22,182.0,1318,M,353282,EUR,839030400,M,22,22,False,44.0,36.0,3.0,2.0,0.0,9.0,10.0,28.0,38.0,1.0,,,,,81.0,58.0,7.0,0.258039,1,,4.0,,4.0,2.0,1.0,,4.0,1.0,,,1.0,,,,1.0,1.0,1.0,15.0,0.0546,,4.0,,,,,,1.0,1.0,,,,,
12528087,home,Trabzonspor,Danylo Sikan,,,sikan-danylo,D. Sikan,F,14,185.0,1357,M,945479,EUR,987379200,F,14,14,False,8.0,7.0,,,0.0,1.0,1.0,6.0,7.0,1.0,,,,,45.0,18.0,7.3,0.220808,1,,,1.0,2.0,5.0,,,2.0,2.0,,,,1.0,,,3.0,,1.0,4.0,0.0284,,2.0,3.0,,1.0,,,,,,,,,
