match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalOffside,stat_wonTackle,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_keyPass,stat_bigChanceCreated,stat_penaltyConceded,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_penaltyWon,stat_penaltyMiss,stat_clearanceOffLine
15216704,home,CD Nacional,Kaique,Kaique,,kaique,Kaique,G,1,190,577,M,1167067,EUR,1050451200,G,1,1,False,36.0,21.0,23.0,8.0,0.0,15.0,17.0,6.0,19.0,1.0,1.0,10.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,90.0,45.0,7.7,15.0,0.00790319,54.520457968398,6.0,31.92,10.815,1.2945,0,1.0761,0.04,0.02,0.24,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15216704,home,CD Nacional,Deivison Souza Brito,,,deivison-souza-brito,D. S. Brito,M,88,185,29,M,1806732,EUR,1146700800,D,88,88,False,7.0,5.0,1.0,,0.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,22.0,13.0,3.8,3.0,0.00092119,17.03580814784,3.0,8.715,3.045,,0,,0.0,0.03,0.14,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15216704,home,CD Nacional,Léo Santos,,,leo-santos,L. Santos,D,34,186,158,M,822509,EUR,913161600,D,34,34,False,46.0,40.0,5.0,3.0,0.0,28.0,29.0,12.0,17.0,4.0,8.0,1.0,2.0,,,,,,,,90.0,62.0,7.0,8.0,0.0569322,181.99654506194,18.0,94.815,23.1,,0,,0.24,0.11,0.26,,1.0,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
15216704,home,CD Nacional,Ze Vitor,,,ze-vitor,Zé Vitor,D,38,189,125,M,1112474,EUR,981676800,D,38,38,False,42.0,29.0,13.0,5.0,0.0,15.0,18.0,14.0,24.0,4.0,10.0,2.0,1.0,,,,,,,,90.0,58.0,8.0,13.0,0.00576567,212.52134636809,21.0,144.27,22.365,,1,,0.12,0.11,0.0,,,1.0,,,1.0,,,3.0,,,2.0,1.0,1.0,0.6167,0.979,0.56,,,,,,,,,,,,,,,,
15216704,home,CD Nacional,Lenny Vallier,,,lenny-vallier,L. Vallier,D,24,178,31,M,878283,EUR,924912000,D,24,24,False,18.0,16.0,2.0,,0.0,10.0,11.0,6.0,7.0,3.0,6.0,3.0,1.0,,,,,,,,90.0,38.0,6.6,6.0,0.013263,90.936567903288,11.0,44.31,18.27,,0,,0.01,0.05,-0.14,,,,,1.0,,3.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
15216704,home,CD Nacional,Miguel Baeza,,,miguel-baeza,M. Baeza,M,8,177,123,M,902051,EUR,954115200,M,8,8,False,3.0,2.0,,,0.0,,,2.0,3.0,,,,,,,,,,,,24.0,3.0,6.6,1.0,0.036817,5.2307897109328,1.0,4.725,4.725,,0,,0.09,0.05,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15216704,home,CD Nacional,Matheus Dias,,,dias-matheus,Matheus Dias,M,6,187,228,M,1020610,EUR,1020902400,M,6,6,False,27.0,22.0,2.0,,0.0,14.0,17.0,8.0,10.0,3.0,5.0,4.0,,,,,,,,,61.0,39.0,6.8,7.0,0.0201241,78.101760521065,7.0,5.985,15.12,,0,,0.22,0.04,0.17,,1.0,2.0,1.0,2.0,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
15216704,home,CD Nacional,Liziero,,,liziero,Liziero,M,28,175,757,M,822510,EUR,886809600,M,28,28,False,33.0,24.0,1.0,,0.0,13.0,14.0,11.0,19.0,6.0,2.0,3.0,3.0,,,,,,,,89.0,56.0,6.7,18.0,0.0837842,72.775247728499,9.0,28.035,10.29,,1,,0.25,0.02,-0.11,,3.0,5.0,3.0,4.0,1.0,7.0,2.0,,1.0,,1.0,,,0.0358,,-0.1,,,1.0,,2.0,1.0,1.0,1.0,,,,,,,,
15216704,home,CD Nacional,Witi,,,witi,Witi,M,7,178,442,M,786269,EUR,841017600,F,7,7,False,11.0,6.0,,,0.0,2.0,2.0,4.0,9.0,3.0,1.0,2.0,2.0,,,,,,,,61.0,17.0,6.8,7.0,0.596102,156.55902950193,12.0,56.07,22.575,,0,,0.49,0.33,-0.35,,,2.0,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,
15216704,home,CD Nacional,Jesús Ramírez,,,jesus-ramirez,J. Ramírez,F,9,187,1078,M,987597,EUR,894240000,F,9,9,False,13.0,10.0,,,0.0,3.0,5.0,7.0,8.0,4.0,,2.0,2.0,,,,,,,,90.0,31.0,7.5,7.0,0.0723422,119.8374449337,7.0,-62.265,9.765,,4,,-0.62,0.81,-0.03,,,3.0,,2.0,2.0,,,2.0,,1.0,,2.0,1.0,1.4152,0.802,0.15,1.0,1.0,,,,,,2.0,,,True,1.0,2.0,1.0,,
