match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_accurateCross,stat_blockedScoringAttempt,stat_expectedGoals,stat_penaltyWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceCreated,stat_bigChanceMissed
12513736,home,AVS - Futebol SAD,Guillermo Ochoa,,,guillermo-ochoa,G. Ochoa,G,13,185,4425,M,GuiOchoa,15497,EUR,490060800,G,13,13,False,True,11.0,9.0,4.0,2.0,0.0,7.0,7.0,2.0,4.0,1.0,1.0,1.0,90.0,15.0,6.5,3.0,0.00013408,0,-1.2596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Tomás Tavares,,,tomas-tavares,T. Tavares,D,84,187,449,M,,949830,EUR,983923200,D,25,25,False,,48.0,43.0,2.0,,0.0,23.0,26.0,20.0,23.0,5.0,,,90.0,70.0,6.7,9.0,0.0169239,0,,1.0,1.0,4.0,8.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Cristian Castro,Cristian Castro,,cristian-castro,C. Castro,D,42,192,155,M,,1067320,EUR,980380800,D,42,42,False,,38.0,32.0,6.0,2.0,0.0,24.0,25.0,8.0,13.0,3.0,,,90.0,51.0,6.7,9.0,0.00863816,0,,,1.0,3.0,5.0,,,,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Aderllan Santos,,,aderllan-santos,A. Santos,D,33,193,103,M,,129617,EUR,608083200,D,33,33,False,,16.0,13.0,3.0,1.0,0.0,13.0,15.0,,1.0,2.0,,,64.0,29.0,6.5,4.0,0.00013669,0,,,,4.0,2.0,,,,7.0,2.0,1.0,1.0,,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Rafael Rodrigues,,,rodrigues-rafael,R. Rodrigues,D,2,183,215,M,,1091960,EUR,1012089600,D,3,3,False,,25.0,20.0,,,0.0,12.0,16.0,9.0,11.0,6.0,,,80.0,55.0,6.7,12.0,0.0393116,1,,2.0,,4.0,5.0,,3.0,1.0,2.0,4.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,0.018,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Vasco Lopes,,,vasco-lopes,V. Lopes,F,7,185,105,M,,1111214,EUR,936230400,M,10,10,False,,20.0,18.0,1.0,1.0,0.0,6.0,6.0,12.0,17.0,1.0,,,64.0,34.0,6.6,10.0,0.0231195,0,,3.0,,5.0,4.0,3.0,2.0,2.0,,,,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Lucas Piazón,,,lucas-piazon,L. Piazón,M,12,182,408,M,,156025,EUR,759024000,M,14,14,False,,43.0,40.0,1.0,1.0,0.0,24.0,25.0,17.0,24.0,5.0,,,90.0,57.0,7.2,9.0,0.0620375,0,,6.0,,3.0,3.0,,,,,2.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Jaume Grau,,,jaume-grau,J. G. Ciscar,M,15,183,72,M,,838633,EUR,862790400,M,15,15,False,,53.0,43.0,5.0,2.0,0.0,24.0,27.0,19.0,27.0,6.0,,,90.0,69.0,6.9,12.0,0.0148244,1,,1.0,,5.0,8.0,,,,1.0,7.0,5.0,1.0,3.0,,1.0,,1.0,1.0,,,1.0,0.0151,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,John Mercado,,,john-mercado,John Mercado,F,7,184,889,M,,1002514,EUR,1023062400,M,17,17,False,,23.0,20.0,3.0,3.0,0.0,7.0,7.0,13.0,22.0,5.0,,,90.0,47.0,6.7,16.0,0.0127385,0,,6.0,1.0,6.0,8.0,,6.0,3.0,,2.0,1.0,4.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,
12513736,home,AVS - Futebol SAD,Zé Luís,,,ze-luis,Z. Luís,F,,185,236,M,,101973,EUR,664675200,F,29,29,False,,12.0,11.0,,,0.0,8.0,8.0,3.0,4.0,2.0,,,85.0,20.0,7.2,2.0,0.00392864,4,,,1.0,3.0,2.0,,,,1.0,,,,2.0,,1.0,,,1.0,,,,0.8859,,1.0,3.0,1.0,1.0,0.9112,,,,,
