match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_totalTackle,stat_wonTackle,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_wasFouled,stat_accurateCross,stat_totalOffside,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_blockedScoringAttempt,stat_penaltyConceded
14109603,home,Samsunspor,Okan Kocuk,okan-kocuk,O. Koçuk,G,1,187,288,M,190179,EUR,806803200,G,1,1,False,21.0,19.0,4.0,2.0,0.0,17.0,18.0,2.0,3.0,5.0,1.0,90.0,26.0,6.6,3.0,0.00105763,0,-0.3305,0.03,0.0,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109603,home,Samsunspor,Zeki Yavru,zeki-yavru,Z. Yavru,D,18,178,205,M,140735,EUR,684028800,D,18,18,False,46.0,36.0,5.0,3.0,0.0,14.0,17.0,22.0,29.0,3.0,,73.0,62.0,7.0,15.0,0.0197706,0,,0.02,0.13,0.21,True,2.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109603,home,Samsunspor,Ľubomír Šatka,ubomir-satka,Ľ. Šatka,D,37,185,294,M,187231,EUR,817862400,D,37,37,False,69.0,62.0,3.0,2.0,0.0,44.0,45.0,18.0,24.0,4.0,,90.0,79.0,6.8,7.0,0.00846421,0,,0.21,0.1,-0.03,,,1.0,2.0,2.0,,6.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14109603,home,Samsunspor,Rick Van Drongelen,rick-van-drongelen,R. V. Drongelen,D,4,185,365,M,803023,EUR,914112000,D,4,4,False,83.0,78.0,8.0,5.0,0.0,62.0,64.0,16.0,19.0,2.0,,90.0,94.0,7.2,5.0,0.0156776,0,,0.22,0.16,0.25,,,1.0,1.0,2.0,,6.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14109603,home,Samsunspor,Logi Tomasson,logi-tomasson,L. Tómasson,D,17,182,206,M,858266,EUR,968803200,D,17,17,False,50.0,39.0,6.0,3.0,0.0,22.0,23.0,17.0,27.0,,,90.0,76.0,6.5,18.0,0.0112816,1,,-0.08,0.11,-0.16,,4.0,,,1.0,,3.0,,,,,1.0,1.0,,,,1.0,1.0,0.0063,0.01,,,,,,,,,,,,,,,,,
14109603,home,Samsunspor,Carlo Holse,carlo-holse,C. Holse,M,21,177,634,M,837012,EUR,928281600,M,21,21,False,37.0,32.0,3.0,2.0,0.0,13.0,14.0,19.0,23.0,5.0,,73.0,50.0,8.0,9.0,0.0865154,2,,0.21,0.15,-0.02,,,,6.0,4.0,1.0,,,,1.0,2.0,3.0,2.0,1.0,,,1.0,,0.0739,0.52,1.0,3.0,1.0,1.0,1.0,0.0155,,,,,,,,,,,
14109603,home,Samsunspor,Celil Yüksel,celil-yuksel,C. Yüksel,M,5,165,84,M,806972,EUR,883612800,M,5,5,False,58.0,50.0,3.0,1.0,0.0,31.0,31.0,19.0,27.0,8.0,,90.0,75.0,7.1,11.0,0.0206623,2,,0.09,0.27,0.25,,,,4.0,8.0,1.0,2.0,1.0,,2.0,,2.0,2.0,,,,2.0,1.0,0.0357,-0.15,,3.0,2.0,,,,4.0,,,,,,,,,,
14109603,home,Samsunspor,Olivier Ntcham,olivier-ntcham,O. Ntcham,M,10,180,800,M,352676,EUR,823824000,M,10,10,False,56.0,54.0,5.0,5.0,0.0,24.0,25.0,30.0,31.0,6.0,,82.0,65.0,7.4,6.0,0.157483,0,,0.34,0.25,0.2,,1.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,,,2.0,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,
14109603,home,Samsunspor,Landry Dimata,landry-dimata,L. Dimata,F,10,185,507,M,826944,EUR,873072000,F,14,14,False,28.0,26.0,2.0,1.0,0.0,6.0,6.0,20.0,22.0,4.0,,63.0,41.0,6.9,8.0,0.0226962,1,,-0.06,0.3,0.18,,1.0,1.0,4.0,5.0,2.0,,,,,1.0,2.0,2.0,,,,,1.0,0.0241,-0.11,,1.0,,1.0,,0.0598,2.0,,,,,,,,,,
14109603,home,Samsunspor,Marius Mouandilmadji,marius-mouandilmadji,M. Mouandilmadji,F,9,190,1402,M,943593,EUR,885427200,F,9,9,False,18.0,12.0,1.0,1.0,0.0,2.0,2.0,10.0,16.0,2.0,,83.0,24.0,6.4,8.0,0.0115998,2,,-0.33,0.04,0.15,,,1.0,5.0,2.0,,1.0,,,5.0,,1.0,,,,,1.0,2.0,0.8885,0.25,,,,1.0,1.0,0.898,,,2.0,,,,,,,,
