match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_challengeLost,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_punches,stat_totalOffside
14131984,home,FC Arouca,Nico Mantl,,,nico-mantl,N. Mantl,G,58,193,162,M,888592,EUR,949795200,G,58,58,False,15.0,9.0,10.0,4.0,0.0,7.0,8.0,2.0,7.0,9.0,1.0,90.0,19.0,7.2,6.0,0.00085054,26.107051008314,5.0,12.6,6.72,0.0892,0,0.1491,0.02,0.01,0.16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14131984,home,FC Arouca,Tiago Esgaio,,,tiago-esgaio,T. Esgaio,D,28,175,68,M,863637,EUR,807235200,D,28,28,False,67.0,52.0,9.0,3.0,1.0,20.0,22.0,32.0,45.0,1.0,,90.0,90.0,7.3,19.0,0.286032,101.34322059084,15.0,80.535,13.02,,1,,0.38,0.06,0.19,,True,4.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,0.0639,2.0,-0.24,,,,,,,,,,,,,,,,,,
14131984,home,FC Arouca,Omar Fayed,Omar Fayed,,omar-fayed,O. Fayed,D,66,189,1607,M,1393731,EUR,1057276800,D,66,66,False,80.0,77.0,5.0,3.0,0.0,40.0,41.0,37.0,39.0,3.0,,90.0,96.0,7.6,4.0,0.0268533,286.95667840158,41.0,94.605,13.86,,1,,0.26,0.22,0.39,,,1.0,,3.0,1.0,4.0,6.0,,,,3.0,1.0,0.0412,,-0.03,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,
14131984,home,FC Arouca,Boris Popović,,,boris-popovic,B. Popović,D,5,189,112,M,902050,EUR,951523200,D,5,5,False,56.0,51.0,3.0,3.0,0.0,25.0,26.0,26.0,30.0,,,69.0,62.0,6.8,5.0,0.00878381,179.56317023152,22.0,98.07,18.585,,1,,0.11,0.08,0.14,,,,,5.0,2.0,5.0,2.0,,,1.0,3.0,,0.0541,,-0.28,,,,,1.0,,,,,,,,,,,,,
14131984,home,FC Arouca,Amadou Dante,,,amadou-dante,A. Dante,D,44,179,1391,M,982610,EUR,970876800,D,44,44,False,51.0,45.0,6.0,3.0,0.0,17.0,19.0,28.0,32.0,3.0,,90.0,77.0,6.8,14.0,0.0237738,137.67223315497,20.0,92.4,18.375,,1,,0.0,0.15,-0.06,,,6.0,,1.0,,6.0,4.0,,,1.0,3.0,1.0,0.0093,2.0,-0.06,2.0,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,
14131984,home,FC Arouca,Espen Van Ee,,,van-ee-espen,E. v. Ee,M,22,179,72,M,1126965,EUR,1057363200,M,22,22,False,57.0,44.0,2.0,,0.0,16.0,19.0,28.0,38.0,13.0,,85.0,76.0,6.5,18.0,0.0338234,120.28145648617,22.0,11.865,9.24,,2,,0.13,0.08,-0.03,,,2.0,,,1.0,5.0,4.0,,,1.0,1.0,3.0,0.1013,1.0,-0.14,1.0,,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,0.1253,,,,,,
14131984,home,FC Arouca,Pedro Santos,,,santos-pedro,P. S. Carvalho,M,89,183,49,M,1014259,EUR,971308800,M,89,89,False,98.0,93.0,4.0,3.0,0.0,26.0,27.0,67.0,71.0,8.0,,90.0,110.0,8.1,8.0,0.170773,297.96464033161,35.0,162.015,30.66,,0,,0.5,0.35,0.18,,,3.0,1.0,2.0,2.0,4.0,7.0,,,,1.0,1.0,,3.0,,,,,,2.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,
14131984,home,FC Arouca,Miguel Puche,,,puche-miguel,M. Puche,F,11,180,48,M,1000680,EUR,988588800,M,11,11,False,33.0,31.0,3.0,2.0,0.0,8.0,8.0,23.0,25.0,2.0,,55.0,48.0,7.1,9.0,0.254369,128.05641369157,13.0,39.375,38.115,,1,,0.42,0.07,0.13,,,9.0,5.0,,1.0,2.0,2.0,,,1.0,,2.0,0.0338,4.0,-0.18,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,
14131984,home,FC Arouca,Alfonso Trezza,,,alfonso-trezza,A. Trezza,M,19,166,267,M,973517,EUR,930009600,M,19,19,False,25.0,18.0,2.0,,0.0,6.0,9.0,12.0,16.0,5.0,,90.0,41.0,6.8,15.0,0.0101788,84.064711871368,10.0,42.735,20.79,,2,,0.16,0.25,-0.02,,,5.0,,1.0,,3.0,1.0,1.0,,,,,0.4392,,0.06,,,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,0.4526,1.0,,,,,
14131984,home,FC Arouca,Naïs Djouahra,,,nais-djouahra,N. Djouahra,M,7,172,601,M,955133,EUR,943315200,M,7,7,False,38.0,31.0,1.0,1.0,0.0,2.0,4.0,29.0,34.0,4.0,,85.0,60.0,6.9,17.0,0.0517719,287.66061743936,26.0,149.625,41.265,,5,,0.09,0.28,0.19,,,10.0,1.0,,,3.0,2.0,,,,1.0,1.0,0.1675,,-0.17,2.0,1.0,4.0,,1.0,1.0,1.0,,1.0,,1.0,0.0146,,,,,,
